Date,2018-12-31,2017-12-31,2016-12-31
Cash and cash equivalents,83455426.9175,31480652.9625,14855003.5997
Short-term investments,0.0,0.0,1439884.8092
Cash and short-term investments,83455426.9175,31480652.9625,16294888.4089
Receivables,21197539.7974,7686517.5333,1373506.1195
Inventories,0.0,0.0,0.0
Total current assets,116314037.6266,44340689.2382,19613390.9287
Property Plant & Equipment Net,13440520.9841,8014359.1294,3415118.7905
Goodwill and Intangible Assets,221562.9522,42775.0907,0.0
Long-term investments,11533429.8119,1659613.0593,167170.6263
Tax assets,0.0,0.0,509287.257
Total non-current assets,27255861.0709,9989721.8863,4280633.5493
Total assets,143569898.6975,54330411.1245,23894024.478
Payables,4005065.123,2184099.1536,1074586.0331
Short-term debt,0.0,0.0,0.0
Total current liabilities,23708248.9146,17630894.8005,6529589.6328
Long-term debt,31284949.3488,0.0,0.0
Total debt,31284949.3488,0.0,0.0
Deferred revenue,10093777.1346,7540356.711,2707703.3837
Tax Liabilities,0.0,755.7437,1083081.3535
Deposit Liabilities,0.0,0.0,0.0
Total non-current liabilities,32790738.0608,83282.9504,1219726.4219
Total liabilities,56498986.9754,17714177.7509,7749316.0547
Other comprehensive income,1215629.5224,-497128.1741,615406.7675
Retained earnings (deficit),-50379594.7902,-35491233.3736,-17009071.2743
Total shareholders equity,87070911.7221,-33915356.711,-15610367.1706
Investments,11533429.8119,1659613.0593,1607055.4356
Net Debt,,,
Other Assets,12185033.2851,,
Other Liabilities,19703183.7916,15446795.6469,5455003.5997
