Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Cash and cash equivalents,20252000.0,13787000.0,86975000.0,,10347000.0
Short-term investments,36660000.0,75964000.0,75891000.0,,69637000.0
Cash and short-term investments,56912000.0,89751000.0,162866000.0,,79984000.0
Receivables,2526000.0,0.0,0.0,,0.0
Inventories,0.0,0.0,0.0,,3409000.0
Total current assets,59438000.0,92025000.0,90000000.0,,84855000.0
Property Plant & Equipment Net,13167000.0,13121000.0,13095000.0,,10461000.0
Goodwill and Intangible Assets,0.0,0.0,0.0,,0.0
Long-term investments,109467000.0,75964000.0,75891000.0,,14913000.0
Tax assets,2518000.0,2092000.0,3413000.0,,
Total non-current assets,892672000.0,,,,
Total assets,952110000.0,805753000.0,740611000.0,546510000.0,622678000.0
Payables,0.0,0.0,0.0,,472161000.0
Short-term debt,9965000.0,0.0,0.0,,9000000.0
Total current liabilities,9965000.0,723523000.0,663886000.0,,481380000.0
Long-term debt,20000000.0,33600000.0,13513000.0,10409000.0,20376000.0
Total debt,29965000.0,33529000.0,28513000.0,,
Deferred revenue,0.0,0.0,0.0,,
Tax Liabilities,0.0,0.0,0.0,,
Deposit Liabilities,803614000.0,703295000.0,648662000.0,,
Total non-current liabilities,20415000.0,,,,
Total liabilities,842954000.0,740042000.0,680714000.0,,493989000.0
Other comprehensive income,0.0,-944000.0,-1016000.0,,
Retained earnings (deficit),24021000.0,14134000.0,8698000.0,,691000.0
Total shareholders equity,109156000.0,65711000.0,59897000.0,,52521000.0
Investments,146127000.0,766751000.0,626677000.0,,-37177000.0
Net Debt,9713000.0,,,,
Other Assets,0.0,,,,
Other Liabilities,812574000.0,723523000.0,663886000.0,,219000.0
