Date,2018-12-31,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,0.0,11080000.0,11080000.0,13261000.0,12250000.0,12527000.0,13261000.0,10379000.0,12527000.0,12957000.0,15750000.0,,
Stock-based compensation,0.0,1722000.0,1015000.0,1625000.0,1722000.0,1275000.0,1469000.0,1625000.0,1607000.0,1275000.0,1602000.0,,
Operating Cash Flow,0.0,14596000.0,15528000.0,25215000.0,10937000.0,8546000.0,-4636000.0,4380000.0,6242000.0,2911000.0,-1268000.0,14717000.0,15654000.0
Capital Expenditure,0.0,-9077000.0,7185000.0,-15361000.0,3797000.0,-9298000.0,7722000.0,11661000.0,8843000.0,7305000.0,8958000.0,-16942000.0,-14683000.0
Acquisitions and disposals,-0.0,0.0,-0.0,-18258000.0,-825000.0,-2097000.0,-18258000.0,-3419000.0,-2097000.0,-0.0,-0.0,,
Investment purchases and sales,0.0,0.0,0.0,645000.0,0.0,4544000.0,0.0,0.0,0.0,0.0,0.0,,
Investing Cash flow,16617000.0,-267782000.0,-6835000.0,-7125000.0,-4582000.0,-9814000.0,-24998000.0,-13300000.0,3534000.0,-2761000.0,-8298000.0,-16061000.0,411000.0
Issuance (repayment) of debt,-0.0,130998000.0,-0.0,-6779000.0,-0.0,10344000.0,-373000.0,-183000.0,-0.0,-0.0,-0.0,-147000.0,-7120000.0
Issuance (buybacks) of shares,-16617000.0,0.0,-433000.0,153910000.0,-639000.0,153910000.0,-2445000.0,-5188000.0,-10892000.0,-9080000.0,-9596000.0,417000.0,271000.0
Dividend payments,-0.0,-4462000.0,-0.0,-3400000.0,-0.0,-3400000.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
Financing Cash Flow,0.0,276158000.0,-8784000.0,-13693000.0,-8844000.0,4193000.0,26519000.0,3416000.0,1213000.0,7000.0,149000.0,270000.0,-6849000.0
Effect of forex changes on cash,0.0,508000.0,508000.0,435000.0,902000.0,-98000.0,435000.0,-179000.0,-98000.0,-693000.0,396000.0,,
Net cash flow / Change in cash,16617000.0,417000.0,1456000.0,-2680000.0,1039000.0,1806000.0,2626000.0,5306000.0,10989000.0,9183000.0,-9021000.0,,
Free Cash Flow,0.0,7140000.0,8343000.0,-7281000.0,7140000.0,-4394000.0,-12358000.0,-7281000.0,-2601000.0,-4394000.0,-10226000.0,,
Net Cash/Marketcap,0.0,-0.1481,0.0,-0.7397,0.0,0.1002,0.0,0.0,0.0,0.0,0.0,,
