Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2013-03-31,2012-12-31,2012-03-31
Cash and cash equivalents,3741627.0,8826076.0,9000000.0,1731364.0,2000000.0,11742489.0,12000000.0,7013556.0,7000000.0,4292122.0,4000000.0,0.0,1492871.0,0.0
Short-term investments,0.0,4363064.0,000000.0,1918875.0,000000.0,3328265.0,000000.0,1360767.0,1000000.0,0.0,000000.0,0.0,0.0,0.0
Cash and short-term investments,3741627.0,8826076.0,000000.0,1731364.0,000000.0,11742489.0,000000.0,8374323.0,1000000.0,4292122.0,000000.0,0.0,1492871.0,0.0
Receivables,182464.0,10167044.0,4000000.0,2865707.0,2000000.0,8155264.0,2000000.0,264192.0,0000000.0,0.0,000000.0,0.0,2385.0,0.0
Inventories,0.0,3699245.0,4000000.0,2047163.0,2000000.0,1546463.0,2000000.0,1619778.0,2000000.0,0.0,000000.0,0.0,0.0,0.0
Total current assets,29105144.0,27843275.0,76000000.0,8594773.0,39000000.0,25006491.0,38000000.0,13164486.0,29000000.0,5743466.0,4000000.0,0.0,1501256.0,0.0
Property Plant & Equipment Net,2050000.0,75825539.0,76000000.0,38382391.0,38000000.0,37142578.0,37000000.0,27949347.0,28000000.0,3532659.0,4000000.0,0.0,21874.0,0.0
Goodwill and Intangible Assets,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
Long-term investments,0.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0,0000000.0,0.0,000000.0,0.0,0.0,0.0
Tax assets,0.0,1772733.0,,993502.0,,2519496.0,,1798213.0,,0.0,,0.0,0.0,0.0
Total non-current assets,2050000.0,75825539.0,1000000.0,38708147.0,23000000.0,37893808.0,23000000.0,28885939.0,28000000.0,3532659.0,3000000.0,0.0,21874.0,0.0
Total assets,31155144.0,103668814.0,104000000.0,47302920.0,47000000.0,62900299.0,63000000.0,42050425.0,42000000.0,9276125.0,9000000.0,0.0,1523130.0,0.0
Payables,15181502.0,17110691.0,20000000.0,2453551.0,4000000.0,1112812.0,2000000.0,1947371.0,2000000.0,677030.0,1000000.0,0.0,176705.0,0.0
Short-term debt,7916188.0,7047020.0,7000000.0,2000000.0,2000000.0,3010790.0,3000000.0,475000.0,1000000.0,187315.0,0000000.0,0.0,0.0,0.0
Total current liabilities,34561236.0,29815340.0,30000000.0,9745897.0,10000000.0,8653723.0,9000000.0,6342063.0,6000000.0,2515995.0,3000000.0,0.0,392442.0,0.0
Long-term debt,0.0,1172712.0,1000000.0,21737404.0,22000000.0,22000000.0,22000000.0,25625000.0,26000000.0,2721114.0,000000.0,0.0,0.0,0.0
Total debt,7916188.0,8219732.0,1000000.0,23737404.0,22000000.0,25010790.0,22000000.0,26100000.0,26000000.0,2908429.0,000000.0,0.0,0.0,0.0
Deferred revenue,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Total non-current liabilities,-6194220.0,1172712.0,1000000.0,22504091.0,23000000.0,23485686.0,23000000.0,27727143.0,28000000.0,2721060.0,3000000.0,0.0,0.0,0.0
Total liabilities,34561236.0,30988052.0,31000000.0,32249988.0,32000000.0,32139409.0,32000000.0,34069206.0,34000000.0,5237109.0,5000000.0,0.0,392442.0,0.0
Other comprehensive income,155793044,144013650,000000.0,59499036,000000.0,57282659,000000.0,21116100,000000.0,10007490,0000000.0,0.0,0.0,0.0
Retained earnings (deficit),-159274536.0,-71407466.0,-71000000.0,-44460589.0,-44000000.0,-26535341.0,-27000000.0,-13140590.0,-13000000.0,-5998208.0,-6000000.0,0.0,-2422046.0,0.0
Total shareholders equity,-3406092.0,72680762.0,73000000.0,15052932.0,15000000.0,30760890.0,31000000.0,7981219.0,8000000.0,4039016.0,4000000.0,0.0,1130688.0,0.0
Investments,0.0,4363064.0,000000.0,1918875.0,000000.0,3328265.0,000000.0,1360767.0,0000000.0,0.0,000000.0,0.0,0.0,0.0
Net Debt,4174561.0,-606344.0,-1000000,22006040.0,22000000,13268301.0,13000000,19086444.0,20000000,-1383693.0,-4000000,0.0,-1492871.0,0.0
Other Assets,0.0,0.0,7000000,0.0,1000000,0.0,7000000,0.0,1000000,0.0,0,0.0,6000.0,0.0
Other Liabilities,6194220.0,0.0,0,0.0,0,0.0,0,0.0,0,54.0,3000000,0.0,215737.0,0.0
