Date,2018-09-28,2017-12,2017-09-29,2016-12,2016-09-30,2015-12,2015-10-02,2014-12,2014-10-31,2013-12,2013-10-25,2012-10-26,2011-10-28,2010-10-29
Cash and cash equivalents,372406000.0,484000000.0,307826000.0,517000000.0,258520000.0,466000000.0,191355000.0,626000000.0,238144000.0,786000000.0,179178000.0,160675000.0,185035000.0,0.0
Short-term investments,29052000.0,000000.0,38554000.0,000000.0,39667000.0,000000.0,104516000.0,000000.0,115727000.0,5000000.0,76004000.0,77188000.0,75364000.0,0.0
Cash and short-term investments,372406000.0,000000.0,307826000.0,000000.0,258520000.0,000000.0,191355000.0,000000.0,238144000.0,5000000.0,179178000.0,160675000.0,185035000.0,0.0
Receivables,441696000.0,1453000000.0,430524000.0,1465000000.0,422073000.0,1342000000.0,380748000.0,1226000000.0,379889000.0,1087000000.0,383666000.0,383362000.0,369826000.0,0.0
Inventories,457226000.0,1097000000.0,477969000.0,1125000000.0,450206000.0,1099000000.0,446768000.0,1002000000.0,433595000.0,869000000.0,447663000.0,409837000.0,402548000.0,0.0
Total current assets,1303877000.0,8811000000.0,1268709000.0,9654000000.0,1175788000.0,8699000000.0,1128814000.0,7627000000.0,1169504000.0,4546000000.0,1091715000.0,1035693000.0,1039313000.0,0.0
Property Plant & Equipment Net,314806000.0,1116000000.0,348634000.0,1214000000.0,338034000.0,1200000000.0,309399000.0,1154000000.0,319342000.0,998000000.0,371197000.0,356401000.0,368416000.0,273770000.0
Goodwill and Intangible Assets,1336752000.0,7265000000,1412739000.0,8016000000,1417702000.0,7121000000,1494031000.0,6200000000,1543163000.0,3208000000,1709926000.0,1708007000.0,1857640000.0,0.0
Long-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Tax assets,44008000.0,211000000.0,56793000.0,187000000.0,75409000.0,169000000.0,28979000.0,151000000.0,71307000.0,112000000.0,71840000.0,97952000.0,79605000.0,87622000.0
Total non-current assets,1733040000.0,2844000000.0,1851304000.0,2757000000.0,1856243000.0,3411000000.0,1878216000.0,2924000000.0,2023963000.0,1783000000.0,2170397000.0,2191424000.0,2339273000.0,0.0
Total assets,3036917000.0,12300000000.0,3120013000.0,13163000000.0,3032031000.0,11971000000.0,3007030000.0,10789000000.0,3193467000.0,7577000000.0,3262112000.0,3227117000.0,3378586000.0,0.0
Payables,147438000.0,759000000.0,138595000.0,697000000.0,121816000.0,624000000.0,117976000.0,564000000.0,115284000.0,502000000.0,123597000.0,108689000.0,119888000.0,0.0
Short-term debt,17546000.0,491000000.0,17424000.0,1246000000.0,16774000.0,674000000.0,13589000.0,926000000.0,12774000.0,567000000.0,21279000.0,10610000.0,11595000.0,0.0
Total current liabilities,403018000.0,2952000000.0,393792000.0,3718000000.0,398498000.0,2853000000.0,410809000.0,2950000000.0,408129000.0,2038000000.0,408092000.0,396346000.0,418361000.0,0.0
Long-term debt,654922000.0,1674000000.0,709424000.0,1364000000.0,698796000.0,1905000000.0,707786000.0,1521000000.0,509720000.0,607000000.0,537859000.0,598060000.0,660028000.0,598972000.0
Total debt,672468000.0,1674000000.0,726848000.0,1364000000.0,715570000.0,1905000000.0,721375000.0,1521000000.0,522494000.0,607000000.0,559138000.0,608670000.0,671623000.0,598972000.0
Deferred revenue,21036000.0,,18666000.0,,26618000.0,,19647000.0,,23522000.0,,15888000.0,30707000.0,22602000.0,0.0
Tax Liabilities,5160000.0,257000000.0,582000.0,383000000.0,10932000.0,422000000.0,2393000.0,383000000.0,1571000.0,165000000.0,7348000.0,2369000.0,1918000.0,0.0
Deposit Liabilities,15540000.0,,20593000.0,,22302000.0,,32566000.0,,19624000.0,,21500000.0,0.0,0.0,0.0
Total non-current liabilities,700115000.0,2844000000.0,772240000.0,2757000000.0,774562000.0,3411000000.0,811002000.0,2924000000.0,705769000.0,1783000000.0,771166000.0,838162000.0,918430000.0,726053000.0
Total liabilities,1205074000.0,5796000000.0,1295258000.0,6475000000.0,1431474000.0,6264000000.0,1469563000.0,5874000000.0,1305650000.0,3821000000.0,1388507000.0,1616636000.0,1815751000.0,-1412796000.0
Other comprehensive income,399067000,-280000000.0,429815000,477000000.0,394096000,293000000.0,392699000,115000000.0,625461000,-214000000.0,604511000,569235000,551703000,534779999.8
Retained earnings (deficit),1732327000.0,6221000000.0,1655187000.0,5749000000.0,1548805000.0,5261000000.0,1447120000.0,4687000000.0,1387508000.0,3933000000.0,1285090000.0,1120356000.0,1007821000.0,874781000.0
Total shareholders equity,1831843000.0,6504000000.0,1824755000.0,6688000000.0,1600557000.0,5707000000.0,1537467000.0,4915000000.0,1887817000.0,3756000000.0,1873605000.0,1610481000.0,1562835000.0,1412796000.0
Investments,29052000.0,,38554000.0,,39667000.0,,104516000.0,,115727000.0,,76004000.0,77188000.0,75364000.0,0.0
Net Debt,300062000.0,1681000000,419022000.0,2093000000,457050000.0,2113000000,530020000.0,1821000000,284350000.0,388000000,379960000.0,447995000.0,486588000.0,598972000.0
Other Assets,0.0,557000000,0.0,541000000,0.0,481000000,0.0,360000000,0.0,450000000,0.0,0.0,0.0,0.0
Other Liabilities,101941000.0,1720000000,129226000.0,1981000000,258414000.0,1796000000,247752000.0,1739000000,191752000.0,1356000000,209249000.0,382128000.0,478960000.0,-2138849000.0
