Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
Cash and cash equivalents,7530000.0,6815000.0,2682000.0,30974000.0,4080000.0,998000.0,3691000.0,31829000.0
Short-term investments,153438000.0,107254000.0,66858000.0,157714000.0,229890000.0,65098000.0,0.0,0.0
Cash and short-term investments,160968000.0,114069000.0,69540000.0,188688000.0,233970000.0,66096000.0,3691000.0,31829000.0
Receivables,269908000.0,316613000.0,221954000.0,160848000.0,289424000.0,240779000.0,251246000.0,227341000.0
Inventories,259568000.0,335859000.0,318899000.0,241320000.0,390555000.0,348107000.0,472596000.0,401210000.0
Total current assets,699332000.0,806487000.0,653709000.0,647862000.0,967260000.0,682558000.0,805501000.0,754055000.0
Property Plant & Equipment Net,349846000.0,350059000.0,251101000.0,250909000.0,250126000.0,116807000.0,177080000.0,110743000.0
Goodwill and Intangible Assets,175024000.0,186928000.0,93996000.0,85401000.0,90914000.0,54225000.0,71666000.0,49026000.0
Long-term investments,12344000.0,7493000.0,100000.0,500000.0,0.0,0.0,0.0,56226000.0
Tax assets,0.0,1056000.0,379000.0,1697000.0,895000.0,2207000.0,14258000.0,9015000.0
Total non-current assets,545908000.0,556498000.0,358765000.0,352470000.0,372580000.0,171032000.0,248746000.0,215995000.0
Total assets,1245240000.0,1362985000.0,1012474000.0,1000332000.0,1339840000.0,853590000.0,1054247000.0,970050000.0
Payables,197995000.0,205105000.0,138358000.0,91387000.0,198609000.0,175187000.0,196776000.0,150539000.0
Short-term debt,154318000.0,275613000.0,153603000.0,332914000.0,397214000.0,126652000.0,317895000.0,236088000.0
Total current liabilities,523155000.0,704223000.0,451199000.0,524342000.0,765468000.0,471161000.0,613573000.0,461350000.0
Long-term debt,506780000.0,449737000.0,156733000.0,283561000.0,418356000.0,332848000.0,237724000.0,288289000.0
Total debt,661098000.0,725350000.0,310336000.0,616475000.0,815570000.0,459500000.0,555619000.0,524377000.0
Deferred revenue,9846000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,42536000.0,22578000.0
Deposit Liabilities,0.0,8178000.0,13421000.0,14318000.0,14665000.0,9082000.0,0.0,0.0
Total non-current liabilities,524546000.0,467360000.0,172214000.0,298623000.0,434182000.0,334388000.0,299468000.0,330299000.0
Total liabilities,1108264000.0,1231151000.0,887037000.0,842847000.0,1223946000.0,823631000.0,913041000.0,791649000.0
Other comprehensive income,160020000,149574000,147003000,180763000,135560000,34613000,-5573000.0,-5958000.0
Retained earnings (deficit),-11522000.0,-8870000.0,-10783000.0,-11639000.0,-9833000.0,-2327000.0,,
Total shareholders equity,136976000.0,131834000.0,125437000.0,157485000.0,115894000.0,29959000.0,141206000.0,178401000.0
Investments,165782000.0,114747000.0,66958000.0,158214000.0,229890000.0,65098000.0,0.0,56226000.0
Net Debt,653568000.0,718535000.0,307654000.0,585501000.0,811490000.0,458502000.0,551928000.0,492548000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,77968000.0,93675000.0
Other Liabilities,60563000.0,59568000.0,263624000.0,19882000.0,24296000.0,18082000.0,98902000.0,74723000.0
