Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Cash and cash equivalents,44958000.0,45000000.0,28255000.0,28000000.0,32774000.0,33000000.0,16293000.0,16000000.0,34722000.0,35000000.0,26855000.0,21736000.0
Short-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Cash and short-term investments,44958000.0,,28255000.0,,32774000.0,,16293000.0,,34722000.0,,26855000.0,21736000.0
Receivables,0.0,62000000.0,0.0,56000000.0,0.0,57000000.0,0.0,63000000.0,0.0,57000000.0,0.0,0.0
Inventories,104502000.0,105000000.0,107018000.0,107000000.0,110232000.0,110000000.0,111821000.0,112000000.0,114064000.0,114000000.0,128000000.0,122782000.0
Total current assets,228700000.0,90000000.0,200695000.0,97000000.0,211528000.0,100000000.0,204687000.0,107000000.0,221533000.0,122000000.0,221940000.0,228340000.0
Property Plant & Equipment Net,50790000.0,51000000.0,56961000.0,57000000.0,62025000.0,62000000.0,65874000.0,66000000.0,74656000.0,75000000.0,71035000.0,68204000.0
Goodwill and Intangible Assets,33063000.0,33000000,33309000.0,34000000,34638000.0,35000000,36915000.0,37000000,41927000.0,42000000,30321000.0,12765000.0
Long-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Tax assets,4332000.0,000000.0,6578000.0,000000.0,2164000.0,2000000.0,2332000.0,2000000.0,2569000.0,3000000.0,2980000.0,2556000.0
Total non-current assets,90249000.0,57000000.0,96855000.0,69000000.0,99772000.0,68000000.0,106633000.0,71000000.0,122435000.0,56000000.0,103714000.0,83329000.0
Total assets,318949000.0,319000000.0,297550000.0,298000000.0,311300000.0,311000000.0,311320000.0,311000000.0,343968000.0,344000000.0,325654000.0,311669000.0
Payables,26362000.0,26000000.0,24920000.0,25000000.0,24696000.0,25000000.0,25592000.0,26000000.0,24418000.0,24000000.0,27779000.0,36952000.0
Short-term debt,0.0,000000.0,2923000.0,3000000.0,5692000.0,6000000.0,3972000.0,4000000.0,7850000.0,8000000.0,2873000.0,1548000.0
Total current liabilities,83279000.0,83000000.0,72847000.0,73000000.0,82280000.0,82000000.0,70349000.0,70000000.0,84658000.0,85000000.0,94111000.0,101489000.0
Long-term debt,0.0,000000.0,2970000.0,3000000.0,6079000.0,6000000.0,12253000.0,12000000.0,18785000.0,19000000.0,5616000.0,7020000.0
Total debt,0.0,000000.0,5893000.0,3000000.0,11771000.0,6000000.0,16225000.0,12000000.0,26635000.0,19000000.0,8489000.0,8568000.0
Deferred revenue,0.0,24000000.0,0.0,18000000.0,0.0,20000000.0,0.0,13000000.0,0.0,15000000.0,0.0,0.0
Tax Liabilities,1370000.0,5000000.0,1160000.0,4000000.0,1919000.0,1000000.0,646000.0,3000000.0,830000.0,5000000.0,3952000.0,3480000.0
Deposit Liabilities,23852000.0,,18215000.0,,19845000.0,,12736000.0,,15166000.0,,15720000.0,18881000.0
Total non-current liabilities,56744000.0,57000000.0,68762000.0,69000000.0,67915000.0,68000000.0,71375000.0,71000000.0,55716000.0,56000000.0,70336000.0,63157000.0
Total liabilities,140023000.0,140000000.0,141609000.0,142000000.0,150195000.0,150000000.0,141724000.0,142000000.0,140374000.0,140000000.0,164447000.0,164646000.0
Other comprehensive income,122140000,-38000000.0,120911000,-55000000.0,120322000,-49000000.0,120492000,-39000000.0,114145000,-2000000.0,104630000,103990000
Retained earnings (deficit),94882000.0,95000000.0,89557000.0,90000000.0,89368000.0,89000000.0,87777000.0,88000000.0,90937000.0,91000000.0,81961000.0,65041000.0
Total shareholders equity,178926000.0,179000000.0,155941000.0,156000000.0,161105000.0,161000000.0,169596000.0,170000000.0,203594000.0,204000000.0,161207000.0,147023000.0
Investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Debt,-44958000.0,-45000000,-22362000.0,-22000000,-21003000.0,-21000000,-68000.0,0,-8087000.0,-8000000,-18366000.0,-13168000.0
Other Assets,0.0,23000000,0.0,17000000,0.0,15000000,0.0,18000000,0.0,22000000,0.0,0.0
Other Liabilities,0.0,2000000,0.0,3000000,0.0,3000000,0.0,3000000,0.0,12000000,0.0,0.0
