Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2012-12-31,2011-12-31,2010-12-31
Cash and cash equivalents,986000000.0,986000000.0,7309000000.0,7309000000.0,300000000.0,300000000.0,390000000.0,390000000.0,367000000.0,367000000.0,408000000.0,1201000000.0,1048000000.0,466000000.0
Short-term investments,77000000.0,,82000000.0,,1090000000.0,,921000000.0,,820000000.0,,4000000.0,1700000000.0,1518000000.0,885000000.0
Cash and short-term investments,1063000000.0,,7391000000.0,,1390000000.0,,1311000000.0,,1187000000.0,,412000000.0,2901000000.0,2566000000.0,1351000000.0
Receivables,0.0,2620000000.0,0.0,1838000000.0,0.0,1495000000.0,0.0,1479000000.0,0.0,1433000000.0,0.0,0.0,0.0,0.0
Inventories,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Total current assets,4231000000.0,4231000000.0,9991000000.0,9991000000.0,2599000000.0,2599000000.0,2596000000.0,2596000000.0,2491000000.0,2491000000.0,2410000000.0,2730000000.0,2431000000.0,1735000000.0
Property Plant & Equipment Net,800000000.0,800000000.0,597000000.0,597000000.0,482000000.0,482000000.0,488000000.0,488000000.0,554000000.0,554000000.0,514000000.0,388000000.0,379000000.0,399000000.0
Goodwill and Intangible Assets,22680000000.0,25749000000,8843000000.0,11056000000,9552000000.0,11641000000,9894000000.0,11924000000,10207000000.0,12180000000,8906000000.0,7010000000.0,6862000000.0,7039000000.0
Long-term investments,379000000.0,935000000.0,335000000.0,335000000.0,557000000.0,557000000.0,567000000.0,567000000.0,644000000.0,644000000.0,0.0,1095000000.0,807000000.0,4129000000.0
Tax assets,298000000.0,000000.0,241000000.0,000000.0,97000000.0,97000000.0,0.0,68000000.0,87000000.0,87000000.0,73000000.0,74000000.0,73000000.0,81000000.0
Total non-current assets,28319000000.0,28319000000.0,12564000000.0,12564000000.0,13159000000.0,13159000000.0,13268000000.0,13268000000.0,13523000000.0,13523000000.0,12569000000.0,10200000000.0,9482000000.0,9284000000.0
Total assets,32550000000.0,32550000000.0,22555000000.0,22555000000.0,15758000000.0,15758000000.0,15864000000.0,15864000000.0,16014000000.0,16014000000.0,14979000000.0,12930000000.0,11913000000.0,11019000000.0
Payables,325000000.0,325000000.0,277000000.0,277000000.0,241000000.0,241000000.0,282000000.0,282000000.0,225000000.0,225000000.0,141000000.0,71000000.0,53000000.0,87000000.0
Short-term debt,1860000000.0,1860000000.0,30000000.0,30000000.0,82000000.0,82000000.0,119000000.0,119000000.0,1107000000.0,1107000000.0,17000000.0,31000000.0,26000000.0,20000000.0
Total current liabilities,3997000000.0,3997000000.0,1871000000.0,1871000000.0,1561000000.0,1561000000.0,1579000000.0,1579000000.0,2604000000.0,2604000000.0,1294000000.0,946000000.0,746000000.0,785000000.0
Long-term debt,15185000000.0,15185000000.0,14755000000.0,14755000000.0,7841000000.0,7841000000.0,7616000000.0,7616000000.0,6046000000.0,6046000000.0,6482000000.0,5212000000.0,4219000000.0,3598000000.0
Total debt,17045000000.0,15185000000.0,14785000000.0,14755000000.0,7923000000.0,7841000000.0,7735000000.0,7616000000.0,7153000000.0,6046000000.0,6499000000.0,5243000000.0,4245000000.0,3618000000.0
Deferred revenue,249000000.0,249000000.0,255000000.0,255000000.0,163000000.0,163000000.0,190000000.0,190000000.0,178000000.0,178000000.0,144000000.0,123000000.0,113000000.0,114000000.0
Tax Liabilities,378000000.0,1811000000.0,45000000.0,319000000.0,34000000.0,553000000.0,30000000.0,556000000.0,120000000.0,588000000.0,71000000.0,59000000.0,38000000.0,29000000.0
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Total non-current liabilities,18156000000.0,20167000000.0,15661000000.0,16074000000.0,8787000000.0,9030000000.0,8593000000.0,8834000000.0,7059000000.0,7808000000.0,7452000000.0,5691000000.0,4648000000.0,4305000000.0
Total liabilities,24164000000.0,24164000000.0,17945000000.0,17945000000.0,10591000000.0,10591000000.0,10413000000.0,10413000000.0,10412000000.0,10412000000.0,8783000000.0,6639000000.0,5396000000.0,4794000000.0
Other comprehensive income,3915000000,-785000000.0,562000000,-585000000.0,696000000,-762000000.0,1566000000,-633000000.0,2160000000,-368000000.0,3299000000,4210000000,5407000000,6289000000
Retained earnings (deficit),5254000000.0,5254000000.0,4632000000.0,4632000000.0,5232000000.0,5232000000.0,4517000000.0,4517000000.0,3809000000.0,3809000000.0,2892000000.0,2075000000.0,1132000000.0,-33000000.0
Total shareholders equity,8386000000.0,8386000000.0,4610000000.0,4610000000.0,5167000000.0,5167000000.0,5451000000.0,5451000000.0,5602000000.0,5602000000.0,6196000000.0,6291000000.0,6517000000.0,6225000000.0
Investments,456000000.0,935000000.0,417000000.0,335000000.0,1647000000.0,557000000.0,1488000000.0,567000000.0,1464000000.0,644000000.0,4000000.0,2795000000.0,2325000000.0,5014000000.0
Net Debt,16059000000.0,16059000000,7476000000.0,7476000000,7623000000.0,7623000000,7345000000.0,7345000000,6786000000.0,6786000000,6091000000.0,4042000000.0,3197000000.0,3152000000.0
Other Assets,0.0,1148000000,0.0,986000000,0.0,789000000,0.0,602000000,0.0,474000000,0.0,0.0,0.0,0.0
Other Liabilities,2011000000.0,1839000000,413000000.0,1231000000,243000000.0,840000000,241000000.0,884000000,749000000.0,1402000000,37000000.0,2000000.0,2000000.0,-296000000.0
