Date,2019-08-31,2018-08-31,2018-08,2017-08-31,2017-08,2016-08-31,2016-08,2015-08-31,2015-08,2014-08-31,2014-08,2013-08-31,2012-08-31
Cash and cash equivalents,211179000.0,450617000.0,451000000.0,181379000.0,181000000.0,279313000.0,279000000.0,953813000.0,954000000.0,2133207000.0,2133000000.0,1808532000.0,314029000.0
Short-term investments,3683996000.0,3711925000.0,,3750993000.0,,3795976000.0,,1002092000.0,,603933000.0,,765946000.0,673388000.0
Cash and short-term investments,3895175000.0,4162542000.0,,3932372000.0,,4075289000.0,,1955905000.0,,2737140000.0,,2574478000.0,987417000.0
Receivables,2731209000.0,2460401000.0,1579000000.0,1869632000.0,1234000000.0,2880763000.0,1805000000.0,2818110000.0,1793000000.0,2988563000.0,2154000000.0,3270311000.0,3590742000.0
Inventories,2854288000.0,2768649000.0,2769000000.0,2576585000.0,2577000000.0,2370699000.0,2371000000.0,2652344000.0,2652000000.0,2760253000.0,2760000000.0,0.0,0.0
Total current assets,6662595000.0,6693205000.0,9688000000.0,5614527000.0,10359000000.0,6935180000.0,10383000000.0,8008809000.0,7220000000.0,9397650000.0,5749000000.0,8910760000.0,9445153000.0
Property Plant & Equipment Net,5088708000.0,5141719000.0,5142000000.0,5356434000.0,5356000000.0,5488323000.0,5488000000.0,5192927000.0,5193000000.0,4031023000.0,4031000000.0,3171404000.0,2786324000.0
Goodwill and Intangible Assets,0.0,0.0,167000000,0.0,187000000,0.0,205000000,0.0,201000000,0.0,214000000,0.0,0.0
Long-term investments,189045000.0,211986000.0,3712000000.0,51596000.0,3751000000.0,328605000.0,3796000000.0,197067000.0,1002000000.0,166901000.0,923000000.0,143343000.0,173054000.0
Tax assets,100000.0,400000.0,,700000.0,,368844000.0,,1600000.0,,86500000.0,,0.0,0.0
Total non-current assets,9784899000.0,9687973000.0,2291000000.0,10359229000.0,2648000000.0,10382529000.0,2945000000.0,7219503000.0,2314000000.0,5749329000.0,2514000000.0,4593510000.0,3977998000.0
Total assets,16447494000.0,16381178000.0,16381000000.0,15973756000.0,15974000000.0,17317709000.0,17318000000.0,15228312000.0,15228000000.0,15146979000.0,15147000000.0,13504270000.0,13423151000.0
Payables,1931415000.0,1844489000.0,1844000000.0,1951292000.0,1951000000.0,1819049000.0,1819000000.0,1690094000.0,1690000000.0,2208211000.0,2208000000.0,2416038000.0,2355847000.0
Short-term debt,39210000.0,167565000.0,2440000000.0,156345000.0,2145000000.0,214329000.0,2946000000.0,170309000.0,1336000000.0,156836000.0,1316000000.0,156612000.0,108211000.0
Total current liabilities,5583707000.0,5934171000.0,5934000000.0,5432595000.0,5433000000.0,6520795000.0,6521000000.0,5256860000.0,5257000000.0,6184009000.0,6184000000.0,5785353000.0,6596691000.0
Long-term debt,1749901000.0,1762690000.0,1763000000.0,2023448000.0,2023000000.0,2088450000.0,2088000000.0,1260808000.0,1261000000.0,1299664000.0,1300000000.0,1450420000.0,1332142000.0
Total debt,1789111000.0,1930255000.0,1763000000.0,2179793000.0,2023000000.0,2302779000.0,2088000000.0,1431117000.0,1261000000.0,1456500000.0,1300000000.0,1607032000.0,1440353000.0
Deferred revenue,336645000.0,409088000.0,546000000.0,413163000.0,571000000.0,412823000.0,622000000.0,398341000.0,586000000.0,602374000.0,868000000.0,432097000.0,685520000.0
Tax Liabilities,101128000.0,91135000.0,183000000.0,37830000.0,333000000.0,37105000.0,488000000.0,72181000.0,581000000.0,72181000.0,567000000.0,67271000.0,67271000.0
Deposit Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Total non-current liabilities,2246257000.0,2281979000.0,2291000000.0,2635336000.0,2648000000.0,2930664000.0,2945000000.0,2302041000.0,2314000000.0,2347370000.0,2514000000.0,2815551000.0,2394111000.0
Total liabilities,7837354000.0,8225596000.0,8226000000.0,8080522000.0,8081000000.0,9465749000.0,9466000000.0,7570427000.0,7570000000.0,8698471000.0,8698000000.0,8373062000.0,8967810000.0
Other comprehensive income,7252915000,6873494000,4410000000.0,6605687000,4158000000.0,6481306000,4025000000.0,6267422000,3886000000.0,5006605000,3660000000.0,5444942000,4920515000
Retained earnings (deficit),1584158000.0,1482003000.0,1482000000.0,1471217000.0,1471000000.0,1582380000.0,1582000000.0,1604670000.0,1605000000.0,1598660000.0,1599000000.0,-156867000.0,-232587000.0
Total shareholders equity,8610140000.0,8155582000.0,8156000000.0,7893234000.0,7893000000.0,7851960000.0,7852000000.0,7657885000.0,7658000000.0,6448508000.0,6449000000.0,5131208000.0,4455341000.0
Investments,3873041000.0,3923911000.0,3712000000.0,3802589000.0,3751000000.0,4124581000.0,3796000000.0,1199159000.0,1002000000.0,770834000.0,923000000.0,909289000.0,846442000.0
Net Debt,1577932000.0,1479638000.0,3752000000,1998414000.0,3987000000,2023466000.0,4755000000,477304000.0,1643000000,-676707000.0,483000000,-201500000.0,1126324000.0
Other Assets,0.0,0.0,2123000000,0.0,2231000000,0.0,2716000000,0.0,2769000000,0.0,2299000000,0.0,0.0
Other Liabilities,7390000.0,9446000.0,929000000,12591000.0,607000000,14290000.0,1066000000,11526000.0,1591000000,167092000.0,1874000000,-227842000.0,-22992000.0
