Date,2019-03-31,2018-03-31,2017-03-31,2016-03-31
Cash and cash equivalents,6382663636.3636,2576204471.502,2501000000.0,3889000000.0
Short-term investments,211600000.0,705416185.5778,877000000.0,1084000000.0
Cash and short-term investments,6594263636.3636,3281620657.0798,3378000000.0,4973000000.0
Receivables,6744609090.9091,3675929813.5125,3994000000.0,3823000000.0
Inventories,8970400000.0,1862636016.9343,2030000000.0,2256000000.0
Total current assets,27733254545.4545,9436408803.051,11319000000.0,12199000000.0
Property Plant & Equipment Net,11968463636.3636,4695435779.014,4736000000.0,4901000000.0
Goodwill and Intangible Assets,82016100000.0,17874741961.4429,,
Long-term investments,2789990909.0909,2662476820.2652,1586000000.0,1564000000.0
Tax assets,874572727.2727,643128302.0188,,
Total non-current assets,98378763636.3636,26483109408.3482,,
Total assets,126112018181.8182,35919518211.3992,37966000000.0,32441000000.0
Payables,2976309090.9091,2101562226.6541,1129000000.0,1201000000.0
Short-term debt,9384418181.8182,259184423.2182,,
Total current liabilities,22826645454.5455,6451042650.712,12270000000.0,7612000000.0
Long-term debt,45470827272.7273,9419430740.7019,5896000000.0,5243000000.0
Total debt,54855245454.5455,9678615163.9201,,
Deferred revenue,0.0,0.0,,
Tax Liabilities,9531327272.7273,1385702039.8167,,
Deposit Liabilities,0.0,0.0,,
Total non-current liabilities,56343663636.3636,11822058360.4492,,
Total liabilities,79170309090.9091,18273101011.1613,20464000000.0,14582000000.0
Other comprehensive income,0.0,-41942199.3632,,
Retained earnings (deficit),14266954545.4545,13621872922.5709,13576000000.0,13525000000.0
Total shareholders equity,46905290909.0909,17471607011.6511,17010000000.0,17304000000.0
Investments,3001590909.0909,3367893005.843,,
Net Debt,,,,
Other Assets,5207727272.7273,1331813512.4734,,
Other Liabilities,10465918181.8182,4090296000.8397,,
