Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31
Depreciation & Amortization,19714000.0,19966000.0,19566000.0,19206000.0,16631000.0,15784000.0,15358000.0,0.0,0.0,13793000.0,0.0,0.0,10855000.0,10603000.0
Stock-based compensation,3724000.0,4190000.0,6349000.0,5919000.0,5309000.0,4161000.0,3807000.0,0.0,0.0,3513000.0,0.0,0.0,3096000.0,2130000.0
Operating Cash Flow,78779000.0,64762000.0,73753000.0,73432000.0,54690000.0,73801000.0,62893000.0,0.0,0.0,19666000.0,0.0,0.0,37547000.0,41603000.0
Capital Expenditure,12886000.0,10872000.0,9954000.0,11033000.0,13052000.0,11439000.0,12735000.0,0.0,0.0,12117000.0,0.0,0.0,-9354000.0,-13834000.0
Acquisitions and disposals,-500000.0,-5363000.0,-15024000.0,-24058000.0,-73527000.0,-2478000.0,-5635000.0,-0.0,-0.0,-25477000.0,-0.0,-0.0,-35909000.0,-1975000.0
Investment purchases and sales,0.0,0.0,-5859000.0,-7276000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investing Cash flow,-12358000.0,-13896000.0,-23769000.0,-34196000.0,-84471000.0,-12416000.0,-16734000.0,30172000.0,0.0,-35361000.0,20579000.0,23541000.0,-41036000.0,-6612000.0
Issuance (repayment) of debt,-26791000.0,-2853000.0,-14513000.0,-477000.0,-1368000.0,-12791000.0,-17317000.0,-0.0,-0.0,-27110000.0,-0.0,-0.0,7749000.0,-22228000.0
Issuance (buybacks) of shares,0.0,0.0,-5859000.0,-7276000.0,-64731000.0,-68492000.0,-32547000.0,-30172000.0,0.0,31234000.0,-20579000.0,-23541000.0,5500000.0,412000.0
Dividend payments,-19319000.0,-18613000.0,-17625000.0,-16513000.0,-14562000.0,-13018000.0,-12616000.0,-0.0,-0.0,-11586000.0,-0.0,-0.0,-10449000.0,-10111000.0
Financing Cash Flow,-46905000.0,-55209000.0,-38130000.0,-16897000.0,30161000.0,-26206000.0,-30541000.0,0.0,0.0,9153000.0,0.0,0.0,4337000.0,-32817000.0
Effect of forex changes on cash,-6141000.0,5404000.0,-4089000.0,-6017000.0,-4141000.0,766000.0,20000.0,0.0,0.0,-2315000.0,0.0,0.0,-133000.0,1985000.0
Net cash flow / Change in cash,13375000.0,1061000.0,7765000.0,16322000.0,-3761000.0,35945000.0,15638000.0,30172000.0,0.0,-8857000.0,20579000.0,23541000.0,715000.0,4159000.0
Free Cash Flow,65893000.0,53890000.0,63799000.0,62399000.0,41638000.0,62362000.0,50158000.0,0.0,0.0,7549000.0,0.0,0.0,28193000.0,27769000.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1033,-0.1694
