Date,2018-12-31,2017-12-31,2016-12-31
Cash and cash equivalents,49887409.5514,62950876.6626,5946851.5479
Short-term investments,58336758.3213,5353990.3265,17471008.7833
Cash and short-term investments,108224167.8727,68304866.9891,23417860.3312
Receivables,2084370.4776,1093712.2128,0.0
Inventories,0.0,0.0,0.0
Total current assets,126162662.8075,72709794.4377,23843913.4629
Property Plant & Equipment Net,6165846.5991,1780380.8948,232933.7653
Goodwill and Intangible Assets,186541.2446,0.0,0.0
Long-term investments,832561.5051,0.0,0.0
Tax assets,2451519.5369,0.0,0.0
Total non-current assets,11374674.3849,2006801.6929,232933.7653
Total assets,137537337.1925,74716596.1306,24076847.2282
Payables,10066280.7525,9860338.5732,1627138.6609
Short-term debt,0.0,0.0,0.0
Total current liabilities,105710130.246,43606408.7062,6451667.0986
Long-term debt,0.0,0.0,0.0
Total debt,0.0,0.0,0.0
Deferred revenue,69121128.7988,17600513.9057,1838469.5464
Tax Liabilities,8521128.7988,2382557.4365,437857.5954
Deposit Liabilities,0.0,0.0,0.0
Total non-current liabilities,149348.7699,288391.7775,215982.7214
Total liabilities,105859479.0159,43894800.4837,6667649.82
Other comprehensive income,2361505.0651,-12847.6421,3584897.3362
Retained earnings (deficit),-135581476.1216,-67699818.6215,-27492618.7185
Total shareholders equity,31677858.1766,-67712666.2636,-23907721.3823
Investments,59169319.8263,5353990.3265,17471008.7833
Net Debt,,,
Other Assets,16422461.6497,,
Other Liabilities,95643849.4935,33746070.133,4824528.4377
