Date,2017-09-30,2016-09-30,2015-09-30,2014-09-30,2006-12,2005-12,2004-12,2003-12,2002-12
Cash and cash equivalents,57466000.0,39833000.0,72218000.0,36395000.0,17000000.0,17000000.0,29000000.0,26000000.0,17000000.0
Short-term investments,57928000.0,39950000.0,71970000.0,36019000.0,8000000.0,9000000.0,10000000.0,1000000.0,1000000.0
Cash and short-term investments,115394000.0,79783000.0,144188000.0,72414000.0,8000000.0,9000000.0,10000000.0,1000000.0,1000000.0
Receivables,4641000.0,4336000.0,4461000.0,4168000.0,13000000.0,12000000.0,8000000.0,6000000.0,4000000.0
Inventories,2300000.0,2424000.0,2902000.0,2592000.0,,,,,
Total current assets,65558000.0,48280000.0,81760000.0,45832000.0,36000000.0,36000000.0,4000000.0,7000000.0,10000000.0
Property Plant & Equipment Net,12176000.0,11147000.0,11593000.0,12658000.0,4000000.0,4000000.0,4000000.0,6000000.0,8000000.0
Goodwill and Intangible Assets,7117000.0,7057000.0,6837000.0,6683000.0,29000000,31000000,0,0,0
Long-term investments,0.0,0.0,0.0,0.0,000000.0,000000.0,0000000.0,1000000.0,1000000.0
Tax assets,30000.0,225000.0,276000.0,282000.0,,,,,
Total non-current assets,19293000.0,18870000.0,18984000.0,19912000.0,2000000.0,1000000.0,1000000.0,2000000.0,3000000.0
Total assets,84851000.0,67150000.0,100744000.0,65744000.0,81000000.0,79000000.0,55000000.0,43000000.0,37000000.0
Payables,3978000.0,2737000.0,3952000.0,2512000.0,1000000.0,3000000.0,1000000.0,1000000.0,2000000.0
Short-term debt,13172000.0,77000.0,57000.0,107000.0,000000.0,0000000.0,0000000.0,2000000.0,2000000.0
Total current liabilities,24301000.0,7972000.0,9814000.0,8462000.0,22000000.0,24000000.0,21000000.0,21000000.0,22000000.0
Long-term debt,39027000.0,50966000.0,49807000.0,38155000.0,000000.0,000000.0,1000000.0,1000000.0,2000000.0
Total debt,52199000.0,51043000.0,49864000.0,38262000.0,000000.0,000000.0,1000000.0,1000000.0,2000000.0
Deferred revenue,626000.0,355000.0,134000.0,301000.0,1000000.0,000000.0,000000.0,000000.0,000000.0
Tax Liabilities,0.0,698000.0,226000.0,0.0,,,,,
Deposit Liabilities,0.0,0.0,0.0,0.0,,,,,
Total non-current liabilities,42557000.0,54691000.0,53379000.0,42546000.0,2000000.0,1000000.0,1000000.0,2000000.0,3000000.0
Total liabilities,68639000.0,64297000.0,65422000.0,53944000.0,24000000.0,25000000.0,23000000.0,23000000.0,24000000.0
Other comprehensive income,231457000,170319000,166085000,114117000,0000000.0,0000000.0,0000000.0,0000000.0,0000000.0
Retained earnings (deficit),-215281000.0,-167488000.0,-130785000.0,-102335000.0,-97000000.0,-95000000.0,-97000000.0,-108000000.0,-113000000.0
Total shareholders equity,16212000.0,2853000.0,35322000.0,11800000.0,57000000.0,55000000.0,33000000.0,20000000.0,13000000.0
Investments,57928000.0,39950000.0,71970000.0,36019000.0,000000.0,000000.0,0000000.0,1000000.0,1000000.0
Net Debt,-5267000.0,11210000.0,-22354000.0,1867000.0,-17000000,-17000000,-28000000,-23000000,-13000000
Other Assets,0.0,0.0,0.0,0.0,8000000,5000000,3000000,1000000,5000000
Other Liabilities,1781000.0,1634000.0,2229000.0,2936000.0,18000000,18000000,19000000,18000000,16000000
