Date,2019-06-30,2018-06-30,2017-06-30
Cash and cash equivalents,62357681.1594,16969696.9697,8370560.6105
Short-term investments,289855.0725,10001212.1212,2090255.3566
Cash and short-term investments,62647536.2319,26970909.0909,10460815.9671
Receivables,5051594.2029,5540303.0303,16707807.4552
Inventories,0.0,0.0,0.0
Total current assets,67699130.4348,32511212.1212,27168623.4224
Property Plant & Equipment Net,583478.2609,134848.4848,149838.5677
Goodwill and Intangible Assets,106231.8841,106060.6061,220575.2862
Long-term investments,289855.0725,757575.7576,0.0
Tax assets,743913.0435,642575.7576,588787.7898
Total non-current assets,1780434.7826,1710909.0909,959201.6437
Total assets,69479565.2174,34222121.2121,28127825.066
Payables,2105797.1014,1485757.5758,3065013.2081
Short-term debt,0.0,0.0,0.0
Total current liabilities,10990289.8551,4880909.0909,4859553.8597
Long-term debt,0.0,0.0,0.0
Total debt,0.0,0.0,0.0
Deferred revenue,26086.9565,0.0,0.0
Tax Liabilities,1347826.087,1745454.5455,1524361.6085
Deposit Liabilities,7510579.7101,1329090.9091,270179.0431
Total non-current liabilities,0.0,0.0,0.0
Total liabilities,10990289.8551,4880909.0909,4859553.8597
Other comprehensive income,1594.2029,0.0,0.0
Retained earnings (deficit),22502318.8406,16273787.8788,7137511.0068
Total shareholders equity,58029420.2899,27998939.3939,21824479.0138
Investments,579710.1449,10758787.8788,2090255.3566
Net Debt,,,
Other Assets,,,
Other Liabilities,8884492.7537,3395151.5151,1794540.6516
