Date,2017-12,2016-12,2015-12,2014-12,2013-12
Revenue,2831000000.0,2250000000.0,2446000000.0,3334000000.0,3802000000.0
Revenue Growth,,,,,
Cost of Revenue,2449000000.0,1862000000.0,2082000000.0,2745000000.0,3012000000.0
Gross Profit,382000000.0,388000000.0,364000000.0,589000000.0,791000000.0
R&D Expenses,57000000.0,85000000.0,51000000.0,98000000.0,92000000.0
SG&A Expense,304000000.0,321000000.0,349000000.0,403000000.0,417000000.0
Operating Expenses,361000000.0,406000000.0,400000000.0,501000000.0,509000000.0
Operating Income,20000000.0,-18000000.0,-36000000.0,88000000.0,282000000.0
Interest Expense,21000000.0,21000000.0,16000000.0,18000000.0,26000000.0
Earnings before Tax,16000000.0,-26000000.0,-30000000.0,98000000.0,276000000.0
Income Tax Expense,7000000.0,0000000.0,-2000000.0,19000000.0,43000000.0
Net Income - Non-Controlling int,,,,,
Net Income - Discontinued ops,,,,,
Net Income,9000000.0,-26000000.0,-29000000.0,79000000.0,233000000.0
Preferred Dividends,,,,,
Net Income Com,9000000.0,-26000000.0,-29000000.0,79000000.0,233000000.0
EPS,0.16,-0.52,-0.56,1.52,4.52
EPS Diluted,0.16,-0.52,-0.56,1.52,4.52
Weighted Average Shs Out,52000000.0,52000000.0,52000000.0,52000000.0,52000000.0
Weighted Average Shs Out (Dil),52000000.0,52000000.0,52000000.0,52000000.0,52000000.0
Dividend per Share,,,,,
Gross Margin,0.13493465206641,0.17244444444444,0.14881439084219,0.17666466706659,0.20804839558127
EBITDA Margin,0.065701165665842,0.067111111111111,0.047833197056419,0.073185362927415,0.11257233035245
EBIT Margin,0.013069586718474,-0.0022222222222222,-0.0061324611610793,0.034793041391722,0.079431877958969
Profit Margin,0.0031790886612504,-0.011555555555556,-0.011856091578087,0.02369526094781,0.061283534981589
Free Cash Flow margin,,,,,
EBITDA,186000000.0,151000000.0,117000000.0,244000000.0,428000000.0
EBIT,37000000,-5000000,-15000000,116000000,302000000
Consolidated Income,9000000.0,-26000000.0,-29000000.0,79000000.0,233000000.0
Earnings Before Tax Margin,0.0056517131755563,-0.011555555555556,-0.012264922322159,0.029394121175765,0.072593371909521
Net Profit Margin,0.0031790886612504,-0.011555555555556,-0.011856091578087,0.02369526094781,0.061283534981589
