Date,2017-12-30,2017-12,2016-12-31,2016-12,2016-01-02,2015-12,2015-01-03,2014-12,2013-12-28,2013-12
Cash and cash equivalents,1096195000.0,1096000000.0,1008125000.0,1008000000.0,914576000.0,915000000.0,911615000.0,912000000.0,550380000.0,550000000.0
Short-term investments,0.0,,0.0,,0.0,,0.0,,0.0,
Cash and short-term investments,1096195000.0,,1008125000.0,,914576000.0,,911615000.0,,550380000.0,
Receivables,184994000.0,1234000000.0,262672000.0,918000000.0,241729000.0,883000000.0,181431000.0,739000000.0,126369000.0,948000000.0
Inventories,0.0,,0.0,,0.0,,0.0,,0.0,
Total current assets,2620255000.0,,2054656000.0,,1888890000.0,,1758747000.0,,1577816000.0,
Property Plant & Equipment Net,172607000.0,,172381000.0,,159357000.0,,130008000.0,,79663000.0,
Goodwill and Intangible Assets,995086000.0,563000000,920583000.0,570000000,643387000.0,402000000,502222000.0,331000000,232210000.0,134000000
Long-term investments,23938000.0,,18922000.0,,6514000.0,,0.0,,0.0,
Tax assets,236496000.0,000000.0,362302000.0,000000.0,339558000.0,000000.0,38456000.0,38000000.0,20145000.0,20000000.0
Total non-current assets,1519425000.0,,1541122000.0,,1224066000.0,,726994000.0,,403278000.0,
Total assets,4139680000.0,4140000000.0,3595778000.0,3596000000.0,3112956000.0,3113000000.0,2485741000.0,2486000000.0,1981094000.0,1981000000.0
Payables,156182000.0,,153885000.0,,119087000.0,,117118000.0,,99499000.0,
Short-term debt,10662000.0,,9856000.0,,37296000.0,,11211000.0,,81270000.0,
Total current liabilities,2780787000.0,,2168833000.0,,2021094000.0,,1775612000.0,,1719731000.0,
Long-term debt,202441000.0,644000000.0,137984000.0,567000000.0,324412000.0,324000000.0,362543000.0,363000000.0,0.0,000000.0
Total debt,213103000.0,644000000.0,147840000.0,567000000.0,361708000.0,324000000.0,373754000.0,363000000.0,81270000.0,000000.0
Deferred revenue,179684000.0,,150582000.0,,113458000.0,,48114000.0,,30540000.0,
Tax Liabilities,8056000.0,,4199000.0,,3216000.0,,22784000.0,,21167000.0,
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,
Total non-current liabilities,247271000.0,,205524000.0,,357764000.0,,422350000.0,,33199000.0,
Total liabilities,3473579000.0,3474000000.0,2807580000.0,2808000000.0,2383183000.0,2383000000.0,2204802000.0,2205000000.0,1759926000.0,1760000000.0
Other comprehensive income,609523000,-16000000.0,608568000,-49000000.0,561939000,-40000000.0,137957000,-19000000.0,107025000,-3000000.0
Retained earnings (deficit),72571000.0,73000000.0,228451000.0,228000000.0,207973000.0,208000000.0,162439000.0,162000000.0,116975000.0,117000000.0
Total shareholders equity,666101000.0,666000000.0,788198000.0,788000000.0,729773000.0,730000000.0,280939000.0,281000000.0,221168000.0,221000000.0
Investments,23938000.0,,18922000.0,,6514000.0,,0.0,,0.0,
Net Debt,-883092000.0,-452000000,-860285000.0,-441000000,-552868000.0,-591000000,-537861000.0,-549000000,-469110000.0,-550000000
Other Assets,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
Other Liabilities,445521000.0,0,433223000.0,0,4325000.0,0,6840000.0,0,6996000.0,0
