Date,2017-12,2016-12,2015-12,2014-12,2013-12
Depreciation & Amortization,45000000.0,45000000.0,45000000.0,30000000.0,13000000.0
Stock-based compensation,,,,,
Operating Cash Flow,130000000.0,108000000.0,89000000.0,51000000.0,46000000.0
Capital Expenditure,-25000000.0,-24000000.0,-19000000.0,-12000000.0,-13000000.0
Acquisitions and disposals,-1000000.0,000000.0,000000.0,000000.0,000000.0
Investment purchases and sales,-1000000,-3000000,-2000000,12000000,-6000000
Investing Cash flow,-30000000.0,-10000000.0,-14000000.0,-358000000.0,-55000000.0
Issuance (repayment) of debt,-16000000.0,-260000000.0,-60000000.0,-1000000.0,-64000000.0
Issuance (buybacks) of shares,000000.0,000000.0,000000.0,-15000000.0,-26000000.0
Dividend payments,,,,,
Financing Cash Flow,-12000000.0,-44000000.0,-50000000.0,282000000.0,-86000000.0
Effect of forex changes on cash,,,,,
Net cash flow / Change in cash,87000000.0,54000000.0,26000000.0,-25000000.0,-96000000.0
Free Cash Flow,105000000.0,85000000.0,70000000.0,39000000.0,33000000.0
Net Cash/Marketcap,,,,,
