Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12,2013-12
Cash and cash equivalents,420950795.9479,437285973.3978,1240000000.0,475441900.6479,2928000000.0,65691881.0661,291000000.0,000000.0,000000.0
Short-term investments,145778437.0478,355753174.1233,2354000000.0,8927285.8171,62000000.0,0.0,000000.0,000000.0,000000.0
Cash and short-term investments,566729232.9957,793039147.5211,2354000000.0,484369186.465,62000000.0,65691881.0661,000000.0,000000.0,000000.0
Receivables,476007525.3256,278429866.9891,1093000000.0,90251835.8531,516000000.0,56092743.7991,364000000.0,000000.0,000000.0
Inventories,21856874.0955,23726420.7981,157000000.0,11819006.4795,82000000.0,5837005.084,38000000.0,000000.0,000000.0
Total current assets,656517366.136,441687424.4256,2922000000.0,221279481.6415,1537000000.0,152022954.8606,987000000.0,000000.0,000000.0
Property Plant & Equipment Net,298792619.3922,197622430.4716,1307000000.0,136429805.6156,948000000.0,96369588.6612,626000000.0,000000.0,000000.0
Goodwill and Intangible Assets,88695513.7482,91768440.1451,608000000,37540532.7574,261000000,37733785.2411,245000000,0,0
Long-term investments,44135600.5789,19182587.6663,37000000.0,14783153.3477,24000000.0,10067478.0465,10000000.0,000000.0,000000.0
Tax assets,0.0,0.0,,0.0,,0.0,,,
Total non-current assets,16295947.9016,16451481.2576,110000000.0,1648956.0835,15854000000.0,669542.4434,7590000000.0,000000.0,000000.0
Total assets,1789621128.7988,1644275846.4329,10879000000.0,906530309.5752,6296000000.0,352268987.8293,2287000000.0,000000.0,000000.0
Payables,414469753.9797,362952690.4474,2388000000.0,227024334.0533,1684000000.0,168610845.7865,1138000000.0,000000.0,000000.0
Short-term debt,258429956.5847,184947249.0931,1216000000.0,67849532.0374,458000000.0,52450469.8814,338000000.0,000000.0,000000.0
Total current liabilities,1174170622.2865,963904322.8537,6377000000.0,568797120.2304,3950000000.0,419622092.1276,2724000000.0,000000.0,000000.0
Long-term debt,107814.7612,276299.8791,,1084953.2037,,66245.5708,,,
Total debt,258537771.3459,185223548.9722,,68934485.2412,,52516715.4522,,,
Deferred revenue,0.0,0.0,910000000.0,0.0,676000000.0,0.0,510000000.0,000000.0,000000.0
Tax Liabilities,4504052.0984,4884673.5187,32000000.0,67242.6206,000000.0,0.0,000000.0,000000.0,000000.0
Deposit Liabilities,176444283.6469,137603234.5828,,97382145.4284,,78508858.4193,,,
Total non-current liabilities,16295947.9016,16451481.2576,110000000.0,1648956.0835,15854000000.0,669542.4434,7590000000.0,000000.0,000000.0
Total liabilities,1190466570.1881,980355804.1112,6487000000.0,570446076.3139,19804000000.0,420291634.5709,10314000000.0,000000.0,000000.0
Other comprehensive income,17933863.9653,1864117.2914,12000000.0,21036717.0626,146000000.0,2587428.7475,17000000.0,000000.0,000000.0
Retained earnings (deficit),-2231440810.4197,-2250032345.8283,-14886000000.0,-1966640892.7286,-13658000000.0,-1239869973.8099,-8048000000.0,000000.0,000000.0
Total shareholders equity,598858900.1447,663817563.4825,4392000000.0,-1945011519.0785,-13508000000.0,-1236648436.2964,-8027000000.0,000000.0,000000.0
Investments,189914037.6266,374935761.7896,37000000.0,23710439.1649,24000000.0,10067478.0465,10000000.0,000000.0,000000.0
Net Debt,,,-24000000,,-2470000000,,47000000,0,0
Other Assets,,,970000000,,307000000,,106000000,0,0
Other Liabilities,501270911.7221,416004383.3132,1536000000,273923254.1397,16707000000,198560776.4597,8144000000,0,0
