Date,2015-01-31,2014-02-01,2013-02-02,2012-01-28
Cash and cash equivalents,38044000.0,33431000.0,59186000.0,58244000.0
Short-term investments,30600000.0,31295000.0,28908000.0,26394000.0
Cash and short-term investments,38044000.0,33431000.0,59186000.0,58244000.0
Receivables,31013000.0,25152000.0,23897000.0,25792000.0
Inventories,656957000.0,672354000.0,641208000.0,614136000.0
Total current assets,812600000.0,825637000.0,813637000.0,784545000.0
Property Plant & Equipment Net,604380000.0,625525000.0,657270000.0,696339000.0
Goodwill and Intangible Assets,32869000.0,56794000.0,46917000.0,46917000.0
Long-term investments,0.0,0.0,0.0,0.0
Tax assets,56571000.0,57686000.0,47691000.0,72870000.0
Total non-current assets,729141000.0,779844000.0,790312000.0,849234000.0
Total assets,1541741000.0,1605481000.0,1603949000.0,1633779000.0
Payables,227132000.0,256031000.0,244696000.0,243712000.0
Short-term debt,2000000.0,2000000.0,2000000.0,1079000.0
Total current liabilities,657428000.0,694608000.0,687132000.0,617918000.0
Long-term debt,211000000.0,199500000.0,198000000.0,294043000.0
Total debt,213000000.0,201500000.0,200000000.0,295122000.0
Deferred revenue,0.0,0.0,0.0,0.0
Tax Liabilities,1486000000.0,1941000.0,2274000.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0
Total non-current liabilities,317783000.0,317358000.0,310259000.0,437467000.0
Total liabilities,1017591000.0,1057416000.0,1066377000.0,1129450000.0
Other comprehensive income,58094000,46797000,39847000,29984000
Retained earnings (deficit),397890000.0,432332000.0,430148000.0,423437000.0
Total shareholders equity,524150000.0,548065000.0,537572000.0,504329000.0
Investments,30600000.0,31295000.0,28908000.0,26394000.0
Net Debt,174956000.0,168069000.0,140814000.0,236878000.0
Other Assets,0.0,0.0,0.0,0.0
Other Liabilities,42380000.0,45450000.0,68986000.0,74065000.0
