Date,2018-12-31,2017-12-31
Cash and cash equivalents,7086541.2446,6898881.4994
Short-term investments,21049348.7699,15467654.1717
Cash and short-term investments,28135890.0145,22366535.6711
Receivables,27972069.4645,9814842.8053
Inventories,0.0,0.0
Total current assets,57799131.6932,32972037.4849
Property Plant & Equipment Net,2239073.8061,80411.1245
Goodwill and Intangible Assets,36903.0391,0.0
Long-term investments,0.0,446039.9033
Tax assets,44283.6469,8162.0314
Total non-current assets,2320260.492,534613.0593
Total assets,60119392.1852,33506650.5441
Payables,3219826.3386,1854292.6239
Short-term debt,0.0,0.0
Total current liabilities,12258321.2735,6775090.6892
Long-term debt,0.0,0.0
Total debt,0.0,0.0
Deferred revenue,611722.1418,535973.3978
Tax Liabilities,2448191.0275,1435308.3434
Deposit Liabilities,0.0,0.0
Total non-current liabilities,0.0,0.0
Total liabilities,12258321.2735,6775090.6892
Other comprehensive income,33429.8119,0.0
Retained earnings (deficit),-70336758.3213,-64287182.5877
Total shareholders equity,-70276700.4342,-62225665.0544
Investments,21049348.7699,15913694.075
Net Debt,,
Other Assets,,
Other Liabilities,9038494.9349,4920798.0653
