Date,2018-12-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-06-30,2013-06-30,2012-06-30,2011-06-30,2010-06-30
Cash and cash equivalents,48606000.0,2001325.0,24049000.0,3609954.0,33198.0,8026296.0,2212000.0,810808.0,1370000.0,3334626.0,6111340.0,1602294.0
Short-term investments,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,48651000.0,2001325.0,24049000.0,3609954.0,33198.0,8026296.0,2212000.0,810808.0,1370000.0,3334626.0,6111340.0,1602294.0
Receivables,0.0,0.0,88000.0,0.0,0.0,0.0,826000.0,0.0,350000.0,0.0,43133.0,0.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,50341000.0,3549849.0,24506000.0,5056018.0,284421.0,9331091.0,3087000.0,982628.0,1749000.0,3729726.0,7224398.0,3521514.0
Property Plant & Equipment Net,248000.0,5857.0,278000.0,3782.0,50979.0,4554.0,41000.0,92554.0,13000.0,185948.0,223475.0,4555.0
Goodwill and Intangible Assets,0.0,3393992.0,0.0,3524731.0,0.0,4568895.0,0.0,0.0,0.0,5780951.0,16081784.0,3566497.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,377000.0,,5560779.0,,8243324.0,,15817669.0,26110430.0,3576223.0,3405020.0,3540871.0,4580636.0
Total assets,50718000.0,6954869.0,24784000.0,8596889.0,5845200.0,13911727.0,3128000.0,9225952.0,1762000.0,19547395.0,33334828.0,7097737.0
Payables,747000.0,594514.0,1530000.0,659253.0,191597.0,657148.0,1899000.0,90305.0,649000.0,232033.0,901180.0,637320.0
Short-term debt,0.0,2199108.0,0.0,2199108.0,407122.0,2194844.0,0.0,0.0,0.0,0.0,0.0,2187082.0
Total current liabilities,7807000.0,3163317.0,3423000.0,3268439.0,2773994.0,3329121.0,2518000.0,368991.0,1119000.0,778516.0,1825171.0,3211942.0
Long-term debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total debt,0.0,,407122.0,,0.0,,0.0,0.0,2187082.0,2199108.0,2199108.0,2194844.0
Deferred revenue,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,122000.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,0.0,,2200000.0,,4296303.0,,6544085.0,4019728.0,99728.0,338524.0,810987.0,2601582.0
Total liabilities,7807000.0,3501841.0,3423000.0,4079426.0,4973994.0,5930703.0,2518000.0,4665294.0,1119000.0,7322601.0,5844899.0,3311670.0
Other comprehensive income,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Retained earnings (deficit),-86145000.0,-67440295.0,-38960000.0,-60748435.0,-121824326.0,-50841159.0,-17746000.0,-115630059.0,-7899000.0,-107182976.0,-88280266.0,-74425835.0
Total shareholders equity,42911000.0,3453028.0,21361000.0,4517463.0,871206.0,7981024.0,534000.0,4560658.0,641000.0,12224794.0,27489929.0,3786067.0
Investments,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Debt,-48651000.0,197783.0,-24151000.0,-1410846.0,373924.0,-5831452.0,-2250000.0,-810808.0,-1370000.0,-3334626.0,-6111340.0,584788.0
Other Assets,1690000.0,1548524.0,369000.0,1446064.0,251223.0,1304795.0,49000.0,171820.0,967934.0,395100.0,1069925.0,1919220.0
Other Liabilities,7060000.0,369695.0,1893000.0,410078.0,2175275.0,477129.0,619000.0,278686.0,470000.0,546483.0,923991.0,387540.0
