Date,2019-06-30,2018-06-30,2018-06,2017-06-30,2017-06,2016-06-30,2016-06,2015-06-30,2015-06,2014-06
Cash and cash equivalents,19850000.0,22005000.0,302000000.0,19433000.0,254000000.0,23922000.0,352000000.0,26654000.0,324000000.0,209000000.0
Short-term investments,,,,,,,,,,
Cash and short-term investments,19850000.0,22005000.0,,19433000.0,,23922000.0,,26654000.0,,
Receivables,5113000.0,5754000.0,79000000.0,8755000.0,114000000.0,4440000.0,65000000.0,8457000.0,81000000.0,52000000.0
Inventories,21633000.0,16972000.0,233000000.0,13811000.0,180000000.0,10925000.0,161000000.0,13864000.0,169000000.0,147000000.0
Total current assets,46596000.0,45620000.0,1734000000.0,42000000.0,1739000000.0,40847000.0,1818000000.0,50040000.0,1894000000.0,1970000000.0
Property Plant & Equipment Net,197102000.0,105815000.0,1453000000.0,114716000.0,1498000000.0,108832000.0,1600000000.0,139588000.0,1699000000.0,1756000000.0
Goodwill and Intangible Assets,,,0,,0,,0,,0,0
Long-term investments,43933000.0,18458000.0,253000000.0,18116000.0,236000000.0,6993000.0,103000000.0,7502000.0,194000000.0,117000000.0
Tax assets,,,9000000.0,,5000000.0,,7000000.0,,1000000.0,1000000.0
Total non-current assets,,,772000000.0,,728000000.0,,766000000.0,,669000000.0,884000000.0
Total assets,287631000.0,171298000.0,2360000000.0,174832000.0,2287000000.0,164033000.0,2419000000.0,205576000.0,2503000000.0,2441000000.0
Payables,29772000.0,16535000.0,227000000.0,9989000.0,130000000.0,19654000.0,289000000.0,21229000.0,258000000.0,212000000.0
Short-term debt,,,000000.0,,000000.0,,000000.0,,23000000.0,73000000.0
Total current liabilities,32541000.0,23360000.0,321000000.0,19686000.0,257000000.0,21321000.0,314000000.0,24948000.0,304000000.0,307000000.0
Long-term debt,0.0,1071000.0,000000.0,1287000.0,000000.0,1143000.0,000000.0,1574000.0,000000.0,76000000.0
Total debt,,,000000.0,,000000.0,,000000.0,,000000.0,76000000.0
Deferred revenue,,,,,,,,,,
Tax Liabilities,,,164000000.0,,140000000.0,,195000000.0,,148000000.0,116000000.0
Deposit Liabilities,,,,,,,,,,
Total non-current liabilities,,,772000000.0,,728000000.0,,766000000.0,,669000000.0,884000000.0
Total liabilities,96687000.0,78988000.0,1093000000.0,75068000.0,985000000.0,72944000.0,1080000000.0,79862000.0,973000000.0,1192000000.0
Other comprehensive income,,,000000.0,,000000.0,,140000000.0,,136000000.0,000000.0
Retained earnings (deficit),190944000.0,-211994000.0,-2910000000.0,-220248000.0,-2875000000.0,-202525000.0,-2978000000.0,-229034000.0,-2787000000.0,000000.0
Total shareholders equity,190944000.0,92274000.0,1267000000.0,99726000.0,1302000000.0,91056000.0,1340000000.0,125673000.0,1530000000.0,1249000000.0
Investments,,,253000000.0,,236000000.0,,103000000.0,,194000000.0,117000000.0
Net Debt,,,-302000000,,-254000000,,-352000000,,-301000000,-60000000
Other Assets,1065000.0,,19000000,,0,,123000000,,9000000,105000000
Other Liabilities,,,636000000,,578000000,,545000000,,513000000,473000000
