Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31
Cash and cash equivalents,3327000.0,10694000.0,18086000.0,32804000.0,49719000.0,1574000.0,1343000.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,3327000.0,10694000.0,18086000.0,32804000.0,49719000.0,1574000.0,1343000.0
Receivables,25565000.0,26764000.0,17535000.0,20624000.0,17924000.0,18762000.0,14162000.0
Inventories,7318000.0,8915000.0,12868000.0,6532000.0,4897000.0,6892000.0,6345000.0
Total current assets,37251000.0,47662000.0,50186000.0,61647000.0,73376000.0,28019000.0,22276000.0
Property Plant & Equipment Net,61699000.0,76067000.0,84394000.0,78322000.0,71492000.0,62023000.0,72635000.0
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,61772000.0,76153000.0,84483000.0,78427000.0,71667000.0,62214000.0,73025000.0
Total assets,99023000.0,123815000.0,134669000.0,140074000.0,145043000.0,90233000.0,95301000.0
Payables,12392000.0,10653000.0,13065000.0,10684000.0,14202000.0,7114000.0,9082000.0
Short-term debt,4181000.0,3750000.0,35000.0,67000.0,76000.0,18816000.0,1381000.0
Total current liabilities,23066000.0,21569000.0,18130000.0,17409000.0,20208000.0,31389000.0,21144000.0
Long-term debt,1218000.0,1303000.0,4000.0,40000.0,89000.0,119739000.0,108702000.0
Total debt,5399000.0,5053000.0,39000.0,107000.0,165000.0,138555000.0,110083000.0
Deferred revenue,2629000.0,1304000.0,1043000.0,681000.0,292000.0,595000.0,1183000.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,7050000.0,7251000.0,979000.0,231000.0,178000.0,120810000.0,108702000.0
Total liabilities,28769000.0,22872000.0,19105000.0,17600000.0,21327000.0,152199000.0,129846000.0
Other comprehensive income,541839000,538088000,533088000,527975000,522800000,0.0,0.0
Retained earnings (deficit),-471585000.0,-437145000.0,-417524000.0,-405501000.0,-399084000.0,-332760000.0,-285149000.0
Total shareholders equity,70254000.0,100943000.0,115564000.0,122474000.0,123716000.0,-61966000.0,-120795000.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Debt,2072000.0,-5641000.0,-18047000.0,-32697000.0,-49554000.0,136981000.0,108740000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,791000.0,426000.0
Other Liabilities,0.0,0.0,0.0,0.0,941000.0,5459000.0,10681000.0
