Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Cash and cash equivalents,12756000.0,5248000.0,20498000.0,11526000.0,6602000.0
Short-term investments,0.0,0.0,218000.0,0.0,0.0
Cash and short-term investments,12756000.0,5248000.0,20716000.0,11526000.0,6602000.0
Receivables,1488000.0,1528000.0,1471000.0,3183000.0,3772000.0
Inventories,0.0,0.0,0.0,0.0,0.0
Total current assets,17334000.0,9665000.0,24740000.0,18715000.0,12293000.0
Property Plant & Equipment Net,227055000.0,213459000.0,200489000.0,194152000.0,240424000.0
Goodwill and Intangible Assets,15611000.0,12772000.0,12772000.0,12772000.0,25854000.0
Long-term investments,0.0,0.0,0.0,821000.0,1150000.0
Tax assets,9690000.0,9768000.0,16410000.0,0.0,16397000.0
Total non-current assets,245127000.0,228903000.0,214079000.0,217027000.0,295308000.0
Total assets,262461000.0,238568000.0,238819000.0,235742000.0,307601000.0
Payables,604000.0,321000.0,1791000.0,1322000.0,1531000.0
Short-term debt,47000.0,8000.0,25000.0,1994000.0,2653000.0
Total current liabilities,9576000.0,8976000.0,10901000.0,10663000.0,13630000.0
Long-term debt,114507000.0,114363000.0,114317000.0,102417000.0,127491000.0
Total debt,114554000.0,114371000.0,114342000.0,104411000.0,130144000.0
Deferred revenue,0.0,0.0,1000.0,11000.0,13000.0
Tax Liabilities,1073000.0,989000.0,910000.0,4164000.0,0.0
Deposit Liabilities,0.0,0.0,0.0,1706000.0,2601000.0
Total non-current liabilities,225014000.0,214732000.0,212727000.0,205016000.0,266291000.0
Total liabilities,234590000.0,223708000.0,223628000.0,215679000.0,279921000.0
Other comprehensive income,27656000,14288000,19510000,0.0,0.0
Retained earnings (deficit),0.0,376000.0,-4515000.0,-1598000.0,-22961000.0
Total shareholders equity,27871000.0,14860000.0,15191000.0,20063000.0,27680000.0
Investments,0.0,0.0,218000.0,821000.0,1150000.0
Net Debt,101798000.0,109123000.0,93844000.0,92885000.0,123542000.0
Other Assets,0.0,0.0,0.0,4006000.0,1919000.0
Other Liabilities,0.0,0.0,0.0,7347000.0,9446000.0
