Date,2019-02-01,2018-02-02,2017-02-03,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2013-03-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,2830000000.0,5971000000.0,3220000000.0,2790000000.0,2493000000.0,2071000000.0,2305000000.0,1840149000.0,1609322000.0,1955756000.0,1628965000.0,2486461000.0
Short-term investments,19000000.0,5682000000.0,5173000000.0,5195000000.0,5016000000.0,5004000000.0,3870000000.0,3096531000.0,3021512000.0,2556450000.0,1694675000.0,27360000.0
Cash and short-term investments,2849000000.0,11653000000.0,8393000000.0,7985000000.0,7509000000.0,7075000000.0,6175000000.0,4936680000.0,4630834000.0,4512206000.0,3323640000.0,2513821000.0
Receivables,1576000000.0,1312000000.0,1285000000.0,1856000000.0,1633000000.0,1520000000.0,1220000000.0,773204000.0,1150906000.0,882857000.0,614726000.0,534196000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,5651000000.0,13734000000.0,9851000000.0,10335000000.0,9360000000.0,9130000000.0,7681000000.0,6057783000.0,6120039000.0,5677772000.0,4297655000.0,3182480000.0
Property Plant & Equipment Net,1133000000.0,1074000000.0,1042000000.0,1049000000.0,1128000000.0,1035000000.0,845000000.0,693993000.0,664669000.0,525490000.0,419065000.0,402356000.0
Goodwill and Intangible Assets,5922000000.0,5145000000.0,4032000000.0,4549000000.0,4609000000.0,4712000000.0,3634000000.0,3704443000.0,3579982000.0,2166455000.0,1779528000.0,1379619000.0
Long-term investments,95000000.0,146000000.0,161000000.0,139000000.0,103000000.0,110000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,103000000.0,346000000.0,462000000.0,462000000.0,456000000.0,165000000.0,60000000.0,107846000.0,103001000.0,156855000.0,149126000.0,
Total non-current assets,9011000000.0,6888000000.0,6308000000.0,6308000000.0,6386000000.0,6086000000.0,4646000000.0,4623447000.0,4476353000.0,3003036000.0,2499664000.0,
Total assets,14662000000.0,20622000000.0,16397000000.0,16643000000.0,15746000000.0,15216000000.0,12327000000.0,10681230000.0,10596392000.0,8680808000.0,6797319000.0,5066984000.0
Payables,135000000.0,15000000.0,53000000.0,125000000.0,138000000.0,203000000.0,109000000.0,58830000.0,89562000.0,49747000.0,58913000.0,76968000.0
Short-term debt,3010000000.0,106000000.0,0.0,71000000.0,68000000.0,76000000.0,22000000.0,51800000.0,43600000.0,0.0,0.0,0.0
Total current liabilities,5696000000.0,5033000000.0,4289000000.0,4554000000.0,4129000000.0,3996000000.0,3293000000.0,2827774000.0,2960234000.0,2401506000.0,1789152000.0,1294042000.0
Long-term debt,3972000000.0,3964000000.0,1500000000.0,1500000000.0,1500000000.0,1500000000.0,450000000.0,450000000.0,450000000.0,450000000.0,450000000.0,450000000.0
Total debt,6982000000.0,4070000000.0,1500000000.0,1571000000.0,1568000000.0,1576000000.0,472000000.0,501800000.0,493600000.0,450000000.0,450000000.0,
Deferred revenue,3968000000.0,3777000000.0,5624000000.0,3531000000.0,3245000000.0,2982000000.0,2558000000.0,2191159000.0,2195926000.0,1764109000.0,1270426000.0,
Tax Liabilities,382000000.0,302000000.0,0.0,260000000.0,245000000.0,190000000.0,167000000.0,0.0,157768000.0,94692000.0,0.0,
Deposit Liabilities,238000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Total non-current liabilities,8145000000.0,7543000000.0,3992000000.0,4454000000.0,4150000000.0,3882000000.0,2408000000.0,2141435000.0,2075607000.0,1637491000.0,1199724000.0,
Total liabilities,14111000000.0,12846000000.0,8181000000.0,8546000000.0,7827000000.0,7635000000.0,5511000000.0,4768305000.0,4856411000.0,3910526000.0,2988876000.0,2324033000.0
Other comprehensive income,534000000,847000000,-9000000.0,1724000000,2731000000,3383000000,3499000000,3432547000,3432997000,3213500000,2958971000,
Retained earnings (deficit),14000000.0,6943000000.0,6373000000.0,6381000000.0,5195000000.0,4198000000.0,3312000000.0,2471877000.0,2298308000.0,1552606000.0,828670000.0,471231000.0
Total shareholders equity,551000000.0,7776000000.0,8216000000.0,8097000000.0,7919000000.0,7581000000.0,6816000000.0,5912925000.0,5739981000.0,4770282000.0,3808443000.0,2742951000.0
Investments,114000000.0,5828000000.0,300000000.0,5334000000.0,5119000000.0,5114000000.0,3870000000.0,3096531000.0,3021512000.0,2556450000.0,1694675000.0,27360000.0
Net Debt,4152000000.0,-1901000000.0,-6893000000.0,-1219000000.0,-925000000.0,-495000000.0,-1833000000.0,-1338349000.0,-1115722000.0,-1505756000.0,-1178965000.0,-2063821000.0
Other Assets,0.0,0.0,173000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134463000.0
Other Liabilities,270000000.0,270000000.0,4236000000.0,0.0,-452000000.0,-243000000.0,0.0,0.0,0.0,0.0,0.0,1217074000.0
