Date,2018-02-03,2018-01,2017-01-28,2017-01,2016-01-30,2016-01,2015-01-31,2015-01,2014-02-01,2014-01,2013-02-02,2012-01-28,2011-01-29
Cash and cash equivalents,182000000.0,182000000.0,286000000.0,286000000.0,238000000.0,238000000.0,250000000.0,250000000.0,1028000000.0,1028000000.0,609000000.0,747000000.0,1375000000.0
Short-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Cash and short-term investments,182000000.0,,286000000.0,,238000000.0,,250000000.0,,1028000000.0,,609000000.0,747000000.0,1375000000.0
Receivables,343000000.0,343000000.0,466000000.0,466000000.0,419000000.0,419000000.0,429000000.0,429000000.0,553000000.0,553000000.0,635000000.0,695000000.0,683000000.0
Inventories,2798000000.0,2798000000.0,3959000000.0,3959000000.0,5172000000.0,5172000000.0,4943000000.0,4943000000.0,7034000000.0,7034000000.0,7558000000.0,8407000000.0,9123000000.0
Total current assets,3812000000.0,3450000000.0,4996000000.0,4366000000.0,6045000000.0,5292000000.0,5863000000.0,7346000000.0,8959000000.0,9302000000.0,9265000000.0,10244000000.0,11535000000.0
Property Plant & Equipment Net,1729000000.0,,2240000000.0,,2631000000.0,,4449000000.0,,5394000000.0,,6053000000.0,6577000000.0,7365000000.0
Goodwill and Intangible Assets,1437000000.0,1437000000,1790000000.0,1790000000,2178000000.0,2178000000,2366000000.0,2366000000,3229000000.0,3229000000,3260000000.0,3778000000.0,4531000000.0
Long-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,-42980000000.0,0.0
Tax assets,292000000.0,000000.0,66000000.0,000000.0,270000000.0,000000.0,480000000.0,480000000.0,387000000.0,387000000.0,382000000.0,516000000.0,27000000.0
Total non-current assets,3450000000.0,6070000000.0,4366000000.0,8505000000.0,5292000000.0,7862000000.0,7346000000.0,8084000000.0,9302000000.0,8337000000.0,10075000000.0,11137000000.0,12733000000.0
Total assets,7262000000.0,7262000000.0,9362000000.0,9362000000.0,11337000000.0,11337000000.0,13209000000.0,13209000000.0,18261000000.0,18261000000.0,19340000000.0,21381000000.0,24268000000.0
Payables,576000000.0,576000000.0,1048000000.0,1048000000.0,1574000000.0,1574000000.0,1621000000.0,1621000000.0,2496000000.0,2496000000.0,2761000000.0,2912000000.0,3101000000.0
Short-term debt,968000000.0,915000000.0,590000000.0,000000.0,71000000.0,797000000.0,75000000.0,615000000.0,83000000.0,1332000000.0,83000000.0,230000000.0,509000000.0
Total current liabilities,4915000000.0,4915000000.0,4681000000.0,4681000000.0,5438000000.0,5438000000.0,6076000000.0,6076000000.0,8185000000.0,8185000000.0,8414000000.0,9212000000.0,8618000000.0
Long-term debt,2249000000.0,2249000000.0,3573000000.0,3573000000.0,2108000000.0,000000.0,3110000000.0,000000.0,2834000000.0,000000.0,1943000000.0,2088000000.0,2663000000.0
Total debt,3217000000.0,2249000000.0,4163000000.0,3573000000.0,2179000000.0,000000.0,3185000000.0,000000.0,2917000000.0,000000.0,2026000000.0,2318000000.0,3172000000.0
Deferred revenue,641000000.0,362000000.0,748000000.0,563000000.0,787000000.0,1447000000.0,818000000.0,000000.0,900000000.0,000000.0,931000000.0,964000000.0,976000000.0
Tax Liabilities,247000000.0,126000000.0,339000000.0,743000000.0,284000000.0,893000000.0,380000000.0,715000000.0,460000000.0,1109000000.0,480000000.0,523000000.0,557000000.0
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Total non-current liabilities,4381000000.0,6070000000.0,6596000000.0,8505000000.0,5426000000.0,7862000000.0,6413000000.0,8084000000.0,6787000000.0,8337000000.0,5867000000.0,5868000000.0,4912000000.0
Total liabilities,10985000000.0,10985000000.0,13186000000.0,13186000000.0,13300000000.0,13300000000.0,14160000000.0,14160000000.0,16522000000.0,16522000000.0,16585000000.0,17100000000.0,15757000000.0
Other comprehensive income,3243000000,-1072000000.0,3239000000,-1552000000.0,3245000000,-1918000000.0,3240000000,-2030000000.0,3335000000,-1117000000.0,3328000000,4024000000,4359000000
Retained earnings (deficit),-5895000000.0,-5895000000.0,-5512000000.0,-5512000000.0,-3291000000.0,-3291000000.0,-2162000000.0,-2162000000.0,-480000000.0,-480000000.0,885000000.0,1865000000.0,4930000000.0
Total shareholders equity,-3723000000.0,-3723000000.0,-3824000000.0,-3824000000.0,-1963000000.0,-1963000000.0,-951000000.0,-951000000.0,1739000000.0,1739000000.0,2755000000.0,4281000000.0,8511000000.0
Investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,-42980000000.0,0.0
Net Debt,3035000000.0,2982000000,3877000000.0,3287000000,1941000000.0,559000000,2935000000.0,365000000,1889000000.0,304000000,1417000000.0,1571000000.0,1797000000.0
Other Assets,0.0,438000000,0.0,336000000,0.0,483000000,0.0,531000000,0.0,689000000,0.0,0.0,0.0
Other Liabilities,1689000000.0,3035000000,1909000000.0,3597000000,2436000000.0,3126000000,1671000000.0,3936000000,1550000000.0,4535000000,2304000000.0,2020000000.0,2227000000.0
