Date,2018-12-31,2017-12-31,2016-12-31
Cash and cash equivalents,174663096.9609,78917321.6445,2648000.0
Short-term investments,0.0,0.0,13338000.0
Cash and short-term investments,174663096.9609,78917321.6445,15986000.0
Receivables,3081476.1216,2031438.9359,2614000.0
Inventories,0.0,0.0,0.0
Total current assets,185014616.4978,83500302.2975,20269000.0
Property Plant & Equipment Net,470767.0043,147974.607,200000.0
Goodwill and Intangible Assets,0.0,0.0,0.0
Long-term investments,2143704.7757,855955.26,1130000.0
Tax assets,4470911.7221,1376964.9335,
Total non-current assets,8984804.631,2410368.8029,
Total assets,193999421.1288,85910671.1004,21620000.0
Payables,133863.9653,0.0,2984000.0
Short-term debt,0.0,0.0,0.0
Total current liabilities,43727351.6643,21300937.1221,7904000.0
Long-term debt,0.0,0.0,0.0
Total debt,0.0,0.0,
Deferred revenue,0.0,0.0,
Tax Liabilities,6013314.0376,1587817.4123,
Deposit Liabilities,0.0,0.0,
Total non-current liabilities,0.0,0.0,
Total liabilities,43727351.6643,21300937.1221,7904000.0
Other comprehensive income,5267438.4949,296100.3628,
Retained earnings (deficit),-57024457.3082,-25544891.1729,-23088000.0
Total shareholders equity,-51746599.1317,-25236245.4655,-22477000.0
Investments,2143704.7757,855955.26,-13276693.7864
Net Debt,-268230662.1707,-91404144.5412,
Other Assets,8103426.9175,3950239.4196,
Other Liabilities,43593487.699,21300937.1221,4920000.0
