Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,458102000.0,742546000.0,681433000.0,465995000.0,427376000.0,420236000.0,401869000.0,394194000.0,345555000.0,384579000.0,283920000.0,0.0,421243000.0
Short-term investments,0.0,0.0,0.0,0.0,1000000.0,1200000.0,9700000.0,9900000.0,9900000.0,10300000.0,0.0,0.0,0.0
Cash and short-term investments,458102000.0,742546000.0,681433000.0,465995000.0,428376000.0,421436000.0,411569000.0,404094000.0,355455000.0,394879000.0,283920000.0,0.0,421243000.0
Receivables,468161000.0,436560000.0,440692000.0,479140000.0,520389000.0,534002000.0,499479000.0,464999000.0,559763000.0,459081000.0,425936000.0,0.0,417268000.0
Inventories,309975000.0,397181000.0,381334000.0,411986000.0,401261000.0,434166000.0,421216000.0,443203000.0,396699000.0,324041000.0,391580000.0,0.0,315743000.0
Total current assets,1403550000.0,1618670000.0,1531662000.0,1388628000.0,1388553000.0,1424786000.0,1365231000.0,1342618000.0,1342833000.0,1214191000.0,1201001000.0,0.0,1198675000.0
Property Plant & Equipment Net,210954000.0,186473000.0,166148000.0,178170000.0,190180000.0,190158000.0,190686000.0,187689000.0,185319000.0,176104000.0,163660000.0,0.0,126250000.0
Goodwill and Intangible Assets,192116000.0,191616000.0,191616000.0,199290000.0,45970000.0,45970000.0,45970000.0,45970000.0,44691000.0,37912000.0,37912000.0,0.0,37912000.0
Long-term investments,0.0,0.0,0.0,0.0,1008000.0,1207000.0,9710000.0,9906000.0,9921000.0,10324000.0,24673000.0,0.0,45686000.0
Tax assets,2478000.0,4034000.0,6572000.0,14088000.0,25017000.0,29623000.0,32042000.0,33071000.0,33856000.0,29535000.0,37420000.0,0.0,31100000.0
Total non-current assets,496233000.0,478647000.0,467006000.0,505250000.0,290336000.0,303205000.0,316246000.0,315273000.0,314538000.0,287286000.0,298997000.0,0.0,267045000.0
Total assets,1899783000.0,2097317000.0,1998668000.0,1893878000.0,1678889000.0,1727991000.0,1681477000.0,1657891000.0,1657371000.0,1501477000.0,1499998000.0,0.0,1465720000.0
Payables,422053000.0,362701000.0,326249000.0,251163000.0,289786000.0,341508000.0,298762000.0,299715000.0,320953000.0,260622000.0,285671000.0,0.0,275900000.0
Short-term debt,6793000.0,18274000.0,12396000.0,12284000.0,676000.0,651000.0,628000.0,605000.0,582000.0,497000.0,419000.0,0.0,300000.0
Total current liabilities,537159000.0,478316000.0,412381000.0,333094000.0,359098000.0,419319000.0,377674000.0,376181000.0,398377000.0,330515000.0,351950000.0,0.0,339580000.0
Long-term debt,147277000.0,193406000.0,211252000.0,222909000.0,8845000.0,9021000.0,9194000.0,9366000.0,9521000.0,10103000.0,10600000.0,0.0,11381000.0
Total debt,154070000.0,211680000.0,223648000.0,235193000.0,9521000.0,9672000.0,9822000.0,9971000.0,10103000.0,10600000.0,11019000.0,0.0,11681000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,10435000.0,11662000.0,3534000.0,5069000.0,5470000.0,3708000.0,5553000.0,8215000.0,9570000.0,3828000.0,5224000.0,0.0,6464000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,230399000.0,290182000.0,269445000.0,285800000.0,28751000.0,32218000.0,32945000.0,33036000.0,31961000.0,31437000.0,40475000.0,0.0,35237000.0
Total liabilities,767558000.0,768498000.0,633203000.0,571974000.0,387849000.0,451537000.0,410619000.0,409217000.0,430338000.0,361952000.0,384250000.0,0.0,374817000.0
Other comprehensive income,554939000,634192000,626093000,624997000,649715000,650474000,653581000,649264000,644322000,650876000,674226000,0.0,-4993000.0
Retained earnings (deficit),584274000.0,697862000.0,748615000.0,704905000.0,645500000.0,631353000.0,621377000.0,603147000.0,586422000.0,493666000.0,449193000.0,0.0,356802000.0
Total shareholders equity,1132225000.0,1328819000.0,1365465000.0,1321904000.0,1291040000.0,1276454000.0,1270858000.0,1248674000.0,1227033000.0,1139525000.0,1115748000.0,0.0,1090903000.0
Investments,0.0,0.0,0.0,0.0,2008000.0,2407000.0,19410000.0,19806000.0,19821000.0,20624000.0,24673000.0,0.0,45686000.0
Net Debt,-304032000.0,-530866000.0,-457785000.0,-230802000.0,-417855000.0,-410564000.0,-392047000.0,-384223000.0,-335452000.0,-373979000.0,-272901000.0,0.0,-409562000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44421000.0
Other Liabilities,0.0,0.0,-48623000.0,-46920000.0,0.0,0.0,0.0,0.0,0.0,0.0,-8175000.0,0.0,63380000.0
