Date,2019-03-31,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31,2014-12-31
Cash and cash equivalents,11252631.5789,12849728.8923,15398000.0,6423538.2309,19693000.0,11981000.0,26768000.0
Short-term investments,995488.7218,0.0,0.0,,,,
Cash and short-term investments,12248120.3007,12849728.8923,15398000.0,6423538.2309,19693000.0,11981000.0,26768000.0
Receivables,56187218.0451,31484120.8366,22218000.0,23820839.5802,25661000.0,27753000.0,24654000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,74485714.2857,49912470.9527,39691000.0,35802098.9505,46562000.0,40438000.0,53671000.0
Property Plant & Equipment Net,1758646.6165,1410534.4694,409000.0,1294602.6987,623000.0,824000.0,1029000.0
Goodwill and Intangible Assets,95627819.5489,36298218.4353,26754122.9385,,,,
Long-term investments,0.0,0.0,0.0,,,,
Tax assets,9894736.8421,7119287.3741,6065217.3913,,,,
Total non-current assets,103611278.1955,39843532.1456,28882308.8456,,,,
Total assets,178096992.4812,89756003.0984,75874000.0,64684407.7961,85774000.0,83392000.0,67439000.0
Payables,36793233.0827,28505809.45,767000.0,25340329.8351,634000.0,586000.0,315000.0
Short-term debt,751879.6992,20931061.1929,2215892.054,,,,
Total current liabilities,42054887.218,50999225.4067,22891000.0,28337331.3343,24031000.0,25572000.0,17973000.0
Long-term debt,20530075.188,12098373.354,0.0,9953523.2384,5000000.0,5000000.0,0.0
Total debt,21281954.8872,33029434.5469,12169415.2924,,,,
Deferred revenue,4509774.4361,1562354.7637,227136.4318,,,,
Tax Liabilities,1515789.4737,1730441.5182,1210644.6777,,,,
Deposit Liabilities,0.0,0.0,0.0,,,,
Total non-current liabilities,22165413.5338,13949651.433,11333583.2084,,,,
Total liabilities,64220300.7519,64948876.8397,22891000.0,39670914.5427,10000000.0,10008000.0,-7590000.0
Other comprehensive income,1104511.2782,432223.0829,-102698.6507,,,,
Retained earnings (deficit),-29408270.6767,-18533694.8102,-50797000.0,-12547226.3868,-23053000.0,-20219000.0,-16159000.0
Total shareholders equity,113876691.7293,24807126.2587,52983000.0,25013493.2534,75774000.0,73384000.0,75029000.0
Investments,995488.7218,0.0,0.0,,,,
Net Debt,,,,,,,
Other Assets,-8347849.7289,2075000.0,,,,,
Other Liabilities,4509774.4361,1562354.7638,781109.4452,,,,
