Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Cash and cash equivalents,355172413.7931,432172869.1477,406315789.4737,169381107.4919,222760290.5569
Short-term investments,14942528.7356,24009603.8415,24210526.3158,21715526.6015,81113801.4528
Cash and short-term investments,370114942.5287,456182472.9892,430526315.7895,191096634.0934,303874092.0097
Receivables,2025287356.3218,2169267707.0828,2057894736.8421,1370249728.5559,1583535108.9588
Inventories,796551724.1379,780312124.8499,708421052.6316,402823018.4582,452784503.632
Total current assets,3437931034.4828,3978391356.5426,3605263157.8947,2044516829.5331,2430992736.0775
Property Plant & Equipment Net,4468965517.2414,4606242496.9988,4203157894.7368,1837133550.4886,2025423728.8136
Goodwill and Intangible Assets,12531034482.7586,13090036014.4058,11337894736.8421,3564603691.6395,3837772397.0944
Long-term investments,2298850.5747,2400960.3842,36842105.2632,23887079.2617,0.0
Tax assets,66666666.6667,97238895.5582,305263157.8947,102062975.0271,184019370.46
Total non-current assets,17500000000.0,17863145258.1032,15940000000.0,5551574375.6786,6101694915.2542
Total assets,20937931034.4828,21841536614.6459,19545263157.8947,7596091205.2117,8532687651.3317
Payables,3470114942.5287,3254501800.7203,2715789473.6842,1603691639.5223,1848668280.8717
Short-term debt,564367816.092,328931572.6291,921052631.5789,453854505.9718,633171912.8329
Total current liabilities,4358620689.6552,3945978391.3565,3949473684.2105,2178067318.1325,2608958837.7724
Long-term debt,5893103448.2759,6571428571.4286,5854736842.1053,3389793702.4973,3306295399.5157
Total debt,6457471264.3678,6900360144.0576,6775789473.6842,3843648208.4691,3939467312.3487
Deferred revenue,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,2605747126.4368,2788715486.1945,2412631578.9474,882736156.3518,998789346.247
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,9034482758.6207,9870348139.2557,8794736842.1053,4472312703.5831,4486682808.7167
Total liabilities,13393103448.2759,13816326530.6122,12744210526.3158,6650380021.7155,7095641646.4891
Other comprehensive income,0.0,0.0,0.0,0.0,0.0
Retained earnings (deficit),7668965517.2414,8126050420.1681,6814736842.1053,1765472312.7036,1631961259.0799
Total shareholders equity,7544827586.2069,8025210084.0336,6801052631.5789,945711183.4962,1437046004.8426
Investments,17241379.3103,26410564.2257,61052631.5789,45602605.8632,81113801.4528
Net Debt,,,,,
Other Assets,238045977.0116,568237695.0781,,,
Other Liabilities,324137931.0345,362545018.0071,312631578.9474,120521172.6384,127118644.0678
