Date,2018-03-31,2018-03,2017-03-31,2017-03,2016-03-31,2016-03,2015-03-31,2015-03,2014-03-31,2014-03,2013-03-31,2012-03-31
Cash and cash equivalents,9928000.0,10000000.0,9429000.0,9000000.0,9418000.0,9000000.0,13178000.0,13000000.0,16907000.0,17000000.0,12098000.0,15877000.0
Short-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,199000.0
Cash and short-term investments,9928000.0,,9429000.0,,9418000.0,,13178000.0,,16907000.0,,12098000.0,16076000.0
Receivables,6605000.0,7000000.0,7042000.0,7000000.0,7031000.0,7000000.0,5203000.0,5000000.0,3006000.0,3000000.0,3455000.0,2446000.0
Inventories,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Total current assets,18103000.0,24000000.0,18058000.0,24000000.0,18034000.0,26000000.0,20062000.0,17000000.0,20602000.0,1000000.0,16406000.0,19053000.0
Property Plant & Equipment Net,90000.0,0000000.0,85000.0,0000000.0,136000.0,0000000.0,290000.0,0000000.0,312000.0,0000000.0,407000.0,362000.0
Goodwill and Intangible Assets,19410000.0,22000000,20308000.0,22000000,22501000.0,24000000,14155000.0,17000000,0.0,1000000,0.0,0.0
Long-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Tax assets,489000.0,,23000.0,,14000.0,,0.0,,90331000.0,,87217000.0,0.0
Total non-current assets,23961000.0,9000000.0,24333000.0,9000000.0,26179000.0,9000000.0,17224000.0,8000000.0,1198000.0,4000000.0,446000.0,401000.0
Total assets,42064000.0,42000000.0,42391000.0,42000000.0,44213000.0,44000000.0,37286000.0,37000000.0,21800000.0,22000000.0,16852000.0,19454000.0
Payables,2371000.0,3000000.0,2478000.0,3000000.0,1973000.0,2000000.0,1535000.0,2000000.0,1371000.0,1000000.0,1010000.0,395000.0
Short-term debt,12128000.0,12000000.0,174000.0,12000000.0,407000.0,8000000.0,7447000.0,7000000.0,6949000.0,7000000.0,6000000.0,6000000.0
Total current liabilities,28259000.0,28000000.0,28377000.0,28000000.0,24247000.0,24000000.0,20179000.0,20000000.0,14444000.0,14000000.0,14540000.0,13648000.0
Long-term debt,7475000.0,7000000.0,7599000.0,8000000.0,5420000.0,5000000.0,2900000.0,3000000.0,0.0,000000.0,0.0,0.0
Total debt,19603000.0,7000000.0,7773000.0,8000000.0,5827000.0,5000000.0,10347000.0,3000000.0,6949000.0,000000.0,6000000.0,6000000.0
Deferred revenue,9487000.0,0000000.0,10070000.0,0000000.0,10366000.0,0000000.0,8410000.0,0000000.0,5131000.0,1000000.0,6153000.0,5394000.0
Tax Liabilities,48000.0,000000.0,1410000.0,000000.0,1348000.0,0000000.0,1280000.0,000000.0,2109000.0,000000.0,2121000.0,0.0
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Total non-current liabilities,9213000.0,9000000.0,8938000.0,9000000.0,9059000.0,9000000.0,3119000.0,8000000.0,90949000.0,4000000.0,89009000.0,1368000.0
Total liabilities,37124000.0,37000000.0,37292000.0,37000000.0,33419000.0,33000000.0,28163000.0,28000000.0,18715000.0,19000000.0,16332000.0,15016000.0
Other comprehensive income,325470000,1000000.0,316895000,-0000000.0,313202000,-0000000.0,297394000,000000.0,277611000,000000.0,266867000,266036000
Retained earnings (deficit),-321697000.0,-322000000.0,-311749000.0,-312000000.0,-302297000.0,-302000000.0,-288276000.0,-288000000.0,-274530000.0,-275000000.0,-266351000.0,-261602000.0
Total shareholders equity,4940000.0,5000000.0,5099000.0,5000000.0,10794000.0,11000000.0,9123000.0,9000000.0,3085000.0,3000000.0,520000.0,4438000.0
Investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,199000.0
Net Debt,9675000.0,9000000,-1656000.0,11000000,-3591000.0,4000000,-2831000.0,-3000000,-9958000.0,-10000000,-6098000.0,-9877000.0
Other Assets,0.0,1000000,0.0,2000000,0.0,2000000,0.0,1000000,0.0,0,0.0,0.0
Other Liabilities,0.0,1000000,0.0,1000000,113000.0,3000000,4865000.0,5000000,-86678000.0,4000000,0.0,0.0
