Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Cash and cash equivalents,3271999.0,5652996.0,6000000.0,5488706.0,5000000.0,7528292.0,8000000.0,4494663.0,4000000.0,8190302.0,8000000.0,9245094.0,11387300.0
Short-term investments,0.0,15012.0,,642566.0,,721577.0,,0.0,,0.0,,1250794.0,2490587.0
Cash and short-term investments,3271999.0,5652996.0,,5488706.0,,7528292.0,,4494663.0,,8190302.0,,10495888.0,13877887.0
Receivables,3182821.0,2918950.0,3000000.0,3322400.0,3000000.0,3278157.0,3000000.0,3277460.0,3000000.0,2425417.0,2000000.0,2197513.0,2535331.0
Inventories,1011594.0,1076261.0,1000000.0,1595668.0,2000000.0,1571972.0,2000000.0,3358908.0,3000000.0,3931007.0,4000000.0,3543325.0,3276568.0
Total current assets,8086833.0,10001286.0,3000000.0,11371488.0,3000000.0,13516110.0,4000000.0,11687791.0,4000000.0,15057436.0,3000000.0,16848808.0,19989406.0
Property Plant & Equipment Net,1941238.0,2170886.0,2000000.0,2561507.0,3000000.0,2239507.0,2000000.0,2276424.0,2000000.0,2253448.0,2000000.0,2715374.0,2129640.0
Goodwill and Intangible Assets,821541.0,802391.0,1000000,790971.0,1000000,1279498.0,0,1471900.0,1000000,0.0,1000000,0.0,0.0
Long-term investments,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Tax assets,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Total non-current assets,2762779.0,2973277.0,5000000.0,3352478.0,7000000.0,3519005.0,5000000.0,3748324.0,7000000.0,3105185.0,4000000.0,3545619.0,2834288.0
Total assets,10849612.0,12974563.0,13000000.0,14723966.0,15000000.0,17035115.0,17000000.0,15436115.0,15000000.0,18162621.0,18000000.0,20394427.0,22823694.0
Payables,1133874.0,691596.0,1000000.0,1074939.0,1000000.0,1472645.0,1000000.0,1210412.0,1000000.0,1594147.0,2000000.0,1906327.0,1340488.0
Short-term debt,49463.0,2733831.0,3000000.0,840471.0,1000000.0,2817940.0,3000000.0,1216218.0,2000000.0,994898.0,1000000.0,697834.0,0.0
Total current liabilities,3473348.0,5198379.0,5000000.0,4318352.0,4000000.0,6393557.0,6000000.0,5322100.0,5000000.0,4326357.0,4000000.0,4230084.0,2783855.0
Long-term debt,9239610.0,4943195.0,5000000.0,6580851.0,7000000.0,4462060.0,4000000.0,6283782.0,6000000.0,3915949.0,4000000.0,2685560.0,0.0
Total debt,9289073.0,7677026.0,5000000.0,7421322.0,7000000.0,7280000.0,4000000.0,7500000.0,6000000.0,4910847.0,4000000.0,3383394.0,0.0
Deferred revenue,0.0,0.0,000000.0,0.0,0000000.0,0.0,0000000.0,0.0,0000000.0,0.0,0000000.0,0.0,0.0
Tax Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Deposit Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Total non-current liabilities,9239610.0,4943195.0,5000000.0,6580851.0,7000000.0,4462060.0,5000000.0,6283782.0,7000000.0,3915949.0,4000000.0,2685560.0,211159.0
Total liabilities,13112958.0,10461574.0,10000000.0,11310806.0,11000000.0,11381857.0,11000000.0,12266759.0,12000000.0,8737821.0,9000000.0,7545796.0,3759803.0
Other comprehensive income,47007325,45825367,,44393253,,43472247,,34121168,,32776029,,25859881,24767087
Retained earnings (deficit),-49388036.0,-43426865.0,-43000000.0,-41089808.0,-41000000.0,-37928556.0,-38000000.0,-31030065.0,-31000000.0,-23428527.0,-23000000.0,-13066319.0,-5758001.0
Total shareholders equity,-2263346.0,2512989.0,3000000.0,3413160.0,3000000.0,5653258.0,6000000.0,3169356.0,3000000.0,9424800.0,9000000.0,12848631.0,19063891.0
Investments,0.0,15012.0,,642566.0,,721577.0,,0.0,,0.0,,1250794.0,2490587.0
Net Debt,6017074.0,2024030.0,2000000,1932616.0,3000000,-248292.0,-1000000,3005337.0,4000000,-3279455.0,-3000000,-5861700.0,-11387300.0
Other Assets,0.0,0.0,0,0.0,1000000,0.0,2000000,0.0,2000000,0.0,1000000,0.0,0.0
Other Liabilities,400000.0,320000.0,0,411603.0,1000000,526240.0,1000000,660877.0,0,495515.0,0,630152.0,764789.0
