Date,2018-12-31,2017-12-31,2016-12-31
Cash and cash equivalents,3170360.8247,251887.6472,1338452.0885
Short-term investments,207935309.2784,25070673.5125,20152027.027
Cash and short-term investments,211105670.1031,25322561.1597,21490479.1155
Receivables,35209020.6186,28672908.4869,20036855.0369
Inventories,3899742.268,5684083.3585,3854422.6044
Total current assets,254677835.0515,63437028.0882,49760442.2604
Property Plant & Equipment Net,3439948.4536,2742071.8816,1750307.1253
Goodwill and Intangible Assets,48386597.9381,53000000.0,26493857.4939
Long-term investments,4183505.1546,3881908.7889,14129606.8796
Tax assets,28793814.433,4306855.9348,2816031.941
Total non-current assets,89362886.5979,66556629.4171,49400798.5258
Total assets,344040721.6495,129993657.5053,99161240.7862
Payables,3826030.9278,1183328.2996,6433046.683
Short-term debt,0.0,0.0,0.0
Total current liabilities,14919587.6289,21043189.3688,15385749.3857
Long-term debt,0.0,0.0,0.0
Total debt,0.0,0.0,0.0
Deferred revenue,1545618.5567,1781334.9441,598280.0983
Tax Liabilities,5470876.2887,5597704.621,2846437.3464
Deposit Liabilities,0.0,0.0,0.0
Total non-current liabilities,53377835.0515,16611295.6811,9706695.3317
Total liabilities,68297422.6804,37654485.0498,25092444.7174
Other comprehensive income,0.0,0.0,0.0
Retained earnings (deficit),-22342010.3093,0.0,32388820.6388
Total shareholders equity,275819072.1649,92305647.8405,74033169.5332
Investments,212118814.433,28952582.3014,34281633.9066
Net Debt,,,
Other Assets,4402567.0103,,
Other Liabilities,11093556.7011,19859861.0692,8952702.7027
