Date,2018-12-31,2017-12-31,2016-12-31,2016-12,2015-12-31,2015-12,2014-12,2013-12,2012-12
Cash and cash equivalents,1102000000.0,1235000000.0,1124000000.0,23218000000.0,2629000000.0,45160000000.0,66474000000.0,48164000000.0,17225000000.0
Short-term investments,2764000000.0,3417000000.0,2701000000.0,54857000000.0,5660000000.0,56347000000.0,000000.0,000000.0,28262000000.0
Cash and short-term investments,3866000000.0,4652000000.0,3825000000.0,54857000000.0,8289000000.0,56347000000.0,000000.0,000000.0,28262000000.0
Receivables,11070000000.0,9904000000.0,10002000000.0,205775000000.0,8510000000.0,156694000000.0,145584000000.0,127873000000.0,94104000000.0
Inventories,2052000000.0,1975000000.0,1786000000.0,36871000000.0,2071000000.0,35577000000.0,35930000000.0,36719000000.0,28698000000.0
Total current assets,17767000000.0,17413000000.0,16559000000.0,1173133000000.0,19876000000.0,945155000000.0,989949000000.0,788894000000.0,794767000000.0
Property Plant & Equipment Net,32576000000.0,34412000000.0,33959000000.0,701190000000.0,33385000000.0,573529000000.0,595596000000.0,501107000000.0,500434000000.0
Goodwill and Intangible Assets,,,,305002000000,,261859000000,250733000000,130706000000,144902000000
Long-term investments,,,,3603000000.0,,3111000000.0,49263000000.0,88887000000.0,73116000000.0
Tax assets,,,,112652000000.0,,81407000000.0,66501000000.0,50854000000.0,33996000000.0
Total non-current assets,,,,836124000000.0,,758673000000.0,715061000000.0,549237000000.0,449242000000.0
Total assets,67088000000.0,69687000000.0,67918000000.0,1515042000000.0,70730000000.0,1296487000000.0,1278357000000.0,1025592000000.0,1003898000000.0
Payables,11298000000.0,10821000000.0,11491000000.0,222291000000.0,11056000000.0,175100000000.0,176656000000.0,141160000000.0,130257000000.0
Short-term debt,,,,82575000000.0,,119590000000.0,57806000000.0,25841000000.0,13622000000.0
Total current liabilities,23775000000.0,21031000000.0,22762000000.0,470003000000.0,24752000000.0,425535000000.0,378912000000.0,273955000000.0,252859000000.0
Long-term debt,27623000000.0,32876000000.0,30278000000.0,625194000000.0,32809000000.0,563627000000.0,545949000000.0,464478000000.0,404048000000.0
Total debt,,,,625194000000.0,,563627000000.0,545949000000.0,464478000000.0,404048000000.0
Deferred revenue,,,,1625000000.0,,1053000000.0,000000.0,1105000000.0,1100000000.0
Tax Liabilities,,,,14062000000.0,,11590000000.0,17470000000.0,1628000000.0,21232000000.0
Deposit Liabilities,,,,,,,,,
Total non-current liabilities,,,,836124000000.0,,758673000000.0,715061000000.0,549237000000.0,449242000000.0
Total liabilities,54573000000.0,56426000000.0,54792000000.0,1306127000000.0,61366000000.0,1184209000000.0,1093972000000.0,823192000000.0,702100000000.0
Other comprehensive income,,,,-45138000000.0,,-156392000000.0,-7950000000.0,5082000000.0,-7737000000.0
Retained earnings (deficit),24153000000.0,17410000000.0,7638000000.0,157715000000.0,10031000000.0,172331000000.0,192334000000.0,197319000000.0,213120000000.0
Total shareholders equity,9976000000.0,9879000000.0,10118000000.0,208915000000.0,6536000000.0,112278000000.0,184384000000.0,202401000000.0,301798000000.0
Investments,,,,3603000000.0,,3111000000.0,49263000000.0,88887000000.0,73116000000.0
Net Debt,,,,684551000000,,638057000000,537281000000,442155000000,400445000000
Other Assets,779000000.0,,,59009000000,,82106000000,68276000000,40678000000,45716000000
Other Liabilities,,,,153986000000,,147128000000,118431000000,87816000000,25230000000
