Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12
Cash and cash equivalents,44305000.0,,46167000.0,,30496000.0,,33298000.0,,60146000.0,
Short-term investments,29135000.0,,30018000.0,,15744000.0,,22366000.0,,44801000.0,
Cash and short-term investments,44305000.0,,46167000.0,,30496000.0,,33298000.0,,60146000.0,
Receivables,2316174000.0,7000000.0,2186147000.0,6000000.0,1912871000.0,6000000.0,1523275000.0,5000000.0,1132914000.0,4000000.0
Inventories,0.0,,0.0,,0.0,,0.0,,0.0,
Total current assets,2360479000.0,,2232314000.0,,1943367000.0,,1556573000.0,,1193060000.0,
Property Plant & Equipment Net,19512000.0,,21573000.0,,22034000.0,,20015000.0,,18788000.0,
Goodwill and Intangible Assets,9255000.0,9000000,9717000.0,9000000,10560000.0,9000000,11785000.0,9000000,13392000.0,9000000
Long-term investments,27773000.0,,26417000.0,,0.0,,8700000.0,,6100000.0,
Tax assets,7119000.0,,6000000.0,,10146000.0,,10665000.0,,6233000.0,
Total non-current assets,445096000.0,,436206000.0,,526325000.0,,557770000.0,,535088000.0,
Total assets,2805575000.0,2806000000.0,2668520000.0,2669000000.0,2469692000.0,2470000000.0,2114343000.0,2114000000.0,1728148000.0,1728000000.0
Payables,0.0,,0.0,,0.0,,0.0,,0.0,
Short-term debt,153000000.0,,100000000.0,,146000000.0,,205000000.0,,40000000.0,
Total current liabilities,153000000.0,,100000000.0,,146000000.0,,205000000.0,,40000000.0,
Long-term debt,80000000.0,80000000.0,105000000.0,105000000.0,105000000.0,105000000.0,55000000.0,55000000.0,35000000.0,35000000.0
Total debt,233000000.0,80000000.0,205000000.0,105000000.0,251000000.0,105000000.0,260000000.0,55000000.0,75000000.0,35000000.0
Deferred revenue,0.0,,0.0,,0.0,,0.0,,0.0,
Tax Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,
Deposit Liabilities,2137557000.0,,2039869000.0,,1808687000.0,,1433849000.0,,1212716000.0,
Total non-current liabilities,87119000.0,,111000000.0,,115146000.0,,65665000.0,,41233000.0,
Total liabilities,2401454000.0,2401000000.0,2270714000.0,2271000000.0,2082785000.0,2083000000.0,1715514000.0,1716000000.0,1316542000.0,1317000000.0
Other comprehensive income,242085000,-22000000.0,235013000,-21000000.0,228821000,-25000000.0,247823000,-26000000.0,259021000,-19000000.0
Retained earnings (deficit),164364000.0,164000000.0,163978000.0,164000000.0,161896000.0,162000000.0,155918000.0,156000000.0,149723000.0,150000000.0
Total shareholders equity,404121000.0,404000000.0,397806000.0,398000000.0,386907000.0,387000000.0,398829000.0,399000000.0,411606000.0,412000000.0
Investments,56908000.0,,56435000.0,,15744000.0,,31066000.0,,50901000.0,
Net Debt,188695000.0,80000000,158833000.0,105000000,220504000.0,105000000,226702000.0,55000000,14854000.0,35000000
Other Assets,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
Other Liabilities,2161335000.0,0,2059714000.0,0,1821639000.0,0,1444849000.0,0,1235309000.0,0
