Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,51839000.0,48672000.0,55139000.0,49672000.0,46449000.0,0.0,0.0,0.0,40942000.0,35713000.0,35484000.0,39830000.0,39807000.0
Stock-based compensation,10089000.0,7815000.0,5322000.0,7709000.0,6427000.0,0.0,0.0,0.0,7053000.0,6270000.0,5097000.0,5415000.0,5356000.0
Operating Cash Flow,76687000.0,145842000.0,272520000.0,146804000.0,136661000.0,0.0,0.0,0.0,99077000.0,151147000.0,54784000.0,5166000.0,123570000.0
Capital Expenditure,62808000.0,50786000.0,30478000.0,37128000.0,44211000.0,0.0,0.0,0.0,26829000.0,47911000.0,71396000.0,0.0,-33381000.0
Acquisitions and disposals,-2731000.0,-0.0,-218832000.0,-229582000.0,750000.0,-0.0,-0.0,-0.0,-94271000.0,-0.0,-0.0,-0.0,-10552000.0
Investment purchases and sales,-211336000.0,-29098000.0,-41729000.0,-68315000.0,-33518000.0,0.0,0.0,0.0,-40347000.0,-31281000.0,-45131000.0,0.0,3400000.0
Investing Cash flow,-70164000.0,-53377000.0,-22340000.0,-267822000.0,-27476000.0,420236000.0,401869000.0,394194000.0,-108717000.0,-9492000.0,-60478000.0,-5166000.0,-40533000.0
Issuance (repayment) of debt,-2303000.0,-433000.0,-0.0,-3779000.0,-0.0,-0.0,-0.0,-0.0,-497000.0,-931000.0,-363000.0,-0.0,-254000.0
Issuance (buybacks) of shares,-211858000.0,-29348000.0,-41929000.0,-68365000.0,-43800000.0,-420236000.0,-401869000.0,-394194000.0,-41168000.0,-47106000.0,-56281000.0,0.0,-24114000.0
Dividend payments,-21005000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
Financing Cash Flow,-290967000.0,-31352000.0,-34742000.0,159637000.0,-24881000.0,0.0,0.0,0.0,-30108000.0,-43723000.0,-54087000.0,0.0,-24368000.0
Effect of forex changes on cash,-1315000.0,2744000.0,-1095000.0,-1021000.0,-2483000.0,0.0,0.0,0.0,724000.0,2727000.0,-2644000.0,0.0,2880000.0
Net cash flow / Change in cash,-284444000.0,61113000.0,215438000.0,38619000.0,81821000.0,420236000.0,401869000.0,394194000.0,-39024000.0,100659000.0,-62425000.0,0.0,61549000.0
Free Cash Flow,13879000.0,95056000.0,242042000.0,109676000.0,92450000.0,0.0,0.0,0.0,72248000.0,103236000.0,-16612000.0,5166000.0,90189000.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3364
