Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12,2013-12-31,2013-12,2010-12-31
Cash and cash equivalents,35000000.0,35000000.0,108800000.0,109000000.0,148100000.0,148000000.0,198000000.0,164800000.0,165000000.0,144900000.0
Short-term investments,0.0,,129600000.0,,122200000.0,,,159300000.0,,0.0
Cash and short-term investments,35000000.0,,108800000.0,,148100000.0,,,164800000.0,,144900000.0
Receivables,105000000.0,271000000.0,39700000.0,145000000.0,77900000.0,162000000.0,348000000.0,210200000.0,300000000.0,0.0
Inventories,0.0,2000000.0,30900000.0,31000000.0,35100000.0,35000000.0,94000000.0,94900000.0,95000000.0,134700000.0
Total current assets,330000000.0,14498000000.0,401200000.0,17709000000.0,556300000.0,18260000000.0,16792000000.0,676800000.0,14225000000.0,1219900000.0
Property Plant & Equipment Net,12896000000.0,12896000000.0,16722600000.0,16723000000.0,17412400000.0,17412000000.0,15693000000.0,13176800000.0,13177000000.0,8641600000.0
Goodwill and Intangible Assets,0.0,0,258500000.0,258000000,280000000.0,280000000,502000000,509900000.0,510000000,523100000.0
Long-term investments,1565000000.0,1565000000.0,0.0,361000000.0,0.0,000000.0,000000.0,0.0,000000.0,0.0
Tax assets,0.0,,0.0,,0.0,,,0.0,,0.0
Total non-current assets,14498000000.0,12123000000.0,17708900000.0,13032000000.0,18259500000.0,12258000000.0,10711000000.0,14224700000.0,7186000000.0,9221100000.0
Total assets,14828000000.0,14828000000.0,18110100000.0,18110000000.0,18815800000.0,18816000000.0,17747000000.0,14901500000.0,14902000000.0,10441000000.0
Payables,48000000.0,83000000.0,213900000.0,83000000.0,190900000.0,655000000.0,778000000.0,121400000.0,822000000.0,53300000.0
Short-term debt,500000000.0,500000000.0,0.0,000000.0,300000000.0,300000000.0,000000.0,200000000.0,200000000.0,31000000.0
Total current liabilities,935000000.0,935000000.0,1102200000.0,1102000000.0,1590300000.0,1590000000.0,1916000000.0,1993400000.0,1993000000.0,1317900000.0
Long-term debt,6366000000.0,6976000000.0,7884400000.0,8634000000.0,7769900000.0,7770000000.0,6675000000.0,4777400000.0,4777000000.0,4778900000.0
Total debt,6866000000.0,6976000000.0,7884400000.0,8634000000.0,8069900000.0,7770000000.0,6675000000.0,4977400000.0,4777000000.0,4809900000.0
Deferred revenue,0.0,,0.0,,0.0,,,0.0,,0.0
Tax Liabilities,106000000.0,,106900000.0,,103700000.0,,,70700000.0,,49100000.0
Deposit Liabilities,0.0,,0.0,,0.0,,,0.0,,0.0
Total non-current liabilities,6544000000.0,12123000000.0,8107100000.0,13032000000.0,8075100000.0,12258000000.0,10711000000.0,4922100000.0,7186000000.0,4901800000.0
Total liabilities,13058000000.0,13058000000.0,14133700000.0,14134000000.0,13848200000.0,13848000000.0,12626000000.0,9179700000.0,9180000000.0,7020900000.0
Other comprehensive income,2168000000,1702000000.0,4655000000,4643000000.0,5707600000,4820000000.0,4922000000.0,5875000000,5420000000.0,3663500000
Retained earnings (deficit),-199000000.0,,-339300000.0,,-370000000.0,,,-76600000.0,,-121700000.0
Total shareholders equity,1770000000.0,1770000000.0,3976400000.0,3976000000.0,4967600000.0,4968000000.0,5120000000.0,5721800000.0,5722000000.0,3420100000.0
Investments,1565000000.0,1565000000.0,129600000.0,361000000.0,122200000.0,000000.0,000000.0,159300000.0,000000.0,0.0
Net Debt,6831000000.0,7441000000,7775600000.0,8525000000,7921800000.0,7922000000,6477000000,4812600000.0,4812000000,4665000000.0
Other Assets,0.0,44000000,0.0,447000000,0.0,778000000,912000000,0.0,655000000,0.0
Other Liabilities,5579000000.0,273000000,4924400000.0,1125000000,4182800000.0,831000000,1017000000,2264200000.0,800000000,801200000.0
