Date,2019-06-30,2018-06-30,2018-06,2017-06-30,2017-06,2016-06-30,2016-06,2015-06-30,2015-06,2014-06-30,2014-06,2013-06-30,2012-06-30,2011-06-30,2010-06-30,2009-06-30
Cash and cash equivalents,3234000000.0,2500000000.0,7622000000.0,19000000.0,6163000000.0,0.0,4424000000.0,8428000000.0,8428000000.0,5415000000.0,5415000000.0,6659000000.0,9626000000.0,12680000000.0,8709000000.0,6540000000.0
Short-term investments,761000000.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,3995000000.0,2500000000.0,,19000000.0,,0.0,,8428000000.0,,5415000000.0,,6659000000.0,9626000000.0,12680000000.0,8709000000.0,6540000000.0
Receivables,1967000000.0,1833000000.0,7120000000.0,1693000000.0,6477000000.0,0.0,6258000000.0,6306000000.0,5912000000.0,6922000000.0,6468000000.0,5896000000.0,6995000000.0,6680000000.0,6777000000.0,6569000000.0
Inventories,1129000000.0,0.0,3669000000.0,0.0,3101000000.0,0.0,3291000000.0,9160000000.0,2749000000.0,9534000000.0,3092000000.0,8155000000.0,7191000000.0,6530000000.0,5646000000.0,5655000000.0
Total current assets,6478000000.0,34498000000.0,19333000000.0,34438000000.0,16286000000.0,33244000000.0,14949000000.0,32691000000.0,17376000000.0,39417000000.0,15376000000.0,35377000000.0,37215000000.0,40196000000.0,36360000000.0,37285000000.0
Property Plant & Equipment Net,1313000000.0,1169000000.0,1956000000.0,1123000000.0,1781000000.0,0.0,1692000000.0,1722000000.0,1722000000.0,2931000000.0,2931000000.0,2829000000.0,5814000000.0,6542000000.0,5980000000.0,6245000000.0
Goodwill and Intangible Assets,5542000000.0,2747000000.0,18869000000,3251000000.0,19366000000,0.0,19510000000,18833000000.0,18833000000,26124000000.0,26124000000,22319000000.0,20307000000.0,23284000000.0,22055000000.0,23307000000.0
Long-term investments,865000000.0,275000000.0,4112000000.0,54000000.0,3902000000.0,0.0,3863000000.0,4529000000.0,4529000000.0,2859000000.0,2859000000.0,3704000000.0,4968000000.0,4867000000.0,3515000000.0,2957000000.0
Tax assets,4651000000.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Total non-current assets,13031000000.0,24789000000.0,34498000000.0,26548000000.0,34438000000.0,26244000000.0,33416000000.0,24811000000.0,32675000000.0,25036000000.0,39417000000.0,22384000000.0,21861000000.0,21762000000.0,19981000000.0,18850000000.0
Total assets,19509000000.0,13121000000.0,53831000000.0,10348000000.0,50724000000.0,0.0,48365000000.0,50039000000.0,50051000000.0,54793000000.0,54793000000.0,50944000000.0,56663000000.0,61980000000.0,54384000000.0,53121000000.0
Payables,1712000000.0,149000000.0,443000000.0,219000000.0,406000000.0,0.0,270000000.0,3717000000.0,3937000000.0,4183000000.0,4183000000.0,4434000000.0,5405000000.0,5773000000.0,5204000000.0,5279000000.0
Short-term debt,188000000.0,0.0,1054000000.0,0.0,457000000.0,0.0,427000000.0,244000000.0,244000000.0,799000000.0,799000000.0,137000000.0,273000000.0,32000000.0,129000000.0,2085000000.0
Total current liabilities,1712000000.0,1759000000.0,8244000000.0,2042000000.0,7238000000.0,0.0,7068000000.0,7042000000.0,7262000000.0,8856000000.0,8856000000.0,8435000000.0,9617000000.0,9571000000.0,8862000000.0,10639000000.0
Long-term debt,6751000000.0,0.0,18469000000.0,0.0,19456000000.0,0.0,19298000000.0,18795000000.0,18795000000.0,18259000000.0,18259000000.0,16321000000.0,15182000000.0,15463000000.0,13191000000.0,12204000000.0
Total debt,6939000000.0,19523000000.0,18469000000.0,19913000000.0,19456000000.0,19553000000.0,19298000000.0,19039000000.0,18795000000.0,19058000000.0,18259000000.0,16458000000.0,15455000000.0,15495000000.0,13320000000.0,14289000000.0
Deferred revenue,169000000.0,826000000.0,826000000.0,728000000.0,580000000.0,505000000.0,505000000.0,448000000.0,448000000.0,690000000.0,690000000.0,677000000.0,880000000.0,957000000.0,712000000.0,772000000.0
