Date,2019-01-31,2018-01-31,2017-01-31,2016-01-31
Cash and cash equivalents,298394000.0,127949000.0,23282000.0,58081000.0
Short-term investments,265374000.0,101765000.0,14390000.0,33537000.0
Cash and short-term investments,563768000.0,229714000.0,37672000.0,91618000.0
Receivables,91926000.0,52248000.0,34544000.0,23009000.0
Inventories,0.0,0.0,0.0,0.0
Total current assets,709330000.0,315416000.0,92790000.0,125668000.0
Property Plant & Equipment Net,52921000.0,12540000.0,11026000.0,4709000.0
Goodwill and Intangible Assets,31997000.0,18043000.0,11785000.0,7223000.0
Long-term investments,0.0,0.0,0.0,0.0
Tax assets,28742000.0,10331000.0,0.0,0.0
Total non-current assets,155005000.0,51981000.0,37845000.0,24095000.0
Total assets,864335000.0,367397000.0,130635000.0,149763000.0
Payables,17212000.0,9566000.0,9387000.0,5874000.0
Short-term debt,271628000.0,6187000.0,0.0,0.0
Total current liabilities,564191000.0,190800000.0,134496000.0,87140000.0
Long-term debt,271628000.0,0.0,0.0,0.0
Total debt,543256000.0,6187000.0,0.0,0.0
Deferred revenue,245622000.0,162633000.0,113723000.0,79525000.0
Tax Liabilities,1195000.0,835000.0,0.0,0.0
Deposit Liabilities,370000.0,1119000.0,0.0,0.0
Total non-current liabilities,328163000.0,13192000.0,11790000.0,15731000.0
Total liabilities,611958000.0,203797000.0,146286000.0,102871000.0
Other comprehensive income,744897000,565702000,-167000.0,-57000.0
Retained earnings (deficit),-492211000.0,-402500000.0,-287909000.0,-204400000.0
Total shareholders equity,252377000.0,163600000.0,-243605000.0,-181062000.0
Investments,265374000.0,101765000.0,14390000.0,33537000.0
Net Debt,244862000.0,-121762000.0,-37672000.0,-91618000.0
Other Assets,0.0,0.0,20574000.0,11041000.0
Other Liabilities,0.0,-195000.0,125109000.0,81266000.0
