Date,2017-08-31,2017-08,2016-08-31,2016-08,2015-08-31,2015-08,2014-08-31,2014-08,2013-08-31,2013-08,2012-08-31
Cash and cash equivalents,53251000.0,53000000.0,35260000.0,35000000.0,96872000.0,97000000.0,135493000.0,135000000.0,134054000.0,134000000.0,124031000.0
Short-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Cash and short-term investments,53251000.0,,35260000.0,,96872000.0,,135493000.0,,134054000.0,,124031000.0
Receivables,408439000.0,408000000.0,376786000.0,377000000.0,413943000.0,414000000.0,384444000.0,384000000.0,310749000.0,311000000.0,304698000.0
Inventories,276459000.0,276000000.0,263617000.0,264000000.0,317328000.0,317000000.0,292141000.0,292000000.0,261658000.0,262000000.0,247222000.0
Total current assets,781305000.0,972000000.0,724069000.0,1034000000.0,888348000.0,1463000000.0,852551000.0,660000000.0,747685000.0,491000000.0,708354000.0
Property Plant & Equipment Net,298703000.0,299000000.0,314822000.0,315000000.0,314494000.0,314000000.0,253921000.0,254000000.0,210521000.0,211000000.0,225876000.0
Goodwill and Intangible Assets,595925000.0,596000000,620387000.0,621000000,1058120000.0,1059000000,340933000.0,341000000,231413000.0,232000000,218391000.0
Long-term investments,0.0,,0.0,,0.0,,0.0,,3800000.0,,3400000.0
Tax assets,31600000.0,,36200000.0,,76882000.0,,60028000.0,,74805000.0,,51550000.0
Total non-current assets,972475000.0,1092000000.0,1033612000.0,1169000000.0,1463363000.0,1310000000.0,659933000.0,532000000.0,490657000.0,359000000.0,485413000.0
Total assets,1753780000.0,1754000000.0,1757681000.0,1758000000.0,2351711000.0,2352000000.0,1512484000.0,1512000000.0,1238342000.0,1238000000.0,1193767000.0
Payables,318820000.0,319000000.0,280060000.0,280000000.0,305385000.0,305000000.0,314957000.0,315000000.0,265477000.0,265000000.0,248069000.0
Short-term debt,32013000.0,32000000.0,25447000.0,25000000.0,20710000.0,21000000.0,31748000.0,32000000.0,8373000.0,8000000.0,35411000.0
Total current liabilities,464445000.0,464000000.0,429765000.0,430000000.0,457316000.0,457000000.0,453343000.0,453000000.0,372034000.0,372000000.0,367305000.0
Long-term debt,885178000.0,882000000.0,929591000.0,926000000.0,1045349000.0,1045000000.0,339546000.0,339000000.0,207435000.0,207000000.0,174466000.0
Total debt,917191000.0,882000000.0,955038000.0,926000000.0,1066059000.0,1045000000.0,371294000.0,339000000.0,215808000.0,207000000.0,209877000.0
Deferred revenue,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Tax Liabilities,4900000.0,38000000.0,8985000.0,59000000.0,4205000.0,116000000.0,6385000.0,24000000.0,6423000.0,21000000.0,4268000.0
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Total non-current liabilities,946612000.0,1092000000.0,1014448000.0,1169000000.0,1183771000.0,1310000000.0,392741000.0,532000000.0,252965000.0,359000000.0,226192000.0
Total liabilities,1556762000.0,1557000000.0,1598412000.0,1598000000.0,1767625000.0,1768000000.0,985441000.0,985000000.0,730965000.0,731000000.0,692371000.0
Other comprehensive income,16655000,-89000000.0,12441000,-121000000.0,11487000,-83000000.0,0.0,-17000000.0,0.0,1000000.0,0.0
Retained earnings (deficit),220357000.0,220000000.0,219039000.0,219000000.0,607690000.0,608000000.0,606898000.0,607000000.0,574370000.0,574000000.0,571205000.0
Total shareholders equity,197018000.0,197000000.0,159269000.0,159000000.0,584086000.0,584000000.0,527043000.0,527000000.0,507377000.0,507000000.0,501396000.0
Investments,0.0,,0.0,,0.0,,0.0,,3800000.0,,3400000.0
Net Debt,863940000.0,861000000,919778000.0,916000000,969187000.0,969000000,235801000.0,236000000,81754000.0,81000000,85846000.0
Other Assets,0.0,84000000,0.0,106000000,0.0,91000000,0.0,65000000,0.0,49000000,0.0
Other Liabilities,145705000.0,24000000,154199000.0,26000000,126538000.0,23000000,139357000.0,29000000,105966000.0,25000000,98874000.0
