Date,2018-12-31,2017-12-31,2016-12-31
Cash and cash equivalents,104583000.0,29147000.0,17040000.0
Short-term investments,0.0,0.0,0.0
Cash and short-term investments,104583000.0,29147000.0,17040000.0
Receivables,5620000.0,4267000.0,3577000.0
Inventories,2432000.0,2468000.0,1696000.0
Total current assets,114473000.0,37005000.0,22920000.0
Property Plant & Equipment Net,1378000.0,1359000.0,1628000.0
Goodwill and Intangible Assets,0.0,0.0,0.0
Long-term investments,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0
Total non-current assets,2549000.0,1933000.0,1878000.0
Total assets,117022000.0,38938000.0,24798000.0
Payables,3756000.0,2513000.0,1483000.0
Short-term debt,493000.0,0.0,4491000.0
Total current liabilities,13559000.0,11994000.0,13338000.0
Long-term debt,30395000.0,29556000.0,15647000.0
Total debt,30888000.0,29556000.0,20138000.0
Deferred revenue,2255000.0,4245000.0,1330000.0
Tax Liabilities,606000.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0
Total non-current liabilities,32335000.0,32460000.0,16273000.0
Total liabilities,45980000.0,44454000.0,29611000.0
Other comprehensive income,291908000,0.0,0.0
Retained earnings (deficit),-221043000.0,-196946000.0,-180887000.0
Total shareholders equity,71042000.0,-192652000.0,-177124000.0
Investments,0.0,0.0,0.0
Net Debt,-73695000.0,409000.0,3098000.0
Other Assets,0.0,1123000.0,607000.0
Other Liabilities,86000.0,9481000.0,7364000.0
