Date,2018-12-31,2018-03,2017-12-31,2017-03,2016-12-31,2016-03,2015-12-31,2015-03,2014-12-31,2014-03,2013-12-31,2012-12-31,2011-12-31,2010-12-31
Cash and cash equivalents,267843000.0,0000000.0,287452000.0,0000000.0,277977000.0,0000000.0,330653000.0,0000000.0,275210000.0,0000000.0,261897000.0,245875000.0,284188000.0,317010000.0
Short-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Cash and short-term investments,267843000.0,,287452000.0,,277977000.0,,330653000.0,,275210000.0,,261897000.0,245875000.0,284188000.0,317010000.0
Receivables,42100000.0,0000000.0,0.0,0000000.0,0.0,0000000.0,0.0,0000000.0,0.0,0000000.0,0.0,0.0,0.0,0.0
Inventories,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Total current assets,309943000.0,1000000.0,287452000.0,1000000.0,277977000.0,0000000.0,330653000.0,0000000.0,275210000.0,0000000.0,261897000.0,245875000.0,284188000.0,317010000.0
Property Plant & Equipment Net,48055000.0,1000000.0,53960000.0,1000000.0,59333000.0,0000000.0,55496000.0,0000000.0,60306000.0,0000000.0,66171000.0,54989000.0,43023000.0,34790000.0
Goodwill and Intangible Assets,23323000.0,0,25094000.0,0,25492000.0,0,36544000.0,0,44398000.0,0,31201000.0,35227000.0,313886000.0,505263000.0
Long-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Tax assets,4735000.0,,4902000.0,,38688000.0,,37357000.0,,37209000.0,,34130000.0,39155000.0,16493000.0,4902000.0
Total non-current assets,711132000.0,,497404000.0,,497308000.0,,1378369000.0,,1075639000.0,,1947990000.0,1950884000.0,1893881000.0,2213843000.0
Total assets,1021075000.0,1000000.0,784856000.0,1000000.0,775285000.0,0000000.0,1709022000.0,0000000.0,1350849000.0,0000000.0,2209887000.0,2196759000.0,2178069000.0,2530853000.0
Payables,211638000.0,0000000.0,166495000.0,0000000.0,174343000.0,0000000.0,169530000.0,0000000.0,199211000.0,0000000.0,175931000.0,165062000.0,181224000.0,195109000.0
Short-term debt,78029000.0,,101422000.0,,72150000.0,,81934000.0,,78360000.0,,73539000.0,22154000.0,1606000.0,0.0
Total current liabilities,303101000.0,0000000.0,281977000.0,0000000.0,258688000.0,0000000.0,278241000.0,0000000.0,311179000.0,0000000.0,276808000.0,210001000.0,209783000.0,211324000.0
Long-term debt,1506000.0,,2404000.0,,3098000.0,,3606000.0,,2653000.0,,9020000.0,15388000.0,21755000.0,0.0
Total debt,79535000.0,,103826000.0,,75248000.0,,85540000.0,,81013000.0,,82559000.0,37542000.0,23361000.0,0.0
Deferred revenue,9558000.0,,8057000.0,,7643000.0,,9760000.0,,13836000.0,,12533000.0,12177000.0,15493000.0,0.0
Tax Liabilities,3876000.0,,6003000.0,,4552000.0,,17017000.0,,19772000.0,,14805000.0,10608000.0,11460000.0,16215000.0
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Total non-current liabilities,3375000.0,,4154000.0,,15727000.0,,17373000.0,,3356000.0,,9383000.0,15681000.0,22474000.0,18114000.0
Total liabilities,662404000.0,0000000.0,421621000.0,0000000.0,370121000.0,0000000.0,1254201000.0,0000000.0,935253000.0,0000000.0,1792455000.0,1786989000.0,1506955000.0,1660785000.0
Other comprehensive income,0.0,0000000.0,0.0,0000000.0,0.0,0000000.0,0.0,0000000.0,0.0,0000000.0,0.0,0.0,8910000,25924000
Retained earnings (deficit),478348000.0,-4000000.0,486957000.0,-3000000.0,536350000.0,-2000000.0,571626000.0,-2000000.0,487462000.0,-1000000.0,436570000.0,405485000.0,653344000.0,833133000.0
Total shareholders equity,358671000.0,1000000.0,363235000.0,0000000.0,405164000.0,0000000.0,454821000.0,-0000000.0,415596000.0,0000000.0,417432000.0,409770000.0,671114000.0,870068000.0
Investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Net Debt,-188308000.0,0,-183626000.0,0,-202729000.0,0,-245113000.0,0,-194197000.0,0,-179338000.0,-208333000.0,-260827000.0,-317010000.0
Other Assets,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
Other Liabilities,355928000.0,0,135490000.0,0,95706000.0,0,958587000.0,0,620718000.0,0,1506264000.0,1561307000.0,1274698000.0,1431347000.0
