Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Cash and cash equivalents,5640078.0,14201163.0,16308954.0,352362.0,656191.0
Short-term investments,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,5640078.0,14201163.0,16308954.0,352362.0,656191.0
Receivables,7726919.0,3058266.0,4403946.0,1496654.0,628238.0
Inventories,8471769.0,5487053.0,4839591.0,2093099.0,900272.0
Total current assets,23023348.0,23612468.0,25664264.0,3946296.0,2190304.0
Property Plant & Equipment Net,2122757.0,824076.0,737586.0,542892.0,434996.0
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0,0.0
Long-term investments,0.0,0.0,0.0,0.0,0.0
Tax assets,715916.0,629316.0,160637.0,205000.0,190000.0
Total non-current assets,2216758.0,911572.0,965019.0,836836.0,727695.0
Total assets,25240106.0,24524040.0,26629283.0,4783132.0,2917999.0
Payables,1066415.0,757753.0,659355.0,182884.0,78061.0
Short-term debt,283388.0,110237.0,111368.0,1292843.0,777031.0
Total current liabilities,1933546.0,1494420.0,2739874.0,2400958.0,1514680.0
Long-term debt,924539.0,126818.0,237431.0,127840.0,197541.0
Total debt,1207927.0,237055.0,348799.0,1420683.0,974572.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,1227308.0,295778.0,38405.0
Deposit Liabilities,79184.0,40039.0,71954.0,229602.0,240347.0
Total non-current liabilities,924539.0,126818.0,237431.0,127840.0,197541.0
Total liabilities,2858085.0,1621238.0,2977305.0,2528798.0,1712221.0
Other comprehensive income,19578426,19250955,0.0,0.0,0.0
Retained earnings (deficit),2802581.0,3650833.0,4408249.0,5439.0,38778.0
Total shareholders equity,22382021.0,22902802.0,23651978.0,2254334.0,1205778.0
Investments,0.0,0.0,0.0,0.0,0.0
Net Debt,-4432151.0,-13964108.0,-15960155.0,1068321.0,318381.0
Other Assets,0.0,0.0,111773.0,4181.0,5603.0
Other Liabilities,0.0,0.0,1969151.0,925231.0,659588.0
