Date,2018-08-31,2017-08-31,2016-08-31,2015-08-31
Cash and cash equivalents,206854398.827,148820979.233,39844058.6651,26745030.5212
Short-term investments,119626686.217,62738062.7558,111251870.6974,53941618.4066
Cash and short-term investments,326481085.044,211559041.9888,151095929.3625,80686648.9278
Receivables,2419354.8387,15727451.8721,5986231.6672,5039912.3494
Inventories,0.0,0.0,0.0,0.0
Total current assets,363572580.6452,244011671.9721,173603412.1521,97880419.471
Property Plant & Equipment Net,65980938.4164,41265120.5093,18857976.6537,16076068.2423
Goodwill and Intangible Assets,70996480.9384,10369107.1699,1363962.8854,35216.7788
Long-term investments,70982844.5748,40480673.0332,6875336.7255,3002347.7853
Tax assets,5491935.4839,4410489.6165,4656539.9581,3742213.1789
Total non-current assets,252692375.3666,107301045.93,38768183.1787,27102676.4752
Total assets,616264956.0117,351312717.9021,212371595.3307,124983095.9462
Payables,0.0,0.0,0.0,0.0
Short-term debt,6598240.4692,757920.2668,0.0,0.0
Total current liabilities,390245014.6628,301403365.166,210509877.2823,160093285.3342
Long-term debt,59384164.2229,0.0,0.0,0.0
Total debt,65982404.6921,757920.2668,0.0,0.0
Deferred revenue,0.0,0.0,0.0,0.0
Tax Liabilities,12683870.9677,7666363.4986,7896887.1595,7947722.6483
Deposit Liabilities,292030351.9062,232139457.3291,157543849.147,116129597.7461
Total non-current liabilities,65427126.0997,1972411.7023,1359323.5558,965565.8162
Total liabilities,455672140.7625,303375776.8683,211869200.8381,161058851.1504
Other comprehensive income,18900293.2551,2898741.8524,872193.9539,4695.5705
Retained earnings (deficit),-664962170.088,-237552827.0426,-272706375.3367,-310170762.2476
Total shareholders equity,150245601.173,-221633772.9271,-263249176.8931,-310163405.8538
Investments,190609530.7918,103218735.789,118127207.4229,56943966.1919
Net Debt,-261906290.2958,,,
Other Assets,34033560.1173,,,
Other Liabilities,383646774.1936,300645444.8992,210509877.2823,160093285.3342
