Date,2019-09-30,2018-09-30,2018-09,2017-09-30,2017-09,2016-09-30,2016-09,2015-09-30,2015-09,2014-09-30,2014-09,2013-09-30,2012-09-30,2011-09-30,2010-09-30
Cash and cash equivalents,760000000.0,1557000000.0,1557000000.0,1389000000.0,1389000000.0,379000000.0,379000000.0,506000000.0,506000000.0,1000000000.0,1000000000.0,2403000000.0,848000000.0,1021000000.0,0.0
Short-term investments,496000000.0,0.0,,0.0,,114000000.0,,100000000.0,,107000000.0,,89000000.0,0.0,0.0,0.0
Cash and short-term investments,1256000000.0,1557000000.0,,1389000000.0,,493000000.0,,606000000.0,,1107000000.0,,2492000000.0,848000000.0,1021000000.0,0.0
Receivables,0.0,0.0,3141000000.0,0.0,2970000000.0,0.0,2712000000.0,0.0,2807000000.0,0.0,3066000000.0,0.0,0.0,0.0,0.0
Inventories,775000000.0,896000000.0,896000000.0,919000000.0,919000000.0,844000000.0,844000000.0,786000000.0,786000000.0,846000000.0,846000000.0,770000000.0,832000000.0,828000000.0,0.0
Total current assets,5294000000.0,6076000000.0,6076000000.0,5801000000.0,5801000000.0,4522000000.0,4522000000.0,4658000000.0,4658000000.0,5252000000.0,5252000000.0,6726000000.0,4853000000.0,5261000000.0,0.0
Property Plant & Equipment Net,922000000.0,919000000.0,919000000.0,978000000.0,978000000.0,932000000.0,932000000.0,947000000.0,947000000.0,1016000000.0,1016000000.0,1040000000.0,1068000000.0,1057000000.0,0.0
Goodwill and Intangible Assets,12211000000.0,11922000000.0,11922000000,11978000000.0,11978000000,11715000000.0,11715000000,11796000000.0,11796000000,11934000000.0,11934000000,11358000000.0,11373000000.0,11456000000.0,0.0
Long-term investments,112000000.0,80000000.0,,98000000.0,,96000000.0,,71000000.0,,0.0,,61000000.0,79000000.0,0.0,0.0
Tax assets,194000000.0,36000000.0,,40000000.0,,43000000.0,,80000000.0,,8000000.0,,58000000.0,68000000.0,0.0,0.0
Total non-current assets,18377000000.0,17707000000.0,17707000000.0,17897000000.0,17897000000.0,17986000000.0,17986000000.0,17559000000.0,17559000000.0,17865000000.0,17865000000.0,17103000000.0,17397000000.0,17540000000.0,0.0
Total assets,23671000000.0,23783000000.0,23783000000.0,23698000000.0,23698000000.0,22508000000.0,22508000000.0,22217000000.0,22217000000.0,23117000000.0,23117000000.0,23829000000.0,22250000000.0,22801000000.0,0.0
Payables,482000000.0,433000000.0,433000000.0,431000000.0,431000000.0,453000000.0,453000000.0,506000000.0,506000000.0,475000000.0,475000000.0,316000000.0,255000000.0,427000000.0,0.0
Short-term debt,98000000.0,567000000.0,567000000.0,19000000.0,19000000.0,17000000.0,17000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,23000000.0,0.0
