Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31
Cash and cash equivalents,4068000.0,25992000.0,36850000.0,11782000.0,8000.0,49220000.0,1188000.0,3347000.0,17788000.0
Short-term investments,803000.0,2034000.0,0.0,0.0,47444000.0,6187000.0,2125000.0,56486000.0,0.0
Cash and short-term investments,4871000.0,28026000.0,36850000.0,11782000.0,47452000.0,55407000.0,3313000.0,59833000.0,17788000.0
Receivables,0.0,0.0,0.0,0.0,0.0,3113000.0,7078000.0,7594000.0,0.0
Inventories,596000.0,2521000.0,4125000.0,5652000.0,1383000.0,2076000.0,2202000.0,8627000.0,0.0
Total current assets,21208000.0,38490000.0,46870000.0,23229000.0,78296000.0,133145000.0,32573000.0,101129000.0,17788000.0
Property Plant & Equipment Net,165190000.0,111457000.0,82120000.0,70532000.0,614605000.0,823317000.0,719749000.0,723166000.0,1222853000.0
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Long-term investments,0.0,566000.0,0.0,0.0,0.0,1396000.0,0.0,0.0,0.0
Tax assets,786000.0,900000.0,125466000.0,26000.0,16488000.0,665000.0,636000.0,340000.0,0.0
Total non-current assets,166556000.0,113651000.0,82442000.0,75744000.0,643842000.0,841068000.0,735812000.0,760974000.0,-17788000.0
Total assets,187764000.0,152141000.0,129312000.0,98973000.0,722138000.0,974213000.0,768385000.0,862103000.0,0.0
Payables,25734000.0,17204000.0,14392000.0,19673000.0,86823000.0,50551000.0,73094000.0,46095000.0,0.0
Short-term debt,27000000.0,16700000.0,0.0,470603000.0,121000000.0,49663000.0,95000000.0,102500000.0,0.0
Total current liabilities,42252000.0,36281000.0,18274000.0,502923000.0,157701000.0,153922000.0,111883000.0,114865000.0,0.0
Long-term debt,76820000.0,55725000.0,47205000.0,429468000.0,568625000.0,435866000.0,568671000.0,566126000.0,0.0
Total debt,103820000.0,72425000.0,47205000.0,900071000.0,689625000.0,485529000.0,663671000.0,668626000.0,0.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,2193000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,77606000.0,55952000.0,47507000.0,429984000.0,585743000.0,436531000.0,569307000.0,593589000.0,0.0
Total liabilities,123334000.0,95890000.0,68412000.0,507058000.0,737912000.0,617690000.0,708140000.0,718403000.0,-183972000.0
Other comprehensive income,74861000,68446000,65116000,1071134000,1069029000,1058637000,650069000,643351000,645882000
Retained earnings (deficit),-10553000.0,-12303000.0,-4307000.0,-1492001000.0,-1093824000.0,-710966000.0,-597176000.0,-506927000.0,-469122000.0
Total shareholders equity,64430000.0,56251000.0,60900000.0,-408085000.0,-15774000.0,356523000.0,60245000.0,143700000.0,183972000.0
Investments,803000.0,2600000.0,0.0,0.0,47444000.0,7583000.0,2125000.0,56486000.0,0.0
Net Debt,99752000.0,46433000.0,10355000.0,888289000.0,689617000.0,436309000.0,662483000.0,665279000.0,-17788000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,3476000.0,3657000.0,2631000.0,0.0,0.0,27237000.0,26950000.0,9949000.0,-183972000.0
