Date,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2012-12-13,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,1556202000.0,609747000.0,21000.0,7335000.0,612505000.0,1204052000.0,1078120000.0,2638506000.0,0.0,738679000.0,476388000.0,373044000.0
Short-term investments,3609859000.0,2722612000.0,1730904000.0,1494744000.0,1154749000.0,2880006000.0,0.0,,0.0,1857465000.0,,
Cash and short-term investments,5166061000.0,3332359000.0,1730925000.0,1502079000.0,1767254000.0,4084058000.0,1078120000.0,,0.0,2596144000.0,,
Receivables,0.0,0.0,0.0,0.0,0.0,0.0,50000000.0,2051568000.0,0.0,0.0,2011436000.0,617532000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,5166061000.0,3332359000.0,1730925000.0,1502079000.0,1767254000.0,4084058000.0,1128120000.0,,0.0,2596144000.0,,
Property Plant & Equipment Net,190696000.0,19990000.0,19184000.0,25154000.0,31636000.0,35906000.0,40251000.0,53452000.0,0.0,52683000.0,44696000.0,67794000.0
Goodwill and Intangible Assets,93900000.0,107751000.0,107694000.0,111573000.0,117472000.0,109282000.0,144170000.0,186750000.0,0.0,130740000.0,113468000.0,116948000.0
Long-term investments,55189000.0,130091000.0,189542000.0,78300000.0,48421000.0,32873000.0,9867000.0,,0.0,0.0,,
Tax assets,473165000.0,306094000.0,337638000.0,572263000.0,646207000.0,606717000.0,660199000.0,542208000.0,0.0,576304000.0,571325000.0,644395000.0
Total non-current assets,3376056000.0,2659295000.0,5260145000.0,4127474000.0,2792554000.0,19094779000.0,21349861000.0,,0.0,5379729000.0,,
Total assets,8542117000.0,5991654000.0,6991070000.0,5629553000.0,4559808000.0,23178837000.0,22477981000.0,20636858000.0,0.0,7975873000.0,6552372000.0,3385197000.0
Payables,94364000.0,70878000.0,68873000.0,57465000.0,92012000.0,44246000.0,38159000.0,1373512000.0,0.0,33545000.0,1227476000.0,759073000.0
Short-term debt,0.0,0.0,0.0,0.0,594536000.0,565153000.0,595371000.0,,0.0,578764000.0,,
Total current liabilities,179003000.0,181975000.0,197019000.0,232358000.0,864423000.0,809013000.0,913009000.0,,0.0,845056000.0,,
Long-term debt,2650600000.0,1360448000.0,1362402000.0,1352447000.0,1025255000.0,1034014000.0,750000000.0,,0.0,738516000.0,,
Total debt,2650600000.0,1360448000.0,1362402000.0,1352447000.0,1619791000.0,1599167000.0,1345371000.0,12572773000.0,0.0,1317280000.0,1878705000.0,933834000.0
Deferred revenue,84639000.0,111097000.0,128146000.0,174893000.0,177875000.0,199614000.0,279479000.0,252157000.0,0.0,232747000.0,251475000.0,321424000.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,3123765000.0,1666542000.0,1700040000.0,1924710000.0,1671462000.0,1640731000.0,787272000.0,,0.0,738516000.0,,
Total liabilities,6689895000.0,4615458000.0,5528144000.0,4794437000.0,3910303000.0,21392355000.0,19840712000.0,14933475000.0,0.0,7249472000.0,3470953000.0,2086087000.0
Other comprehensive income,1861378000,1853631000,1844195000,1830025000,2005509000,3187449000,4205661000,144000.0,0.0,3029162958,-1529000.0,-4088000.0
Retained earnings (deficit),-4578000.0,-473276000.0,-379460000.0,-986186000.0,-1348384000.0,-1400661000.0,-1568487000.0,-2142020000.0,0.0,-2426197000.0,-1937818000.0,-2029541000.0
Total shareholders equity,1852222000.0,1376196000.0,1462926000.0,835116000.0,649505000.0,1786482000.0,2637269000.0,2666818000.0,0.0,726401000.0,150902000.0,-304036000.0
Investments,3665048000.0,2852703000.0,1920446000.0,1573044000.0,1203170000.0,2912879000.0,9867000.0,14827631000.0,0.0,1857465000.0,3263164000.0,1554155000.0
Net Debt,1094398000.0,750701000.0,1362381000.0,1345112000.0,1007286000.0,395115000.0,267251000.0,,0.0,578601000.0,,
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,
Other Liabilities,3387127000.0,2766941000.0,3631085000.0,2637369000.0,1374418000.0,18942611000.0,18140431000.0,,0.0,5665900000.0,,
