Date,2017-12-31,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2012-12,2011-12-31
Cash and cash equivalents,240990000.0,67792000.0,68000000.0,46898000.0,47000000.0,180334000.0,180000000.0,144727000.0,145000000.0,79815000.0,80000000.0,124316000.0
Short-term investments,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Cash and short-term investments,240990000.0,67792000.0,,46898000.0,,180334000.0,,144727000.0,,79815000.0,,124316000.0
Receivables,0.0,0.0,11000000.0,0.0,7000000.0,0.0,3000000.0,0.0,4000000.0,0.0,7000000.0,0.0
Inventories,603851000.0,584408000.0,584000000.0,582531000.0,583000000.0,383184000.0,383000000.0,240078000.0,230000000.0,171044000.0,171000000.0,188504000.0
Total current assets,844841000.0,652200000.0,176000000.0,629429000.0,78000000.0,563518000.0,86000000.0,384805000.0,74000000.0,250859000.0,74000000.0,312820000.0
Property Plant & Equipment Net,32664000.0,33680000.0,34000000.0,34973000.0,35000000.0,36922000.0,37000000.0,37844000.0,38000000.0,36661000.0,37000000.0,37976000.0
Goodwill and Intangible Assets,30290000.0,19285000.0,19000000,19295000.0,19000000,6071000.0,6000000,0.0,0,0.0,0,0.0
Long-term investments,300000.0,1172000.0,1000000.0,1172000.0,1000000.0,17991000.0,18000000.0,1230000.0,1000000.0,1220000.0,1000000.0,845000.0
Tax assets,70365000.0,110257000.0,110000000.0,12862000.0,000000.0,13501000.0,000000.0,0.0,000000.0,1293000.0,000000.0,1293000.0
Total non-current assets,165303000.0,188033000.0,308000000.0,112587000.0,359000000.0,105368000.0,333000000.0,81923000.0,154000000.0,87012000.0,152000000.0,96236000.0
Total assets,1010144000.0,840233000.0,840000000.0,742016000.0,742000000.0,668886000.0,669000000.0,466728000.0,467000000.0,337871000.0,338000000.0,409056000.0
Payables,35810000.0,37387000.0,37000000.0,33606000.0,34000000.0,16087000.0,16000000.0,9757000.0,10000000.0,4656000.0,5000000.0,3357000.0
Short-term debt,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Total current liabilities,35810000.0,37387000.0,82000000.0,33606000.0,81000000.0,16087000.0,49000000.0,9757000.0,26000000.0,4656000.0,20000000.0,3357000.0
Long-term debt,472108000.0,275660000.0,276000000.0,326723000.0,327000000.0,299956000.0,300000000.0,105402000.0,105000000.0,105402000.0,105000000.0,0.0
Total debt,472108000.0,275660000.0,276000000.0,326723000.0,327000000.0,299956000.0,300000000.0,105402000.0,105000000.0,105402000.0,105000000.0,0.0
Deferred revenue,0.0,0.0,10000000.0,0.0,9000000.0,0.0,5000000.0,0.0,2000000.0,0.0,2000000.0,0.0
Tax Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Deposit Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Total non-current liabilities,479848000.0,385917000.0,308000000.0,326723000.0,359000000.0,299956000.0,333000000.0,105402000.0,154000000.0,105402000.0,152000000.0,0.0
Total liabilities,578174000.0,389426000.0,389000000.0,440335000.0,440000000.0,382146000.0,382000000.0,180627000.0,181000000.0,171699000.0,172000000.0,154859000.0
Other comprehensive income,401840000,398539000,,396700000,,393970000,,391485000,,259344000,,237029000
Retained earnings (deficit),7655000.0,29644000.0,30000000.0,-117463000.0,-117000000.0,-129413000.0,-129000000.0,-127481000.0,-127000000.0,-106110000.0,-106000000.0,2973000.0
Total shareholders equity,431970000.0,450807000.0,451000000.0,301681000.0,302000000.0,286740000.0,287000000.0,286101000.0,286000000.0,166172000.0,166000000.0,254197000.0
Investments,300000.0,1172000.0,1000000.0,1172000.0,1000000.0,17991000.0,18000000.0,1230000.0,1000000.0,1220000.0,1000000.0,845000.0
Net Debt,231118000.0,207868000.0,208000000,279825000.0,280000000,119622000.0,120000000,-39325000.0,-40000000,25587000.0,25000000,-124316000.0
Other Assets,0.0,0.0,13000000,0.0,50000000,0.0,41000000,0.0,49000000,0.0,42000000,0.0
Other Liabilities,62516000.0,0.0,43000000,80006000.0,38000000,66103000.0,41000000,65468000.0,35000000,61641000.0,33000000,151502000.0
