Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Cash and cash equivalents,349468596.2373,255199062.8779,93948884.0893,24911569.866
Short-term investments,0.0,0.0,0.0,0.0
Cash and short-term investments,349468596.2373,255199062.8779,93948884.0893,24911569.866
Receivables,1182775687.4096,1761139812.5756,1086938516.9186,498828069.6349
Inventories,8277279.3054,15364721.8863,15508135.3492,6824064.0887
Total current assets,1491310853.835,1925383313.1802,1086241612.671,521204436.9126
Property Plant & Equipment Net,11927641.0999,9541263.6034,6011087.113,1841010.6301
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0
Long-term investments,38839218.5239,10636940.7497,3583441.3247,1783700.5084
Tax assets,13690014.4718,5870767.8356,6105831.5335,13782005.8543
Total non-current assets,313403328.5094,300974607.0133,169357379.4096,66853181.328
Total assets,1804714182.3444,2226357920.1935,1255598992.0806,588057618.2406
Payables,87799276.411,40158252.7207,30307415.4068,36138807.5797
Short-term debt,735752677.2793,1616381197.0979,1013466378.6897,486697581.2664
Total current liabilities,1160450506.5123,1943944981.8622,1149785601.1519,553401478.9709
Long-term debt,22849059.3343,25229443.7727,103809215.2628,4788168.2329
Total debt,758601736.6136,1641610640.8706,1117275593.9525,491485749.4993
Deferred revenue,0.0,0.0,0.0,0.0
Tax Liabilities,27088712.0116,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0
Total non-current liabilities,49937771.3459,25229443.7727,103809215.2628,4788168.2329
Total liabilities,1210388277.8582,1969174425.6348,1253594816.4147,558189647.2038
Other comprehensive income,-2070622.2865,-2259824.6675,2439452.8438,2316130.0262
Retained earnings (deficit),230375687.4096,-68100211.6082,-90808351.3319,-66221845.6324
Total shareholders equity,594325904.4863,257183494.5586,-88070698.3441,-63879371.4374
Investments,38839218.5239,10636940.7497,3583441.3247,1783700.5084
Net Debt,409133140.3763,,,
Other Assets,-42521562.9523,,,
Other Liabilities,336898552.822,287405532.0436,106011807.0554,30565090.1248
