Date,2019-06-30,2018-06-30,2017-06-30,2016-08-12,2016-06-30,2015-06-30,2014-06-30,2013-06-30,2012-06-30,2011-06-30,2010-06-30,2009-06-30
Depreciation & Amortization,173771000.0,169005000.0,158400000.0,0.0,131918000.0,97500000.0,72282000.0,64325000.0,59633000.0,0.0,44367000.0,35713000.0
Stock-based compensation,21716000.0,50466000.0,48627000.0,0.0,23772000.0,24075000.0,27786000.0,32928000.0,25413000.0,0.0,16108000.0,9870000.0
Operating Cash Flow,331095000.0,192332000.0,156736000.0,0.0,247358000.0,228876000.0,148580000.0,140012000.0,140641000.0,0.0,153701000.0,120051000.0
Capital Expenditure,70563000.0,60930000.0,74157000.0,0.0,-106759000.0,75813000.0,72122000.0,78999000.0,46420000.0,0.0,-107665000.0,-83454000.0
Acquisitions and disposals,-289920000.0,-110000.0,-204875000.0,-0.0,-164412000.0,-123804000.0,-216384000.0,-0.0,-180675000.0,-0.0,-6496000.0,0.0
Investment purchases and sales,-55567000.0,-94710000.0,-50008000.0,0.0,0.0,0.0,-42016000.0,-64351000.0,-309701000.0,0.0,-9704000.0,25859000.0
Investing Cash flow,-422032000.0,-10594000.0,-301789000.0,0.0,-265538000.0,-217190000.0,-305745000.0,-98931000.0,-232268000.0,0.0,-123865000.0,-57595000.0
Issuance (repayment) of debt,-947696000.0,-974781000.0,-540142000.0,-0.0,153383000.0,-581920000.0,-0.0,-0.0,-179500000.0,-0.0,-13848000.0,-3219000.0
Issuance (buybacks) of shares,-52164000.0,-82729000.0,-43816000.0,0.0,-148762000.0,13123000.0,-37591000.0,-59546000.0,-308307000.0,0.0,14977000.0,-33451000.0
Dividend payments,-0.0,-0.0,-0.0,-0.0,0.0,-118000.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
Financing Cash Flow,81989000.0,-177757000.0,104578000.0,0.0,-5338000.0,38312000.0,169608000.0,-53255000.0,-79167000.0,0.0,1259000.0,-31243000.0
Effect of forex changes on cash,-1866000.0,2507000.0,788000.0,0.0,-2640000.0,-8922000.0,1239000.0,36000.0,-3555000.0,0.0,-2356000.0,-370000.0
Net cash flow / Change in cash,-8948000.0,18530000.0,-51729000.0,0.0,-26158000.0,41076000.0,12443000.0,-12138000.0,-174349000.0,0.0,28739000.0,30843000.0
Free Cash Flow,260532000.0,131402000.0,82579000.0,0.0,140599000.0,153063000.0,76458000.0,61013000.0,94221000.0,0.0,46036000.0,36597000.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0,-0.2417,0.0,0.0,0.0,0.0,0.0,0.0805,0.0639
