Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31
Cash and cash equivalents,15285053.9291,22278868.8138,37554315.4762,62740811.2798,22517259.8967,30504234.9624
Short-term investments,0.0,41971720.3456,0.0,0.0,0.0,494922.9323
Cash and short-term investments,15285053.9291,64250589.1594,37554315.4762,62740811.2798,22517259.8967,30999157.8947
Receivables,807836.2316,525530.2435,392113.0952,704860.4483,296399.3115,401535.7143
Inventories,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,34882236.4077,65530243.5192,38245535.7143,64299960.2314,23681322.7194,31489574.2481
Property Plant & Equipment Net,1581187.1744,2263943.4407,2425595.2381,648872.0174,202583.4768,102450.188
Goodwill and Intangible Assets,0.0,6276512.176,8816964.2857,67668.1128,372575.7315,1384842.1053
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,0.0,0.0,
Total non-current assets,8627651.2176,11325148.8095,804499.6385,575159.2083,1487292.2932,
Total assets,40691906.9631,74157894.7368,49570684.5238,65104459.8698,24256481.9277,32976866.5414
Payables,476190.4762,11069913.5899,4101934.5238,2338213.3044,2796027.5387,629567.6692
Short-term debt,70438.0365,0.0,0.0,0.0,0.0,0.0
Total current liabilities,9799691.8336,11406127.2584,4401785.7143,2571872.7404,3036527.5387,688558.2707
Long-term debt,0.0,76983.5035,142113.0952,195506.8691,243848.537,321319.5489
Total debt,76983.5035,142113.0952,195506.8691,243848.537,321319.5489,
Deferred revenue,0.0,0.0,0.0,0.0,0.0,
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,
Total non-current liabilities,1025923.0165,1925595.2381,490744.7578,304038.7263,419467.1053,
Total liabilities,10168024.0663,12432050.2749,6327380.9524,3062617.4982,3340566.2651,1108025.3759
Other comprehensive income,0.0,0.0,0.0,0.0,0.0,
Retained earnings (deficit),-135444273.2409,-111634721.1312,-72189732.1429,-47208774.4035,-43507776.2478,-35408097.7444
Total shareholders equity,-4408247.1201,61725844.4619,43243303.5714,62041842.3717,20915915.6627,31868841.1654
Investments,22535035.5859,41971720.3456,0.0,0.0,0.0,494922.9323
Net Debt,-15214615.8926,,,,,
Other Assets,18789346.247,,,,,
Other Liabilities,9253063.3209,336213.6685,299851.1905,233659.436,240500.0,58990.6015
