Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31
Cash and cash equivalents,9686000.0,10000000.0,13277000.0,13000000.0,36953000.0,37000000.0,38444000.0,38000000.0,28138000.0,28000000.0,208931000.0
Short-term investments,47659000.0,48000000.0,89814000.0,90000000.0,147620000.0,148000000.0,118835000.0,119000000.0,203828000.0,204000000.0,107263000.0
Cash and short-term investments,57345000.0,48000000.0,103091000.0,90000000.0,184573000.0,148000000.0,157279000.0,119000000.0,231966000.0,204000000.0,316194000.0
Receivables,3026000.0,3000000.0,405000.0,0000000.0,2515000.0,3000000.0,70699000.0,71000000.0,21000.0,7000000.0,0.0
Inventories,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Total current assets,63727000.0,1000000.0,105205000.0,5000000.0,189583000.0,6000000.0,231255000.0,7000000.0,240810000.0,7000000.0,318744000.0
Property Plant & Equipment Net,623000.0,1000000.0,3275000.0,3000000.0,4471000.0,4000000.0,4825000.0,5000000.0,5104000.0,5000000.0,4641000.0
Goodwill and Intangible Assets,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Long-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Tax assets,0.0,,0.0,,0.0,,0.0,,7102000.0,,10331000.0
Total non-current assets,1351000.0,4000000.0,5117000.0,66000000.0,5899000.0,163000000.0,6632000.0,182000000.0,7032000.0,133000000.0,14941000.0
Total assets,65078000.0,65000000.0,110322000.0,110000000.0,195482000.0,195000000.0,237887000.0,238000000.0,247842000.0,248000000.0,333685000.0
Payables,1787000.0,2000000.0,2565000.0,3000000.0,4890000.0,5000000.0,6660000.0,7000000.0,4428000.0,4000000.0,5706000.0
Short-term debt,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Total current liabilities,12644000.0,13000000.0,93132000.0,93000000.0,55853000.0,56000000.0,52641000.0,53000000.0,38546000.0,39000000.0,62017000.0
Long-term debt,4103000.0,,3765000.0,,2917000.0,,1729000.0,,2468000.0,,3146000.0
Total debt,4103000.0,,3765000.0,,2917000.0,,1729000.0,,2468000.0,,3146000.0
Deferred revenue,3697000.0,000000.0,82193000.0,62000000.0,20510000.0,159000000.0,21543000.0,180000000.0,18747000.0,130000000.0,35059000.0
Tax Liabilities,16989000.0,,16658000.0,,14260000.0,,10022000.0,,5434000.0,,10758000.0
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Total non-current liabilities,8306000.0,4000000.0,65793000.0,66000000.0,162657000.0,163000000.0,181695000.0,182000000.0,132925000.0,133000000.0,153532000.0
Total liabilities,16847000.0,17000000.0,158925000.0,159000000.0,218510000.0,219000000.0,234336000.0,234000000.0,171475000.0,171000000.0,215563000.0
Other comprehensive income,410008000,-0000000.0,403077000,0000000.0,389620000,0000000.0,313344000,0000000.0,300790000,-0000000.0,292505000
Retained earnings (deficit),-361786000.0,-362000000.0,-452007000.0,-452000000.0,-412945000.0,-413000000.0,-309843000.0,-310000000.0,-224436000.0,-224000000.0,-174426000.0
Total shareholders equity,48231000.0,48000000.0,-48603000.0,-49000000.0,-23028000.0,-23000000.0,3551000.0,4000000.0,76367000.0,76000000.0,118122000.0
Investments,47659000.0,,89814000.0,,147620000.0,,118835000.0,,203828000.0,,107263000.0
Net Debt,-5583000.0,-10000000,-9512000.0,-13000000,-34036000.0,-37000000,-36715000.0,-38000000,-25670000.0,-28000000,-205785000.0
Other Assets,0.0,2000000,0.0,2000000,0.0,1000000,0.0,2000000,0.0,2000000,0.0
Other Liabilities,0.0,6000000,0.0,7000000,0.0,8000000,0.0,3000000,4000.0,8000000,14000.0
