Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31
Cash and cash equivalents,658719000.0,659000000.0,22127000.0,22000000.0,17876000.0,18000000.0,13504000.0,14000000.0,20025000.0,20000000.0,20373000.0
Short-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Cash and short-term investments,658719000.0,,22127000.0,,17876000.0,,13504000.0,,20025000.0,,20373000.0
Receivables,127672000.0,128000000.0,124089000.0,124000000.0,99307000.0,99000000.0,68385000.0,68000000.0,55335000.0,55000000.0,38885000.0
Inventories,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Total current assets,786391000.0,,146216000.0,,117183000.0,,81889000.0,,75360000.0,,59258000.0
Property Plant & Equipment Net,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Goodwill and Intangible Assets,477577000.0,0,506298000.0,0,566195000.0,0,120700000.0,0,129426000.0,0,95248000.0
Long-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Tax assets,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Total non-current assets,4516639000.0,,4493466000.0,,4578934000.0,,1911342000.0,,1726499000.0,,1371394000.0
Total assets,5303030000.0,5303000000.0,4639682000.0,4640000000.0,4696117000.0,4696000000.0,1993231000.0,1993000000.0,1801859000.0,1802000000.0,1430652000.0
Payables,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Short-term debt,0.0,,327000000.0,,303000000.0,,77000000.0,,159000000.0,,95000000.0
Total current liabilities,15644000.0,,345815000.0,,319295000.0,,86688000.0,,167637000.0,,101518000.0
Long-term debt,0.0,3087000000.0,327000000.0,2351000000.0,303000000.0,2375000000.0,77000000.0,446000000.0,159000000.0,536000000.0,95000000.0
Total debt,0.0,3087000000.0,654000000.0,2351000000.0,606000000.0,2375000000.0,154000000.0,446000000.0,318000000.0,536000000.0,190000000.0
Deferred revenue,15644000.0,,18815000.0,,16295000.0,,9688000.0,,8637000.0,,6518000.0
Tax Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Total non-current liabilities,0.0,,327000000.0,,303000000.0,,77000000.0,,159000000.0,,95000000.0
Total liabilities,3311211000.0,3311000000.0,2565720000.0,2566000000.0,2599157000.0,2599000000.0,512784000.0,513000000.0,603168000.0,603000000.0,530469000.0
Other comprehensive income,1430046000,-698000000.0,1611289000,-548000000.0,1790667000,-407000000.0,1229632000,-211000000.0,1053875000,-107000000.0,848514000
Retained earnings (deficit),508213000.0,508000000.0,441307000.0,441000000.0,324986000.0,325000000.0,250238000.0,250000000.0,144343000.0,144000000.0,51251000.0
Total shareholders equity,1991819000.0,1992000000.0,2073962000.0,2074000000.0,2096960000.0,2097000000.0,1480447000.0,1480000000.0,1198691000.0,1199000000.0,900183000.0
Investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
Net Debt,-658719000.0,2428000000,631873000.0,2329000000,588124000.0,2357000000,140496000.0,432000000,297975000.0,516000000,169627000.0
Other Assets,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Other Liabilities,3295567000.0,0,1892905000.0,0,1976862000.0,0,349096000.0,0,276531000.0,0,333951000.0
