Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31,2010-12-31
Cash and cash equivalents,3435954000.0,3436000000.0,3426988000.0,3427000000.0,3256236000.0,3256000000.0,2521814000.0,2522000000.0,1800832000.0,1801000000.0,2618378000.0,3825125000.0,3022868000.0
Short-term investments,37555645000.0,815000000.0,36887912000.0,625000000.0,38191883000.0,617000000.0,33371283000.0,257000000.0,34390929000.0,456000000.0,33980183000.0,31724254000.0,32426639000.0
Cash and short-term investments,40991599000.0,815000000.0,40314900000.0,625000000.0,41448119000.0,617000000.0,35893097000.0,257000000.0,36191761000.0,456000000.0,36598561000.0,35549379000.0,35449507000.0
Receivables,6934482000.0,,5522976000.0,,4712493000.0,,2473736000.0,,2612602000.0,,2568861000.0,2411611000.0,2414912000.0
Inventories,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Total current assets,47926081000.0,,45837876000.0,,46160612000.0,,38366833000.0,,38804363000.0,,39167422000.0,37960990000.0,37864419000.0
Property Plant & Equipment Net,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Goodwill and Intangible Assets,0.0,2226000000,0.0,2204000000,0.0,2210000000,0.0,448000000,0.0,412000000,0.0,0.0,0.0
Long-term investments,1163863000.0,,1164564000.0,,1433057000.0,,1248439000.0,,1164630000.0,,1219879000.0,985262000.0,951723000.0
Tax assets,332024000.0,58000000.0,310542000.0,77000000.0,282311000.0,121000000.0,204491000.0,66000000.0,237884000.0,86000000.0,166142000.0,98420000.0,105667000.0
Total non-current assets,15510155000.0,,12596226000.0,,12522326000.0,,6679986000.0,,6848524000.0,,6220357000.0,6665087000.0,7158932000.0
Total assets,63436236000.0,63436000000.0,58434102000.0,58434000000.0,58682938000.0,58683000000.0,45046819000.0,45047000000.0,45652887000.0,45653000000.0,45387779000.0,44626077000.0,45023351000.0
Payables,3706116000.0,,2451717000.0,,2117727000.0,,493230000.0,,302399000.0,,143112000.0,90552000.0,122250000.0
Short-term debt,2549226000.0,,2345293000.0,,2515653000.0,,1790561000.0,,1895425000.0,,1757250000.0,1900000000.0,2400000000.0
Total current liabilities,14627733000.0,,12187818000.0,,11757328000.0,,6294113000.0,,6074350000.0,,5656282000.0,5545862000.0,6007080000.0
Long-term debt,3220769000.0,3221000000.0,2647677000.0,2648000000.0,2644970000.0,2645000000.0,1662580000.0,1663000000.0,2263203000.0,2263000000.0,1672778000.0,2275327000.0,2464410000.0
Total debt,5769995000.0,3221000000.0,4992970000.0,2648000000.0,5160623000.0,2645000000.0,3453141000.0,1663000000.0,4158628000.0,2263000000.0,3430028000.0,4175327000.0,4864410000.0
Deferred revenue,8307431000.0,,7293028000.0,,7043358000.0,,3973132000.0,,3846526000.0,,3755920000.0,3555310000.0,3484830000.0
Tax Liabilities,64960000.0,,97780000.0,,80590000.0,,37190000.0,,30000000.0,,0.0,0.0,0.0
Deposit Liabilities,1042677000.0,,1116233000.0,,1168376000.0,,1245367000.0,,1509243000.0,,1551398000.0,1608108000.0,1684606000.0
Total non-current liabilities,3278343000.0,,2724948000.0,,2765621000.0,,1728826000.0,,2349533000.0,,1814581000.0,2373747000.0,2570077000.0
Total liabilities,53587919000.0,51975000000.0,47495590000.0,45473000000.0,47005859000.0,45028000000.0,35013067000.0,33611000000.0,35655254000.0,34304000000.0,34877707000.0,35201139000.0,34410302000.0
Other comprehensive income,7757940000,889000000.0,8068503000,716000000.0,8910167000,687000000.0,7359102000,1484000000.0,7994100000,737000000.0,8584753000,8938678000,9995312000
Retained earnings (deficit),1198386000.0,1198000000.0,2151794000.0,2152000000.0,2077349000.0,2077000000.0,1187640000.0,1188000000.0,1264093000.0,1264000000.0,402321000.0,-99961000.0,513777000.0
Total shareholders equity,9848317000.0,9848000000.0,10938512000.0,10939000000.0,11677079000.0,11677000000.0,10033752000.0,10034000000.0,9997633000.0,9998000000.0,10510072000.0,9424938000.0,10613049000.0
Investments,38719508000.0,,38052476000.0,,39624940000.0,,34619722000.0,,35555559000.0,,35200062000.0,32709516000.0,33378362000.0
Net Debt,2334041000.0,-215000000,1565982000.0,-779000000,1904387000.0,-611000000,931327000.0,-859000000,2357796000.0,462000000,811650000.0,350202000.0,1841542000.0
Other Assets,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
Other Liabilities,35681843000.0,0,32582824000.0,0,32482910000.0,0,26990128000.0,0,27231371000.0,0,27406844000.0,27281530000.0,25833145000.0
