Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31,2010-12-31
Cash and cash equivalents,557403000.0,312483000.0,312000000.0,250470000.0,250000000.0,129852000.0,130000000.0,593175000.0,593000000.0,347489000.0,347000000.0,341841000.0,175384000.0,203870000.0
Short-term investments,0.0,0.0,,0.0,,6534000.0,,0.0,,0.0,,0.0,0.0,0.0
Cash and short-term investments,557403000.0,312483000.0,,250470000.0,,136386000.0,,593175000.0,,347489000.0,,341841000.0,175384000.0,203870000.0
Receivables,652546000.0,609670000.0,610000000.0,622685000.0,623000000.0,433638000.0,434000000.0,279835000.0,280000000.0,209952000.0,210000000.0,175524000.0,134043000.0,102034000.0
Inventories,1019496000.0,1158548000.0,1159000000.0,917491000.0,917000000.0,783031000.0,783000000.0,536714000.0,537000000.0,469006000.0,469000000.0,319286000.0,324409000.0,215355000.0
Total current assets,2593628000.0,2337679000.0,1669000000.0,1965153000.0,1679000000.0,1498763000.0,1370000000.0,1549399000.0,546000000.0,1128811000.0,449000000.0,903598000.0,689663000.0,555850000.0
Property Plant & Equipment Net,826868000.0,885774000.0,886000000.0,804211000.0,804000000.0,538531000.0,539000000.0,305564000.0,306000000.0,223952000.0,224000000.0,180850000.0,159135000.0,76127000.0
Goodwill and Intangible Assets,588293000.0,602669000.0,603000000,627901000.0,628000000,660867000.0,661000000,149486000.0,149000000,146341000.0,146000000,4483000.0,5535000.0,3914000.0
Long-term investments,0.0,12700000.0,,11700000.0,,12000000.0,,13400000.0,,4600000.0,,14600000.0,14400000.0,0.0
Tax assets,112420000.0,82801000.0,83000000.0,136862000.0,137000000.0,92157000.0,92000000.0,33570000.0,34000000.0,31094000.0,31000000.0,22606000.0,15885000.0,21275000.0
Total non-current assets,1651394000.0,1668688000.0,927000000.0,1679178000.0,928000000.0,1370137000.0,722000000.0,545684000.0,323000000.0,448930000.0,98000000.0,253485000.0,229547000.0,119528000.0
Total assets,4245022000.0,4006367000.0,4006000000.0,3644331000.0,3644000000.0,2868900000.0,2869000000.0,2095083000.0,2095000000.0,1577741000.0,1578000000.0,1157083000.0,919210000.0,675378000.0
Payables,560884000.0,561108000.0,561000000.0,409679000.0,410000000.0,200460000.0,200000000.0,210432000.0,210000000.0,165456000.0,165000000.0,143689000.0,100527000.0,84679000.0
Short-term debt,25000000.0,27000000.0,152000000.0,27000000.0,27000000.0,42000000.0,42000000.0,28951000.0,29000000.0,4972000.0,105000000.0,9132000.0,6882000.0,6865000.0
Total current liabilities,1315977000.0,1060375000.0,1060000000.0,685816000.0,686000000.0,478810000.0,479000000.0,421627000.0,422000000.0,426630000.0,427000000.0,252228000.0,183607000.0,149147000.0
Long-term debt,703834000.0,765046000.0,765000000.0,790388000.0,790000000.0,352000000.0,627000000.0,255250000.0,255000000.0,47951000.0,48000000.0,52757000.0,70842000.0,9077000.0
Total debt,728834000.0,792046000.0,765000000.0,817388000.0,790000000.0,394000000.0,627000000.0,284201000.0,255000000.0,52923000.0,48000000.0,61889000.0,77724000.0,15942000.0
Deferred revenue,55000000.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Tax Liabilities,55855000.0,51815000.0,,64359000.0,,42611000.0,,28353000.0,,21712000.0,,15297000.0,9783000.0,0.0
Deposit Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Total non-current liabilities,954753000.0,990828000.0,927000000.0,990742000.0,928000000.0,446868000.0,722000000.0,375654000.0,323000000.0,136134000.0,98000000.0,110984000.0,115355000.0,44530000.0
Total liabilities,2228151000.0,1987725000.0,1988000000.0,1613431000.0,1613000000.0,1200678000.0,1201000000.0,744783000.0,745000000.0,524387000.0,524000000.0,340161000.0,282778000.0,178412000.0
Other comprehensive income,916714000,834140000,-38000000.0,771425000,-52000000.0,591628000,-45000000.0,493554000,-15000000.0,399484000,2000000.0,323713000,270255000,226932000
Retained earnings (deficit),1139082000.0,1184441000.0,1184000000.0,1259414000.0,1259000000.0,1076533000.0,1077000000.0,856687000.0,857000000.0,653842000.0,654000000.0,493181000.0,366164000.0,270021000.0
Total shareholders equity,2016871000.0,2018642000.0,2019000000.0,2030900000.0,2031000000.0,1668222000.0,1668000000.0,1350300000.0,1350000000.0,1053354000.0,1053000000.0,816922000.0,636432000.0,496966000.0
Investments,0.0,12700000.0,,11700000.0,,18534000.0,,13400000.0,,4600000.0,,14600000.0,14400000.0,0.0
Net Debt,171431000.0,479563000.0,605000000,566918000.0,567000000,264148000.0,539000000,-308974000.0,-309000000,-294566000.0,-194000000,-279952000.0,-97660000.0,-187928000.0
Other Assets,0.0,0.0,97000000,0.0,110000000,0.0,79000000,0.0,57000000,0.0,48000000,0.0,0.0,0.0
Other Liabilities,0.0,0.0,212000000,0.0,177000000,275000000.0,138000000,0.0,103000000,0.0,72000000,0.0,0.0,0.0
