Date,2019-01-31,2018-01-31
Cash and cash equivalents,76335877.8626,182258064.5161
Short-term investments,9770992.3664,9274193.5484
Cash and short-term investments,86106870.229,191532258.0645
Receivables,296412213.7405,265161290.3226
Inventories,722290076.3359,599032258.0645
Total current assets,1134198473.2824,1088225806.4516
Property Plant & Equipment Net,690916030.5344,618387096.7742
Goodwill and Intangible Assets,365419847.3282,253709677.4194
Long-term investments,15267175.5725,17258064.5161
Tax assets,150916030.5344,152741935.4839
Total non-current assets,1214809160.3053,1027580645.1613
Total assets,2349007633.5878,2115806451.6129
Payables,766030534.3511,649596774.1935
Short-term debt,96717557.2519,123629032.2581
Total current liabilities,1281221374.0458,1163145161.2903
Long-term debt,935496183.2061,824838709.6774
Total debt,1032213740.458,948467741.9355
Deferred revenue,153435114.5038,148709677.4194
Tax Liabilities,52824427.4809,35322580.6452
Deposit Liabilities,0.0,0.0
Total non-current liabilities,1314198473.2824,1188145161.2903
Total liabilities,2595419847.3282,2351290322.5806
Other comprehensive income,0.0,0.0
Retained earnings (deficit),,
Total shareholders equity,-246412213.7405,-235483870.9677
Investments,25038167.9389,26532258.0645
Net Debt,,
Other Assets,,
Other Liabilities,418473282.4428,389919354.8387
