Date,2018-06-30,2018-06,2017-06-30,2017-06,2016-06-30,2016-06,2015-06-30,2015-06,2014-06-30,2014-06,2013-06-30,2012-06-30
Cash and cash equivalents,3184000.0,,2845000.0,,2378000.0,,5324000.0,,240000.0,,510000.0,78673000.0
Short-term investments,155000.0,,165000.0,,175000.0,,435000.0,,0.0,,0.0,0.0
Cash and short-term investments,3339000.0,,3010000.0,,2553000.0,,5759000.0,,240000.0,,510000.0,78673000.0
Receivables,1423000.0,,1332000.0,,1182000.0,,1069000.0,,1236000.0,,1583000.0,1532000.0
Inventories,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Total current assets,4762000.0,,4342000.0,,3735000.0,,6828000.0,,1476000.0,,2093000.0,80205000.0
Property Plant & Equipment Net,8664000.0,,9360000.0,,10001000.0,,10370000.0,,11313000.0,,11394000.0,12213000.0
Goodwill and Intangible Assets,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Long-term investments,62982000.0,,61460000.0,,58428000.0,,47506000.0,,52634000.0,,50979000.0,0.0
Tax assets,3585000.0,,8011000.0,,8870000.0,,8867000.0,,555000.0,,555000.0,555000.0
Total non-current assets,464892000.0,,458183000.0,,427769000.0,,372402000.0,,387652000.0,,450086000.0,390610000.0
Total assets,469654000.0,470000000.0,462525000.0,463000000.0,431504000.0,432000000.0,379230000.0,379000000.0,389128000.0,389000000.0,452179000.0,470815000.0
Payables,3374000.0,,3083000.0,,2609000.0,,2879000.0,,4313000.0,,3833000.0,3767000.0
Short-term debt,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Total current liabilities,3374000.0,,3083000.0,,2609000.0,,2879000.0,,4313000.0,,3833000.0,3767000.0
Long-term debt,37000000.0,37000000.0,45500000.0,46000000.0,62000000.0,62000000.0,10000000.0,10000000.0,17500000.0,18000000.0,64900000.0,64900000.0
Total debt,37000000.0,37000000.0,45500000.0,46000000.0,62000000.0,62000000.0,10000000.0,10000000.0,17500000.0,18000000.0,64900000.0,64900000.0
Deferred revenue,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Tax Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Deposit Liabilities,359021000.0,,345187000.0,,300894000.0,,299812000.0,,311034000.0,,328584000.0,345798000.0
Total non-current liabilities,37218000.0,,46125000.0,,62709000.0,,10667000.0,,19127000.0,,66673000.0,64900000.0
Total liabilities,402210000.0,402000000.0,396674000.0,397000000.0,368308000.0,368000000.0,315507000.0,316000000.0,335453000.0,335000000.0,399811000.0,416791000.0
Other comprehensive income,21758000,-2000000.0,22012000,-1000000.0,21485000,-1000000.0,22668000,-1000000.0,22496000,-2000000.0,22373000,22278000
Retained earnings (deficit),46776000.0,47000000.0,44585000.0,45000000.0,42235000.0,42000000.0,41741000.0,42000000.0,31914000.0,32000000.0,31491000.0,31746000.0
Total shareholders equity,67444000.0,67000000.0,65851000.0,66000000.0,63196000.0,63000000.0,63723000.0,64000000.0,53675000.0,54000000.0,52368000.0,54024000.0
Investments,63137000.0,,61625000.0,,58603000.0,,47941000.0,,52634000.0,,50979000.0,0.0
Net Debt,33816000.0,37000000,42655000.0,46000000,59622000.0,62000000,4676000.0,10000000,17260000.0,18000000,64390000.0,-13773000.0
Other Assets,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Other Liabilities,361618000.0,0,347466000.0,0,302990000.0,0,301961000.0,0,312013000.0,0,329305000.0,348124000.0
