Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Cash and cash equivalents,8715000.0,46977000.0,67373000.0,43859000.0
Short-term investments,457947000.0,234171000.0,105007000.0,118400000.0
Cash and short-term investments,466662000.0,281148000.0,172380000.0,162259000.0
Receivables,0.0,0.0,0.0,0.0
Inventories,0.0,0.0,0.0,0.0
Total current assets,466662000.0,281148000.0,172380000.0,162259000.0
Property Plant & Equipment Net,13000.0,0.0,0.0,0.0
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0
Long-term investments,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,0.0
Total non-current assets,233000.0,182000.0,199000.0,261000.0
Total assets,590408000.0,314634000.0,192779000.0,105427000.0
Payables,2402000.0,1138000.0,697000.0,808000.0
Short-term debt,3334000.0,1484000.0,1008000.0,698000.0
Total current liabilities,5736000.0,2622000.0,1705000.0,1506000.0
Long-term debt,24609000.0,732000.0,18615000.0,0.0
Total debt,27943000.0,2216000.0,19623000.0,698000.0
Deferred revenue,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0
Total non-current liabilities,24609000.0,732000.0,18615000.0,0.0
Total liabilities,42544000.0,8814000.0,24417000.0,4127000.0
Other comprehensive income,545932000,314578000,172112000,110634000
Retained earnings (deficit),1728000.0,-8902000.0,-3840000.0,-9396000.0
Total shareholders equity,547864000.0,305820000.0,168362000.0,101300000.0
Investments,457947000.0,234171000.0,105007000.0,118400000.0
Net Debt,19228000.0,-44761000.0,-47750000.0,-43161000.0
Other Assets,123513000.0,33304000.0,20200000.0,-57093000.0
Other Liabilities,12199000.0,5460000.0,4097000.0,2621000.0
