Date,2018-08-31,2018-08,2017-08-31,2017-08,2016-08-31,2016-08,2015-08-31,2015-08,2014-08-31,2014-08,2013-08-31,2012-08-31,2011-08-31
Cash and cash equivalents,39835000.0,40000000.0,22340000.0,22000000.0,72092000.0,72000000.0,27191000.0,27000000.0,35694000.0,36000000.0,77896000.0,52647000.0,29509000.0
Short-term investments,27389000.0,,30341000.0,,20586000.0,,20531000.0,,21012000.0,,24583000.0,14599000.0,30149000.0
Cash and short-term investments,39835000.0,,22340000.0,,72092000.0,,27191000.0,,35694000.0,,77896000.0,52647000.0,29509000.0
Receivables,34967000.0,20000000.0,33758000.0,20000000.0,35437000.0,20000000.0,31577000.0,20000000.0,32833000.0,18000000.0,29142000.0,27073000.0,24558000.0
Inventories,1774000.0,2000000.0,2343000.0,2000000.0,3321000.0,3000000.0,3824000.0,4000000.0,3349000.0,3000000.0,3678000.0,3289000.0,3503000.0
Total current assets,104429000.0,427000000.0,89184000.0,473000000.0,137657000.0,522000000.0,85438000.0,535000000.0,95712000.0,555000000.0,140722000.0,107151000.0,93457000.0
Property Plant & Equipment Net,298222000.0,298000000.0,312380000.0,312000000.0,402162000.0,402000000.0,421406000.0,421000000.0,441969000.0,442000000.0,380590000.0,419262000.0,0.0
Goodwill and Intangible Assets,75344000.0,75000000,75756000.0,76000000,76734000.0,77000000,77076000.0,77000000,77093000.0,77000000,77093000.0,76997000.0,81625000.0
Long-term investments,10932000.0,11000000.0,9801000.0,12000000.0,12562000.0,000000.0,7216000.0,000000.0,8155000.0,000000.0,10013000.0,11641000.0,11086000.0
Tax assets,9881000.0,,16714000.0,,17583000.0,,1741000.0,,1887000.0,,7728000.0,4821000.0,12776000.0
Total non-current assets,426705000.0,758000000.0,472560000.0,705000000.0,522338000.0,661000000.0,534586000.0,515000000.0,555260000.0,509000000.0,520072000.0,573609000.0,586285000.0
Total assets,531134000.0,531000000.0,561744000.0,562000000.0,659995000.0,660000000.0,620024000.0,620000000.0,650972000.0,651000000.0,660794000.0,680760000.0,679742000.0
Payables,10338000.0,10000000.0,9213000.0,9000000.0,14372000.0,14000000.0,13860000.0,14000000.0,17207000.0,17000000.0,13100000.0,11048000.0,11135000.0
Short-term debt,6704000.0,7000000.0,3464000.0,3000000.0,5090000.0,5000000.0,13467000.0,13000000.0,13484000.0,13000000.0,14320000.0,19480000.0,18940000.0
Total current liabilities,62079000.0,62000000.0,58616000.0,59000000.0,74663000.0,75000000.0,87821000.0,88000000.0,79511000.0,80000000.0,72930000.0,80516000.0,71279000.0
Long-term debt,701478000.0,701000000.0,628116000.0,628000000.0,577521000.0,578000000.0,428238000.0,428000000.0,427527000.0,428000000.0,437380000.0,466613000.0,481835000.0
Total debt,708182000.0,701000000.0,631580000.0,628000000.0,582611000.0,578000000.0,441705000.0,428000000.0,441011000.0,428000000.0,451700000.0,486093000.0,500775000.0
Deferred revenue,0.0,1000000.0,0.0,1000000.0,0.0,1000000.0,0.0,1000000.0,0.0,3000000.0,4048000.0,3055000.0,2897000.0
Tax Liabilities,4677000.0,24000000.0,0.0,40000000.0,2568000.0,43000000.0,8910000.0,44000000.0,2461000.0,38000000.0,4241000.0,14326000.0,4775000.0
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Total non-current liabilities,744898000.0,758000000.0,688719000.0,705000000.0,643584000.0,661000000.0,494007000.0,515000000.0,485736000.0,509000000.0,487942000.0,513620000.0,526328000.0
Total liabilities,819980000.0,820000000.0,763502000.0,764000000.0,735638000.0,736000000.0,602591000.0,603000000.0,588297000.0,588000000.0,583330000.0,621513000.0,628046000.0
Other comprehensive income,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Retained earnings (deficit),981251000.0,981000000.0,934017000.0,934000000.0,894442000.0,894000000.0,851715000.0,852000000.0,801202000.0,801000000.0,758138000.0,722614000.0,687431000.0
Total shareholders equity,-288846000.0,-289000000.0,-201758000.0,-202000000.0,-75643000.0,-76000000.0,17433000.0,17000000.0,62675000.0,63000000.0,77464000.0,59247000.0,51696000.0
Investments,38321000.0,11000000.0,40142000.0,12000000.0,33148000.0,000000.0,27747000.0,000000.0,29167000.0,000000.0,34596000.0,26240000.0,41235000.0
Net Debt,668347000.0,668000000,609240000.0,609000000,510519000.0,511000000,414514000.0,414000000,405317000.0,405000000,373804000.0,433446000.0,471266000.0
Other Assets,0.0,78000000,0.0,112000000,0.0,81000000,0.0,65000000,0.0,68000000,0.0,0.0,0.0
Other Liabilities,13003000.0,19000000,16167000.0,21000000,17391000.0,24000000,20763000.0,22000000,23050000.0,26000000,22458000.0,27377000.0,30439000.0
