Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Cash and cash equivalents,103724000.0,95200000.0,95000000.0,83554000.0,84000000.0,61959000.0,62000000.0,75598000.0,76000000.0,31798000.0,32000000.0,31777000.0,16586000.0
Short-term investments,1512252000.0,1413081000.0,,818976000.0,,724720000.0,,816647000.0,,912443000.0,,1034711000.0,200342000.0
Cash and short-term investments,1615976000.0,1508281000.0,,902530000.0,,786679000.0,,892245000.0,,944241000.0,,1066488000.0,216928000.0
Receivables,41900000.0,33600000.0,118000000.0,24100000.0,156000000.0,44200000.0,219000000.0,29800000.0,222000000.0,30200000.0,135000000.0,18300000.0,0.0
Inventories,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Total current assets,1657876000.0,1541881000.0,,926630000.0,,830879000.0,,922045000.0,,974441000.0,,1084788000.0,216928000.0
Property Plant & Equipment Net,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Goodwill and Intangible Assets,25222000.0,25222000.0,25000000,25200000.0,25000000,0.0,0,0.0,0,0.0,0,0.0,0.0
Long-term investments,73466000.0,51143000.0,,79259000.0,,56900000.0,,0.0,,0.0,,0.0,0.0
Tax assets,983000.0,206000.0,,188000.0,,506000.0,,599000.0,,0.0,,0.0,0.0
Total non-current assets,13079762000.0,10514404000.0,,8025001000.0,,8228685000.0,,9617960000.0,,8924234000.0,,6075613000.0,465777000.0
Total assets,14737638000.0,12056285000.0,12056000000.0,8951631000.0,8952000000.0,9059564000.0,9060000000.0,10540005000.0,10540000000.0,9898675000.0,9899000000.0,7160401000.0,682705000.0
Payables,101228000.0,82126000.0,,65969000.0,,59527000.0,,74692000.0,,54466000.0,,34434000.0,8043000.0
Short-term debt,45000000.0,45000000.0,,45000000.0,,45000000.0,,45000000.0,,45000000.0,,45000000.0,45000000.0
Total current liabilities,146228000.0,127126000.0,,110969000.0,,104527000.0,,119692000.0,,99466000.0,,79434000.0,53043000.0
Long-term debt,31227000.0,57124000.0,9572000000.0,165872000.0,6920000000.0,123290000.0,7098000000.0,239425000.0,8471000000.0,312231000.0,8379000000.0,0.0,0.0
Total debt,76227000.0,102124000.0,9572000000.0,210872000.0,6920000000.0,168290000.0,7098000000.0,284425000.0,8471000000.0,357231000.0,8379000000.0,45000000.0,45000000.0
Deferred revenue,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Tax Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Deposit Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Total non-current liabilities,31233000.0,57268000.0,,166175000.0,,123482000.0,,240465000.0,,312286000.0,,0.0,0.0
Total liabilities,13558249000.0,11084420000.0,11084000000.0,8103556000.0,8104000000.0,8179038000.0,8179000000.0,9722078000.0,9722000000.0,9418009000.0,9418000000.0,6838395000.0,597427000.0
Other comprehensive income,1303146000,1040910000,6000000.0,907858000,2000000.0,893869000,-3000000.0,774268000,10000000.0,473879000,3000000.0,355006000,153710000
Retained earnings (deficit),-103178000.0,-75717000.0,-76000000.0,-62537000.0,-63000000.0,-11583000.0,-12000000.0,32593000.0,33000000.0,3073000.0,000000.0,-51584000.0,-79863000.0
Total shareholders equity,1179389000.0,971865000.0,972000000.0,848075000.0,848000000.0,880526000.0,881000000.0,817927000.0,818000000.0,480666000.0,481000000.0,322006000.0,85278000.0
Investments,1585718000.0,1464224000.0,,898235000.0,,781620000.0,,816647000.0,,912443000.0,,1034711000.0,200342000.0
Net Debt,-27497000.0,6924000.0,9477000000,127318000.0,6836000000,106331000.0,7036000000,208827000.0,8395000000,325433000.0,8347000000,13223000.0,28414000.0
Other Assets,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
Other Liabilities,13380788000.0,10900026000.0,0,7826412000.0,0,7951029000.0,0,9361921000.0,0,9006257000.0,0,6758961000.0,544384000.0
