Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Total assets,10748600000.0,10412700000.0,9939600000.0,9597400000.0,9527800000.0,9324300000.0,9250700000.0,9134700000.0,9144200000.0,8848500000.0,9981800000.0,9922200000.0,8906000000.0,0.0,7266700000.0
Payables,239300000.0,230400000.0,205400000.0,262500000.0,179100000.0,174300000.0,209600000.0,251000000.0,171100000.0,219600000.0,409500000.0,396700000.0,388000000.0,321700000.0,297000000.0
Short-term debt,250000000.0,249800000.0,224700000.0,110000000.0,0.0,240000000.0,100000000.0,100000000.0,447000000.0,478700000.0,707000000.0,430900000.0,277100000.0,0.0,464200000.0
Total current liabilities,869400000.0,950500000.0,1027200000.0,752800000.0,573300000.0,1093900000.0,949300000.0,1093800000.0,941500000.0,1016600000.0,1482200000.0,1276400000.0,998500000.0,361000000.0,1275700000.0
Long-term debt,2896900000.0,2749600000.0,2405800000.0,2645600000.0,2755300000.0,2409500000.0,2549400000.0,2300100000.0,2400000000.0,2400200000.0,2848700000.0,2848600000.0,2737100000.0,2362900000.0,2088900000.0
Total debt,3146900000.0,2999400000.0,2630500000.0,2755600000.0,2755300000.0,2649500000.0,2649400000.0,2400100000.0,2847000000.0,2878900000.0,3555700000.0,3279500000.0,3014200000.0,2362900000.0,2553100000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200000.0,0.0,0.0,0.0
Tax Liabilities,44000000.0,44500000.0,41300000.0,45900000.0,39700000.0,38100000.0,26000000.0,39900000.0,57200000.0,40300000.0,28800000.0,48100000.0,42300000.0,39300000.0,1296700000.0
Deposit Liabilities,83600000.0,80700000.0,77700000.0,77000000.0,73700000.0,71800000.0,71400000.0,70900000.0,69500000.0,69700000.0,71300000.0,70300000.0,67600000.0,67000000.0,85600000.0
Total non-current liabilities,4377700000.0,4135000000.0,4894100000.0,4946100000.0,5131600000.0,4645500000.0,4781600000.0,4526200000.0,4595300000.0,4406400000.0,4798500000.0,4924600000.0,2871200000.0,3834400000.0,3930200000.0
Total liabilities,6743500000.0,6561600000.0,6495800000.0,6271400000.0,6283400000.0,6224500000.0,6212900000.0,6097600000.0,6149600000.0,6037200000.0,7236300000.0,7155000000.0,6342700000.0,-2289600000.0,5205900000.0
Other comprehensive income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1028100000,968200000,-74700000.0
Retained earnings (deficit),2906300000.0,2759500000.0,2367300000.0,2259800000.0,2198200000.0,2052100000.0,1996100000.0,1991700000.0,1978700000.0,1804900000.0,1754100000.0,1772400000.0,1574800000.0,1380600000.0,1227800000.0
Total shareholders equity,4005100000.0,3851100000.0,3443800000.0,3326000000.0,3244400000.0,3099800000.0,3037800000.0,3037100000.0,2994600000.0,2811300000.0,2745500000.0,2767200000.0,2563300000.0,2289600000.0,2040800000.0
Investments,274600000.0,231700000.0,288200000.0,223200000.0,485800000.0,478900000.0,458000000.0,399400000.0,56200000.0,55900000.0,400000.0,500000.0,3800000.0,2200000.0,0.0
Net Debt,3052600000.0,2985000000.0,2630200000.0,2680400000.0,2749800000.0,2647300000.0,2647000000.0,2393300000.0,2847000000.0,2878900000.0,3548600000.0,3277700000.0,3009600000.0,2360600000.0,2495000000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222500000.0
Other Liabilities,1496400000.0,1476100000.0,574500000.0,572500000.0,578500000.0,485100000.0,482000000.0,477600000.0,612800000.0,614200000.0,955600000.0,954000000.0,2473000000.0,-6485000000.0,514500000.0
