Date,2019-03-31,2018-03-31,2017-03-31
Cash and cash equivalents,115529.0,558398.0,30005.0
Short-term investments,0.0,0.0,0.0
Cash and short-term investments,115529.0,558398.0,30005.0
Receivables,0.0,0.0,0.0
Inventories,0.0,0.0,0.0
Total current assets,156779.0,600481.0,210946.0
Property Plant & Equipment Net,0.0,0.0,0.0
Goodwill and Intangible Assets,0.0,0.0,0.0
Long-term investments,152420927.0,210502923.0,0.0
Tax assets,0.0,0.0,0.0
Total non-current assets,152420927.0,210502923.0,0.0
Total assets,152577706.0,211103404.0,240951.0
Payables,1911055.0,97627.0,0.0
Short-term debt,491419.0,0.0,150000.0
Total current liabilities,2461697.0,533130.0,219000.0
Long-term debt,491419.0,0.0,0.0
Total debt,982838.0,0.0,150000.0
Deferred revenue,0.0,0.0,0.0
Tax Liabilities,59223.0,435503.0,0.0
Deposit Liabilities,0.0,0.0,0.0
Total non-current liabilities,491419.0,0.0,0.0
Total liabilities,147577702.0,206103399.0,219000.0
Other comprehensive income,3901718,4549828,0.0
Retained earnings (deficit),1097645.0,449545.0,-3049.0
Total shareholders equity,5000004.0,5000005.0,21951.0
Investments,152420927.0,210502923.0,0.0
Net Debt,867309.0,-558398.0,119995.0
Other Assets,0.0,0.0,0.0
Other Liabilities,144624586.0,205570269.0,69000.0
