Date,2018-12-31,2017-12-31
Cash and cash equivalents,4478512.0,1212063.0
Short-term investments,0.0,0.0
Cash and short-term investments,4478512.0,1212063.0
Receivables,14621730.0,6214103.0
Inventories,882233.0,304576.0
Total current assets,18126026.0,6684466.0
Property Plant & Equipment Net,1528996.0,1469651.0
Goodwill and Intangible Assets,4167.0,40119.0
Long-term investments,0.0,0.0
Tax assets,0.0,0.0
Total non-current assets,4278909.0,3135856.0
Total assets,22404935.0,9820322.0
Payables,1450766.0,1116725.0
Short-term debt,0.0,1000000.0
Total current liabilities,6737021.0,5220849.0
Long-term debt,24499752.0,17602686.0
Total debt,24499752.0,18602686.0
Deferred revenue,0.0,0.0
Tax Liabilities,0.0,0.0
Deposit Liabilities,0.0,0.0
Total non-current liabilities,25737065.0,18870729.0
Total liabilities,32474086.0,24091578.0
Other comprehensive income,0.0,0.0
Retained earnings (deficit),-57488578.0,-51121584.0
Total shareholders equity,-56565302.0,-50310505.0
Investments,0.0,0.0
Net Debt,20021240.0,17390623.0
Other Assets,-1856449.0,-1046276.0
Other Liabilities,5286255.0,3104124.0
