Date,2018-12-31,2017-12-31
Cash and cash equivalents,22731246.6667,8722091.9089
Short-term investments,0.0,0.0
Cash and short-term investments,22731246.6667,8722091.9089
Receivables,1989712.5926,3339872.7416
Inventories,2690091.1111,1124239.5915
Total current assets,28088732.5926,13827231.7361
Property Plant & Equipment Net,894338.5185,1355970.1493
Goodwill and Intangible Assets,5498315.5556,6717331.5004
Long-term investments,0.0,0.0
Tax assets,355555.5556,188531.0291
Total non-current assets,6392654.0741,8073301.6496
Total assets,34481386.6667,21900533.3857
Payables,2898037.037,3991912.0189
Short-term debt,992283.7037,3693019.6386
Total current liabilities,5836562.963,8339545.1689
Long-term debt,7863453.3333,348684.2105
Total debt,8855737.037,4041703.8492
Deferred revenue,512297.7778,189564.8075
Tax Liabilities,220261.4815,57171.249
Deposit Liabilities,0.0,0.0
Total non-current liabilities,8921613.3333,2452473.6842
Total liabilities,14758176.2963,10792018.8531
Other comprehensive income,-21261.4815,-45505.8916
Retained earnings (deficit),-82247156.2963,-70911761.194
Total shareholders equity,19723210.3704,11108514.5326
Investments,0.0,0.0
Net Debt,,
Other Assets,,
Other Liabilities,1946242.2223,654613.5114
